sku,ean,fuente,nombre,origen,imagen,nota
FC-21752837,7503025737195,birdman,Botella Shaker Birdman Azul,birdman,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/SHAKER_ad533ad7-b769-4ffb-9bd8-e60215c1e00a.png?v=1721258396,
FC-08530091,,birdman,Botella Shaker Birdman Negro,birdman,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/Shaker_NEGRO_sin_sombra.webp?v=1752693738,sin_ean
FC-53534244,,birdman,Botella Shaker Birdman Rosa,birdman,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/Shaker_ROSA_sin_sombra.webp?v=1752693368,sin_ean
FC-39149283,7503037273247,birdman,Toalla Birdman Secado Rápido - Gris,birdman,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/ToallaMicrofibra.png?v=1721258396,
FC-41351362,7503037273230,birdman,Toalla Birdman Secado Rápido - Negra,birdman,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/ToallaMicrofibra.png?v=1721258396,
FC-59627477,7503025737577,birdman,Harina de Almendras 1 kg,birdman,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/HarinaAlmendras_Front.png?v=1721258397,
FC-50020942,7503025737508,birdman,Linaza Molida 500 gr,birdman,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/Linaza_Front.png?v=1721258397,
FC-53935550,7503025737478,birdman,Bebida Plant Based Almendra 946 ml,birdman,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/birdman-alimento-liquido-bebida-plant-based-almendra-6-pack-946-ml-29670778863703.png?v=1721258396,
FC-22161396,7503025737485,birdman,Bebida Plant Based Chocolate 946 ml,birdman,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/birdman-alimento-liquido-bebida-plant-based-chocolate-6-pack-946-ml-29670783713367.png?v=1721258397,
FC-01408792,7503025737669,birdman,Bebida Plant Based Light 946 ml,birdman,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/birdman-alimento-liquido-bebida-plant-based-light-6-pack-946-ml-29670794395735.png?v=1721258397,
FC-77665700,7503025737492,birdman,Bebida Plant Based Original 946 ml,birdman,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/birdman-alimento-liquido-bebida-plant-based-original-6-pack-946-ml-29670806323287.png?v=1721258397,
FC-41583926,7503025737355,birdman,Creatina Monohidratada 450 g - 90 Servicios,birdman,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/450_CREATINA_1c799b80-8b3c-4e81-8ec5-e5e55603fe69.png?v=1721258396,
FC-39606823,7503057040911,birdman,Creatine for Women - Sabor Pink Lemonade - 40 Porciones,birdman,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/PL_Creatine_for_Women_348_01_1.png?v=1776451289,
FC-44415196,7503057040928,birdman,Creatine for Women - Sin Sabor - 40 Porciones,birdman,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/SA_Creatine_for_Women_348_01_2.png?v=1776451679,
FC-29281200,7503025737317,birdman,Falcon Performance - Nueva Fórmula - Choco Bronze - 1.140 KG,birdman,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/BM_FALCON_PERFORMANCE_1140_CHOCOLATE_01.png?v=1781031288,
FC-65091786,7503057040478,birdman,Falcon Performance - Nueva Fórmula - Choco Bronze - 552g,birdman,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/BM_FALCON_PERFORMANCE_552_CHOCOLATE_01.png?v=1781029791,
FC-06433650,7503025737324,birdman,Falcon Performance - Nueva Fórmula - Golden Vainilla - 1.140 KG,birdman,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/BM_FALCON_PERFORMANCE_1140_VAINILLA_01.png?v=1781031155,
FC-83546244,7503057040539,birdman,Falcon Performance - Nueva Fórmula - Golden Vainilla - 552g,birdman,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/BM_FALCON_PERFORMANCE_552_VAINILLA_01.png?v=1781030118,
FC-00403428,7503025737331,birdman,Falcon Performance 1.9 kg - Nueva Formula - 45 Servicios - Choco Bronze,birdman,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/Falcon_Performance_Bag_1900_Chocolate_01.png?v=1781031821,
FC-53267306,7503025737348,birdman,Falcon Performance 1.9 kg - Nueva Formula - 45 Servicios - Golden Vanilla,birdman,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/Falcon_Performance_Bag_1900_Chocolate_01.png?v=1781031821,
FC-71374695,7503025737461,birdman,Falcon Performance Proteína en Polvo con Creatina & BCAAs - 10 Pack Sobres Nueva Formula - Choco Bronze,birdman,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/Multipack_Falcon_Performance_Choco_Bronze_03_1.png?v=1781046399,
FC-96653081,7503025737454,birdman,Falcon Performance Proteína en Polvo con Creatina & BCAAs - 10 Pack Sobres Nueva Formula - Golden Vanilla,birdman,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/Multipack_Falcon_Performance_Choco_Bronze_03_1.png?v=1781046399,
FC-34437733,7503057040409,birdman,Falcon Protein - Nueva Fórmula - Chai 480gr,birdman,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/BM_FALCON_480_CHAI_01.png?v=1781249375,
FC-57110856,7503057040508,birdman,Falcon Protein - Nueva Fórmula - Chai 960 g,birdman,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/BM_FALCON_960_CHAI_01.png?v=1781247487,
FC-10011410,7503057040362,birdman,Falcon Protein - Nueva Fórmula - Chocolate 480g,birdman,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/BM_FALCON_480_CHOCOLATE_01.png?v=1781248548,
FC-82046711,7503057040386,birdman,Falcon Protein - Nueva Fórmula - Chocolate 960gr,birdman,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/BM_FALCON_960_CHOCOLATE_01.png?v=1782521137,
