ean,sku,marca,nombre,nombre_lista
7503015500129,FC-15500129,Farmapiel,Met-,MET-GEL 30GR
7502002462181,FC-02462181,Farmapiel,Skindry Ant. Sol.,SKINDRY ANT. SOL. 35ML
7502002462198,FC-02462198,Farmapiel,Skindry Sensitive Sol,SKINDRY SENSITIVE SOL 35ML
7502002463324,FC-02463324,Farmapiel,Skinpro Age Repair Gel FPS 30,SKINPRO AGE REPAIR GEL FPS30 50G
7502002463331,FC-02463331,Farmapiel,Skinpro Oil Control Gel FPS 30,SKINPRO OIL CONTROL GEL FPS30 50G
7502002463232,FC-02463232,Farmapiel,Sodimel S,SODIMEL S 60 CAPS
7502002463140,FC-02463140,Farmapiel,Ureskin 10 Crema Hidratante,URESKIN 10 CREMA HIDRATANTE 250G
7502002463188,FC-02463188,Farmapiel,Ureskin 10 Crema Hidratante,URESKIN 10 CREMA HIDRATANTE 500G
7502002463157,FC-02463157,Farmapiel,Ureskin 20 Crema Hidratante,URESKIN 20 CREMA HIDRATANTE 250G
7502002463164,FC-02463164,Farmapiel,Ureskin 40 Exfoliante-Hidratante,URESKIN 40 EXFOLIANTE-HIDRATANTE 50G
7502002463133,FC-02463133,Farmapiel,Ureskin 5 Crema Hidratante,URESKIN 5 CREMA HIDRATANTE 50G
7502002463171,FC-02463171,Farmapiel,Ureskin 50 Exfoliante-Hidratante,URESKIN 50 EXFOLIANTE-HIDRATANTE 50G
7502002463195,FC-02463195,Farmapiel,Xeltetra-M 100 mg,XELTETRA-M 100MG 30CAPS
3760095254579,FC-95254579,Fedele,Acm Antitranspirante Intensivo 72 H,ACM ANTITRANSPIRANTE INTENSIVO 72 H 50 ML
3760095254616,FC-95254616,Fedele,Acm Azeane,ACM AZEANE 30ml
3760095254562,FC-95254562,Fedele,Acm Desodorante Antitranspirante Calmante Piel Sensible 48 H,ACM DESODORANTE ANTITRANSPIRANTE CALMANTE PIEL SENSIBLE 48 H 50 ML
3760095254555,FC-95254555,Fedele,Acm Desodorante Antitrasnpirante Frescor Unisex 48 H,ACM DESODORANTE ANTITRASNPIRANTE FRESCOR UNISEX 48 H 50 ML
3760095254548,FC-95254548,Fedele,Acm Desodorante Natural 24 H,ACM DESODORANTE NATURAL 24 H 50 ML
3401366835959,FC-66835959,Fedele,Caditar Shampoo,CADITAR SHAMPOO 150ML
3760095251899,FC-95251899,Fedele,Depiwhite M FPS 50+ Protectora Facial,DEPIWHITE M FPS50+ PROTECTORA FACIAL 40ML
