ean,nombre,marca,costo_derma,costo_bio_sin_iva,costo_bio_con_iva,pvp_ref,disp_derma,disp_bio_web,semaforo_derma,ganador_costo,precio_fc_derma_mas25,precio_fc_bio_mas25
8429420109445,Isdin Woman Crema hidratante vulvar 30 gr,Isdin,224.7,280.0,324.8,321.0,1,no,AMARILLO,Dermaexpress,281,406
8429420144835,Isdin Woman Lubricante vaginal 30 ml,Isdin,185.5,220.0,255.2,265.0,1,no,AMARILLO,Dermaexpress,232,319
8429420152120,Isdin Ureadin Crema de manos reparadora 50 ml,Isdin,126.0,140.0,162.4,180.0,1,no,AMARILLO,Dermaexpress,158,203
8429420156982,Isdin Lambdacaps Suplemento alimenticio 30 caps,Isdin,730.1,680.0,788.8,1043.0,1,no,AMARILLO,Dermaexpress,913,986
8429420161214,Isdin Fotoprotector FPS50+ Gel crema Alta protección solar familiar 250 ml,Isdin,569.1,550.0,638.0,813.0,1,no,AMARILLO,Dermaexpress,712,798
8429420164994,Isdin Woman Gel de limpieza íntima 200 ml,Isdin,233.8,300.0,348.0,334.0,1,no,AMARILLO,Dermaexpress,293,435
8429420166547,Isdin Nutratopic Pro-AMP Loción emoliente Hidrata y calma la piel atópica 400 ml,Isdin,492.8,550.0,638.0,704.0,1,no,AMARILLO,Dermaexpress,616,798
8429420171763,"Isdin Bexident Aftas Colutorio, alivio rápido y duradero 120 ml",Isdin,247.8,220.0,255.2,354.0,0,no,AMARILLO,empate,310,319
8429420184527,Isdin Woman Crema antiestrías 250 ml,Isdin,443.1,505.0,585.8,633.0,1,no,AMARILLO,Dermaexpress,554,733
8429420184558,Isdin Woman Crema Reafirmante 200 ml,Isdin,401.8,430.0,498.8,574.0,1,no,AMARILLO,Dermaexpress,503,624
8429420203082,Isdin Isdinceutics Vital Eyes Crema reparadora antiarrugas 15 gr,Isdin,786.1,750.0,870.0,1123.0,1,no,AMARILLO,Dermaexpress,983,1088
8429420220591,Isdin Bexident Encías Uso Diario Colutorio CPC + Cymenol Protección y Cuidado Gingival 250 ml,Isdin,277.9,330.0,382.8,397.0,1,no,AMARILLO,Dermaexpress,348,479
8429420220607,Isdin Bexident Encías Uso Diario Pasta Dentífrica CPC + Dymenol Protección y Cuidado Gingival 75 ml,Isdin,229.6,260.0,301.6,328.0,1,no,AMARILLO,Dermaexpress,287,377
8429420222465,Isdin Nutradeica Gel-crema facial Para dermatitis seborreica 50 ml,Isdin,395.5,420.0,487.2,565.0,1,no,AMARILLO,Dermaexpress,495,609
8429420222472,Isdin Nutradeica Shampoo Anticaspa grasa 200 ml,Isdin,392.0,370.0,429.2,560.0,1,no,AMARILLO,Dermaexpress,490,537
8429420227606,Isdin Acniben Gel matificante Limpiador para piel grasa con tendencia acnéica 200 ml,Isdin,361.2,400.0,464.0,516.0,1,no,AMARILLO,Dermaexpress,452,580
8429420230514,Isdin Bexident Dientes Sensibles Pasta Dentífrica CPC + Cymenol Alivio y Protección 75 ml,Isdin,198.8,220.0,255.2,284.0,1,no,AMARILLO,Dermaexpress,249,319
8429420245341,Isdin Fotoultra Redness Protector solar para piel con rosácea FPS50 50 ml,Isdin,500.5,480.0,556.8,715.0,1,no,AMARILLO,Dermaexpress,626,696
