sku,nombre,tipo,principio_activo,costo,precio_fc,stock,tenia_ref,mejor_confianza,mejor_candidato,motivo
FC-7426449,Nesajar 100/300 mg C/16,generico,Pinaverio bromuro; Dimeticona,114.27,155.0,2.0,True,70,BROMURO DE PINAVERIO 100 MG 14 TABLETAS,no comparable: concentracion difiere ['300mg']≠['100mg']
FC-8505126,Neuralin solucion inyectable,generico,Complejo B + Lidocaina + Dexametasona,148.89,184.0,2.0,False,33,DEXAMETASONA/LIDOCAINA/VITAMINA B1 B6 B12 6 AMPOLLETAS,no comparable: al competidor le faltan 1/3 principios activos (complejo)
EQ-NOV137,Nineka 20 Tab 129/280/30 Mg,generico,Neomicina / Caolín y Pectina,37.67,61.0,2.0,False,82,NEOMICINA / CAOLIN / PECTINA 20 TABLETAS,no comparable: candidato sin tamano declarado
FC-75717914,Nineka suspensión neomicina/caolín/pectina,generico,Neomicina + Caolin + Pectina,23.45,38.0,2.0,False,82,NEOMICINA / CAOLIN / PECTINA SUSPENSION 1 PZA,no comparable: candidato sin tamano declarado
EQ-ALP0410,Nistatina 1 Susp 1 Ui /24 Ml,generico,Nistatina,34.07,55.0,1.0,False,70,NISTATINA 100000UI POLVO PARA SUSPENSION 24 ML 1 PIEZA,"no comparable: concentracion difiere en parte ['1ui', '24ml']≠['100000ui', '24ml']"
EQ-SON225,Norkin 7 Caps 40 Mg,generico,,13.95,23.0,2.0,False,0,,sin resultados VTEX
FC-09760541,Normex leche de magnesia 8.5 g/100 mL,generico,,41.82,67.0,1.0,False,0,,sin resultados VTEX
FC-09790739,Normex leche de magnesia 8.5 g/100 mL,generico,,14.06,23.0,1.0,False,0,,sin resultados VTEX
FC-09790029,Normex leche de magnesia 8.5 g/100 mL,generico,,26.67,43.0,1.0,False,0,,sin resultados VTEX
FC-5D9DFA3D,Norquinol,generico,NORQUINOL,47.87,79.0,2.0,True,19,NORFLOXACINO 400 MG 20 TABLETAS,no comparable: nuestro catalogo sin concentracion
EQ-SON153,Nysmosons-V 10 Ovs 500/0.5mg/100000 Ui,generico,Metronidazol / Nistatina / Fluocinolona,43.06,69.0,2.0,False,82,FLUOCINOLONA / METRONIDAZOL / NISTATINA 10 OVULOS,no comparable: candidato sin tamano declarado
FC-A909ABC0,Odivitor,generico,Atorvastatina,13.77,19.0,3.0,True,80,ATORVASTATINA 80MG 30 TABLETAS,no comparable: nuestro catalogo sin concentracion
FC-00204798,Omelina Gel Omega 3-6-9 linaza orgánica C/60,generico,Aceite de linaza organica,74.29,108.0,2.0,False,23,NOPAL / CHIA / LINAZA / PIÑA 350 GR 1 PIEZA,no comparable: al competidor le sobran principios activos (nopal)
FC-16792555,Omeprazol 20 mg 14 cápsulas LGEN,generico,,9.5,24.0,0,False,100,OMEPRAZOL 20 MG 14 CAPSULAS,precio 6.2x el costo
FC-16792760,Omeprazol 20 mg 30 cápsulas LGEN,generico,,16.13,41.0,2.0,False,90,OMEPRAZOL 20 MG 120 CAPSULAS,precio 9.1x el costo
FC-49028234,Omeprazol 40 mg solución inyectable ampolleta LGEN,generico,,29.06,73.0,1.0,False,72,OMEPRAZOL 40 MG 7 CAPSULAS,no comparable: forma difiere solucion≠capsula
EQ-COL073,Otilin 1 Got 350mg/2g De 20 Ml,generico,Lidocaína / Neomicina,25.01,41.0,2.0,False,72,NEOMICINA / LIDOCAINA 0.350/2GR SOLUCION GOTAS 20 ML 1 PIEZA,no comparable: forma difiere gotas≠solucion
FC-FD92D114,Ovisen,generico,FLUOXETINA,10.19,13.25,1.0,False,80,FLUOXETINA 20 MG 28 CAPSULAS,no comparable: nuestro catalogo sin concentracion
FC-F7DB080D,Ovisen,generico,FLUOXETINA,20.33,29.0,1.0,False,80,FLUOXETINA 20 MG 28 CAPSULAS,no comparable: nuestro catalogo sin concentracion
EQ-BEA426,Oxido De Zinc 1 Pasta 30 G,generico,Óxido de Zinc,10.38,17.0,5.0,False,70,OXIDO DE ZINC 25GR/100GR PASTA 1 PIEZA,"no comparable: concentracion difiere ['30000mg']≠['100000mg', '25000mg']"
FC-27879597,Oxitetraciclina 500 mg 16 cápsulas,generico,,70.0,175.0,2.0,False,0,,sin resultados VTEX
FC-B2123139,Oxivag,generico,Ácido alendrónico,31.94,59.0,1.0,False,80,ACIDO ASCORBICO  500MG 30 CAPSULAS,no comparable: nuestro catalogo sin concentracion
FC-B4477A00,Pentibroxil,generico,AMOXICILINA + AMBROXOL,30.04,57.0,2.0,False,55,AMOXICILINA 500 MG 12 CAPSULAS,no comparable: al competidor le faltan 1/2 principios activos (ambroxol)
FC-7AA38F97,Pentiver,generico,Ampicilina,31.2,52.0,2.0,True,80,AMPICILINA 1 GR SOLUCION INYECTABLE 1 PIEZA,no comparable: nuestro catalogo sin concentracion
FC-B72A6420,Pentiver,generico,Ampicilina,27.06,47.0,1.0,True,80,AMPICILINA 1 GR SOLUCION INYECTABLE 1 PIEZA,no comparable: nuestro catalogo sin concentracion
FC-83141226,Perludil 150 mg / 10 mg Caja con 1 ampolleta Collins,generico,Algestona / Estradiol,48.65,80.0,1.0,False,70,ALGESTONA / ESTRADIOL SOLUCION INYECTABLE 1 ML 1 AMPOLLETA,"no comparable: concentracion difiere ['10mg', '150mg']≠['1ml']"
EQ-QUM014,Pharmacaine 1 Aer 10g/100ml/115 Ml,generico,Lidocaína,101.3,269.0,1.0,False,70,LIDOCAINA  5/100GR (5%) UNGÜENTO 1 PIEZA,"no comparable: concentracion difiere ['10000mg', '100ml', '115ml']≠['100000mg']"
EQ-ULT146,Pioglitazona,generico,Pioglitazona,13.35,60.0,5.0,True,80,PIOGLITAZONA 15 MG 7 TABLETAS,no comparable: nuestro catalogo sin concentracion
FMX-504851,Pioklean Spray C/130 Ml,generico,Mezcla de Hierbas,60.85,98.0,1.0,False,70,SIMIBROX D MALTITOL Y MEZCLA DE HIERBAS SIN AZUCAR JARABE 240 ML 1 PIEZA,no comparable: concentracion difiere ['130ml']≠['240ml']
FC-5112881,Pisacaina 2% 20 mg/ml Sol 50 ml,generico,Lidocaina,85.0,114.75,1.0,False,70,LIDOCAINA  5/100GR (5%) UNGÜENTO 1 PIEZA,"no comparable: concentracion difiere ['20mg', '50ml']≠['100000mg']"
FMX-505937,Pleniform-40 Tabletas C/30,generico,,74.27,119.0,1.0,False,0,,sin resultados VTEX
FC-31405888,Plusgel antiacido C/50 masticables,generico,Hidroxido de aluminio + Hidroxido de magnesio + Dimeticona,48.77,79.0,1.0,True,0,CREMA ACEITE DE ALMENDRAS DULCES E HIDROXIDO DE CALCIO 225 ML 1 PIEZA,no comparable: al competidor le faltan 1/3 principios activos (dimeticona)
EQ-SON193,Poral Otico 1 Got 10 Ml,generico,Hidrocortisona / Cloranfenicol / Benzocaína,34.41,56.0,2.0,False,72,HIDROCORTISONA / CLORANFENICOL / BENZOCAINA SOLUCION OTICA 10 ML 1 PIEZA,no comparable: forma difiere gotas≠solucion
FC-04D83B46,Pralex,generico,Escitalopram,42.85,58.0,2.0,True,80,ESCITALOPRAM 10 MG 14TABLETAS,no comparable: nuestro catalogo sin concentracion
FC-36003621,Precicol hioscina/paracetamol gotas 20 mL,generico,Hioscina + Paracetamol,37.22,60.0,1.0,False,72,PARACETAMOL / BUTILHIOSCINA 100/2 MG SOLUCION GOTAS 20 ML 1 PIEZA,no comparable: forma difiere gotas≠solucion
EQ-MAV065,Presistin 1 Susp 0.1g/60ml,generico,Cisaprida,24.47,40.0,1.0,False,70,CISAPRIDA 10 MG 30 TABLETAS,"no comparable: concentracion difiere ['100mg', '60ml']≠['10mg']"
EQ-PGE046,Progelben Benzonatato,generico,Benzonato,19.66,32.0,5.0,False,80,BENZONATATO 100 MG 20 CAPSULAS,no comparable: nuestro catalogo sin concentracion
FC-08344501,Promega 3 Omega 3,generico,,79.28,115.0,3.0,False,0,,sin resultados VTEX
EQ-HIS085,Protaisol 1 Susp/Aer 200 Dos/5 12.80 G,generico,Ipratropio,96.21,154.0,1.0,False,70,IPRATROPIO 20 MCG AEROSOL PARA INHALACION 200 DOSIS 1 PIEZA,no comparable: concentracion difiere ['12800mg']≠['20mcg']
FC-08344150,Prugnex Senósidos A-B 12 mg + ciruela 50 mg,generico,,37.07,60.0,1.0,False,25,SENOSIDOS AB / CIRUELA 30 PERLAS,no comparable: candidato sin tamano declarado
EQ-LIF033,Queratal Tretinoina,generico,Tretinoina,25.09,41.0,2.0,False,80,TRETINOINA (AC RETINOICO) .05 MG CREMA 30 GR 1 PIEZA,no comparable: nuestro catalogo sin concentracion
EQ-QUM068,Quimunex 1 Sol 100 Mg/100 Ml,generico,Prednisolona,68.48,110.0,1.0,False,70,PREDNISOLONA 1MG/1ML SOLUCION 100 ML 1 PIEZA,"no comparable: concentracion difiere en parte ['100mg', '100ml']≠['100ml', '1mg', '1ml']"
FC-26EA40A4,Ramcinet,generico,,19.65,27.0,6.0,False,0,,sin resultados VTEX
FC-6074BB64,Redalip,generico,Bezafibrato,15.52,30.0,2.0,True,80,BEZAFIBRATO 200 MG 30 TABLETAS,no comparable: nuestro catalogo sin concentracion
FC-90287992,Redbelgy (Cianocobalamina) 1000 mcg masticable,generico,Cianocobalamina,34.69,56.0,1.0,False,82,SIMI B12 CIANOCOBALAMINA (VITAMINA B12) 30 TABLETAS MASTICABLES,no comparable: candidato sin tamano declarado
FC-57925EF3,Reglusan,generico,GLIBENCLAMIDA,8.88,11.55,5.0,True,80,GLIBENCLAMIDA 5 MG 50 TABLETAS,no comparable: nuestro catalogo sin concentracion
EQ-ULT056,Retoflam-F 10 Tab 215/15 Mg,generico,Metocarbamol / Meloxicam,19.15,31.0,1.0,False,70,MELOXICAM / METOCARBAMOL 15/215MG 10 CAPSULAS,no comparable: concentracion difiere ['15mg']≠['215mg']
FC-2E5B7248,Reumatol,generico,MENTOL + ALCANFOR + METILSALICILATO,11.0,17.61,2.0,False,64,ALCANFOR / MENTOL / EUCALIPTO / TREMENTINA / SALICILATO DE METILO UNGÜENTO 1 PIEZA,no comparable: al competidor le faltan 1/3 principios activos (metilsalicilato)
EQ-SON112,Ridin Adulto jarabe dextrometorfano/guaifenesina/clorfenamina 120 mL,generico,Dextrometorfano / Guaifenesina / Clorfenamina,30.53,65.0,1.0,False,65,DEXTROMETORFANO / GUAIFENESINA  .2/2 GR ADULTO SOLUCION 120 ML 1 PIEZA,no comparable: al competidor le faltan 1/3 principios activos (clorfenamina)
FC-01163232,Ridin Pediátrica jarabe dextrometorfano/guaifenesina/clorfenamina,generico,,26.62,43.0,2.0,False,0,FENAZOPIRIDINA 100 MG 20 TABLETAS,no comparable: concentracion difiere ['120ml']≠['100mg']
FC-53601247,Rinomar Agua Isotonica,generico,,86.9,105.0,2.0,False,0,,sin resultados VTEX
FC-12250181,Rocainol Ung,generico,Salicilato de metilo + Mentol,53.12,71.72,2.0,False,47,ALCANFOR / MENTOL / EUCALIPTO / TREMENTINA / SALICILATO DE METILO UNGÜENTO 1 PIEZA,"no comparable: al competidor le sobran principios activos (alcanfor, eucalipto, trementina)"
FC-40450230,Rosel solución infantil 0.5/0.02/3 g,generico,,26.88,44.0,2.0,False,18,AMANTADINA .5 GR / CLORFENAMINA .02 GR/ PARACETAMOL 3 GR  SOLUCION INFANTIL 60 ML 1 PIEZA,confianza 18 < 85
FC-27870259,Roxidolin Doxiciclina 100 mg 10 cápsulas,generico,,21.15,53.0,1.0,False,80,DOXICICLINA 100 MG 10 CAPSULAS,confianza 80 < 85
FC-95467264,Sal de Uvas Ixh C/50,generico,,163.5,261.61,1.0,False,76,SAL DE UVAS PICOT BICARBONATO DE SODIO / ACIDO TARTARICO / ACIDO CITRICOPOLVO EFERVESCENTE 12 SOBRES,confianza 76 < 85
FMX-505399,Saludol-Corporal Gel C/100 Gr,generico,"MENTOL, CANEDULA,ARNICA,SABILA",49.69,80.0,1.0,False,65,GEL TOPICO MENTOL / ARNICA / CALENDULA / SABILA 100 GR 1 PIEZA,no comparable: al competidor le faltan 1/4 principios activos (canedula)
FC-73902584,Sarox (Omeprazol) 20 mg,generico,Omeprazol,8.42,14.0,3.0,False,100,OMEPRAZOL 20 MG 14 CAPSULAS,precio 7.0x el costo
FMX-507495,Senloir Tabletas 10 Mg C/20,generico,MONTELUKAST,31.0,56.0,1.0,False,100,MONTELUKAST 10 MG 20 TABLETAS,precio 6.4x el costo
FC-F817BC3A,Sibicos,generico,Bifonazol,33.65,43.75,2.0,True,80,BIFONAZOL UNGÜENTO 20 GR 1 PIEZA,no comparable: nuestro catalogo sin concentracion
EQ-ULT145,Sildenafil 4 Tab 100 Mg,generico,Sildenafil,24.21,39.0,6.0,False,100,SILDENAFIL 100 MG 4 TABLETAS,precio 6.2x el costo
EQ-BEA267,Sildenafil beadvance 50 mg 1 tableta,generico,Sildenafil,4.9,8.0,4.0,False,100,SILDENAFIL 50 MG 1 TABLETA,precio 8.0x el costo
FC-09745393,Siracux Adulto (Oxeladina/Ambroxol) 0.200-0.225 g/100 mL,generico,Oxeladina/Ambroxol,42.66,69.0,1.0,False,0,LEVODROPROPIZINA / AMBROXOL 0.6/0.3GR/100ML SOLUCION 120ML,no comparable: al competidor le faltan 1/2 principios activos (oxeladina)
FMX-503320,Solucion-Pisa Cs 0.9 C/1000 Ml,generico,,43.71,70.0,1.0,False,0,CLORURO DE SODIO 0.9% SOLUCION INYECTABLE 250 ML 1 PIEZA,no comparable: concentracion difiere ['1000ml']≠['250ml']
FC-49020337,Sulindaco 200 mg,generico,,47.3,76.0,1.0,False,55,SULINDACO 200 MG 20 TABLETAS,confianza 55 < 85
EQ-DEN074,Tadalafil Delaphil,generico,Delaphil 5 mg,36.27,59.0,1.0,False,0,,sin resultados VTEX
FMX-303355,Taflavix Frasco C/40,generico,VALERIANA,90.23,145.0,1.0,False,80,SIMI PZ VALERIANA 250 MG OFFICINALIS 30 CAPSULAS,no comparable: nuestro catalogo sin concentracion
FC-49025844,Telmisartán 40 mg,generico,,35.1,57.0,2.0,False,55,TELMISARTAN 40 MG 14 TABLETAS,confianza 55 < 85
FC-83142308,Tempire (Paracetamol) gotas 100 mg/mL,generico,Paracetamol,20.0,32.0,1.0,False,72,PARACETAMOL 100 MG/ML SOLUCION PEDIATRICA SABOR UVA TEMPRA 30 ML 1 PIEZA,no comparable: forma difiere gotas≠solucion
FC-00005823,Tobramicina / Dexametasona solución oftálmica 3-1 mg/mL,generico,,54.22,87.0,2.0,False,55,TOBRAMICINA / DEXAMETASONA 3/1 MG SOLUCION OFTALMICA 5 ML 1 PIEZA,confianza 55 < 85
EQ-EXA040,Tobramicina solución oftálmica 3 mg/mL 15 mL OPKO,generico,Tobramicina,66.34,110.0,2.0,False,46,TOBRAMICINA / DEXAMETASONA 3/1 MG SOLUCION OFTALMICA 5 ML 1 PIEZA,no comparable: al competidor le sobran principios activos (dexametasona)
EQ-VIC030,Tofel 10 Tab 50/500 Mg,generico,Diclofenaco / Paracetamol,37.55,61.0,2.0,False,65,PARACETAMOL 500 MG 10 TABLETAS,no comparable: al competidor le faltan 1/2 principios activos (diclofenaco)
EQ-MAV322,"Traditor Indometacina, Betametasona",generico,"Indometacina / Betametasona, 500mg/50mg",47.47,76.0,1.0,False,53,INDOMETACINA / BETAMETASONA / METOCARBAMOL 20 CAPSULAS,no comparable: al competidor le sobran principios activos (metocarbamol)
FC-71829601,Tribedoce 50000 UI,generico,Hidroxocobalamina + Tiamina + Piridoxina,73.11,98.7,2.0,False,70,HIDROXOCOBALAMINA 10000 MCG / TIAMINA 100 MG / PIRIDOXINA 50 MG SOLUCION INYECTABLE 5 AMPOLLETAS,"no comparable: concentracion difiere ['50000ui']≠['10000mcg', '100mg', '50mg']"
FC-37163266,Tribedoce Compuesto Dx,generico,"Diclofenaco + Complejo B (Tiamina, Piridoxina, Cianocobalamina)",54.1,68.0,2.0,False,42,DICLOFENACO .18 GR SUSPENSION 120 ML 1 PIEZA,"no comparable: al competidor le faltan 3/4 principios activos (complejo, piridoxina, cianocobalamina)"
FC-37164713,Tribedoce Compuesto grageas,generico,"Diclofenaco + Complejo B (Tiamina, Piridoxina, Cianocobalamina)",45.0,75.0,5.0,False,55,DICLOFENACO 100MG 20 TABLETAS,"no comparable: al competidor le faltan 3/4 principios activos (complejo, piridoxina, cianocobalamina)"
FC-88947797,Tribedoce Tabletas,generico,Tiamina/Piridoxina/Cianocobalamina,17.64,26.0,5.0,False,4,HIDROXOCOBALAMINA 10000 MCG / TIAMINA 100 MG / PIRIDOXINA 50 MG SOLUCION INYECTABLE 5 AMPOLLETAS,no comparable: al competidor le faltan 1/3 principios activos (cianocobalamina)
EQ-MAV387,Trimebut/Simetic Sup Ped 0.60g/0.60g,generico,Trimebutina / Simeticona,71.95,116.0,1.0,False,72,TRIMEBUTINA/SIMETICONA 0.600/0.600 GR SUSPENSION 26 ML,no comparable: forma difiere sobre≠suspension
EQ-STR008,Trociletas-B,generico,Cloruro de cetilpiridinio / Benzocaína,32.11,52.0,2.0,False,19,CLORURO DE POTASIO 500 MG 50 GRAGEAS,no comparable: al competidor le faltan 1/2 principios activos (benzocaina)
FC-1DAD5EF1,Tusilen adulto jarabe,generico,Dextrometorfano / Guaifenesina / Fenilefrina,24.22,31.49,1.0,False,70,GUAIFENESINA / FENILEFRINA / DEXTROMETORFANO PEDIATRICO SOLUCION GOTAS 60 ML 1 PIEZA,no comparable: concentracion difiere ['118ml']≠['60ml']
EQ-AVT135,Tusilen pediátrico jarabe 118 mL,generico,Dextrometorfano / Guaifenesina / Paracetamol,24.89,33.0,1.0,False,43,DEXTROMETORFANO 300 MG JARABE 120 ML 1 PIEZA,"no comparable: al competidor le faltan 2/3 principios activos (guaifenesina, paracetamol)"
FC-50003314,Unguento Bronco Rub 40 g,generico,Herbolario topico,29.01,39.16,1.0,False,0,,sin resultados VTEX
FC-405A75E3,Ursodesoxicolico,generico,,217.23,294.0,1.0,False,80,ACIDO URSODEOXICOLICO 250 MG 50 CAPSULAS,no comparable: nuestro catalogo sin concentracion
FC-022543CD,Valclan,generico,AMOXICILINA/AC. CLAVULANICO,37.22,51.0,3.0,False,63,AMOXICILINA / ACIDO CLAVULANICO 875MG 10 TABLETAS,no comparable: al competidor le faltan 1/2 principios activos (ac.)
FC-D06E54FE,Valclan,generico,AMOXICILINA/AC. CLAVULANICO,51.18,70.0,3.0,False,63,AMOXICILINA / ACIDO CLAVULANICO 875MG 10 TABLETAS,no comparable: al competidor le faltan 1/2 principios activos (ac.)
FC-D11D586A,Valgab 3 jarabe 6 mL,generico,Desloratadina,19.41,25.24,1.0,False,70,DESLORATADINA 50 MG SOLUCION 120 ML 1 PIEZA,"no comparable: concentracion difiere en parte ['50mg', '6ml']≠['120ml', '50mg']"
FC-4C621D07,Vanmoxol,generico,VANMOXOL,18.03,29.0,1.0,False,0,,sin resultados VTEX
EQ-LOE096,Vidalol Plus 20 Tab 10/500 Mg,generico,Butilhioscina / Paracetamol,47.53,77.0,1.0,False,70,PARACETAMOL / BUTILHIOSCINA 500/10 MG 20 TABLETAS,no comparable: concentracion difiere ['500mg']≠['10mg']
FC-36006042,Virindrez Adulto (Oximetazolina) 0.050%,generico,Oximetazolina,23.85,39.0,2.0,False,72,OXIMETAZOLINA ADULTO 50MG/100ML SOLUCION NASAL 20 ML 1 PIEZA,no comparable: forma difiere spray≠solucion
FC-36006028,Virindrez Infantil (Oximetazolina) 0.025%,generico,Oximetazolina,20.7,34.0,1.0,False,72,OXIMETAZOLINA ADULTO 50MG/100ML SOLUCION NASAL 20 ML 1 PIEZA,no comparable: forma difiere spray≠solucion
FC-0287855,Vita Kid-C jarabe vitamina C naranja 240 ml,generico,Vitamina c,29.14,65.0,1.0,False,72,VITAMINA D3+VITAMINA K2 30 CAPSULAS,no comparable: candidato sin tamano declarado
FMX-301721,Vita/Kid/C Jarabe C/240 Ml,generico,,29.14,47.0,1.0,False,11,GOMITAS VITAMINA C/ZINC/VITAMINA D 60 PIEZAS MULTIGOMI,no comparable: candidato sin tamano declarado
FC-01007656,Wamindel (Paracetamol) gotas 100 mg/mL,generico,Paracetamol,12.02,20.0,1.0,False,72,PARACETAMOL 100 MG/ML SOLUCION PEDIATRICA SABOR UVA TEMPRA 30 ML 1 PIEZA,no comparable: forma difiere gotas≠solucion
FC-50D044FF,Wermy,generico,Gabapentina,24.51,34.0,2.0,True,80,GABAPENTINA 400 MG 15 CAPSULAS,no comparable: nuestro catalogo sin concentracion
FC-759A5EF9,Wermy,generico,Gabapentina,39.41,65.0,2.0,True,80,GABAPENTINA 400 MG 15 CAPSULAS,no comparable: nuestro catalogo sin concentracion
FC-69A3C416,Wexpec,generico,Salbutamol / Ambroxol,16.65,23.0,1.0,False,80,AMBROXOL / SALBUTAMOL .15/.04 GR SOLUCION 120 ML 1 PIEZA,no comparable: nuestro catalogo sin concentracion
EQ-GEP049,X-Trid 12 Caps 15mg/5mg/2mg/250mg,generico,,23.17,38.0,2.0,False,0,,sin resultados VTEX
EQ-SON233,Zimeton 20 Tab 130/50/40 Mg,generico,Pancreatina / Extracto de bilis / Dimeticona,56.59,91.0,2.0,False,47,PANCREATINA / SIMETICONA / EXTRACTO DE BILIS DE BUEY / CELULOSA 50 TABLETAS,no comparable: al competidor le sobran principios activos (celulosa)
FC-A23F290E,Zitriasol,generico,ZITRIASOL 100 mg,34.61,56.0,2.0,True,40,ITRACONAZOL 100 MG 15 CAPSULAS,confianza 40 < 85
FC-3D0ED22B,Zukedib,generico,Glimepirida,27.98,38.0,1.0,True,80,GLIMEPIRIDA 4 MG 30 TABLETAS,no comparable: nuestro catalogo sin concentracion
FC-00001292,Aceite de ricino Frasco 50 mL Mercurio,marca,Aceite de ricino,9.5,15.0,2.0,False,0,,sin resultados VTEX
FC-80596011,Aderogyl ampolletas C/4,marca,Vitamina C + Vitamina A + Vitamina D3 + Complejo B,96.92,130.85,2.0,False,56,VITAMINA D3+VITAMINA K2 30 CAPSULAS,no comparable: al competidor le faltan 1/4 principios activos (complejo)
FC-06134531,Afrin Adulto spray 20 mL,marca,Oximetazolina,75.38,95.0,2.0,False,72,OXIMETAZOLINA ADULTO 50MG/100ML SOLUCION NASAL 20 ML 1 PIEZA,no comparable: forma difiere spray≠solucion
FC-06247327,Afrin No Drip Descongestivo Nasal spray,marca,Clrhidrato de oximetazolina,109.76,140.0,1.0,False,0,OXIMETAZOLINA ADULTO 50MG/100ML SOLUCION NASAL 20 ML 1 PIEZA,"no comparable: concentracion difiere ['0.5mg', '15ml']≠['100ml', '20ml', '50mg']"
FC-05062376,Afrin No Drip solución nasal 15 mL,marca,Oximetazolina,115.52,145.0,1.0,False,70,OXIMETAZOLINA ADULTO 50MG/100ML SOLUCION NASAL 20 ML 1 PIEZA,"no comparable: concentracion difiere ['15ml']≠['100ml', '20ml', '50mg']"
FC-08344747,Afrodit,marca,Emolientes,45.08,72.13,5.0,False,0,VITAMINA E 400 MG 90 CAPSULAS,no comparable: concentracion difiere ['400ui']≠['400mg']
FMX-504321,Aguja-Hipodermica-Sensimedical 22 G X 32 Mm C/1 Negro,marca,,0.55,1.0,100.0,False,0,AGUJA PARA PLUMA 31 G X 5 MM 10 PIEZAS ULTRA FINE,no comparable: concentracion difiere ['22000mg']≠['31000mg']
FC-52400267,Ajolotius Jarabe Elderberry,marca,Mezcla Herbal y vitaminas C y A,73.21,99.0,1.0,False,0,SIMIFILA CLOROFILA LIQUIDA SOLUCION 250 ML 1 PIEZA,confianza 0 < 85
FC-62746612,Ajolotius Jarabe Sin azucar,marca,Mezcla Herbal con vitamina C yA,87.42,119.0,1.0,False,5,SIMIBROX D MALTITOL Y MEZCLA DE HIERBAS SIN AZUCAR JARABE 240 ML 1 PIEZA,no comparable: al competidor le faltan 1/2 principios activos (vitamina)
FC-62746698,Ajolotius Jarbe con Bioalimentos/propoleo y vitamina C y A,marca,Bioalimentos / propoleo,57.72,80.0,1.0,False,0,,sin resultados VTEX
FC-52400038,Ajolotius menta eucalipto sin azúcar pastillas,marca,menta /eucalipto,21.36,30.0,8.0,False,4,CARBONATO DE CALCIO 12 TABLETAS MASTICABLES SABOR MENTA,no comparable: al competidor le faltan 1/2 principios activos (eucalipto)
FC-DF39BB27,Alevarin cápsulas C/45,marca,,68.86,89.55,1.0,False,0,,sin resultados VTEX
FC-8505003,Alin Dexametasona 8 mg/2 mL amp,marca,Dexametasona,68.8,86.0,1.0,False,72,DEXAMETASONA SOLUCION INYECTABLE 8MG/2ML 1 PIEZA,no comparable: forma difiere inyectable≠solucion
FC-08443026,Alka-Seltzer,marca,Acido acetilsalicilico + Acido citrico + Bicarbonato de sodio,256.56,347.0,35.0,False,90,ACIDO ACETILSALICILICO/BICARBONATO DE SODIO/ACIDO CITRICO 10 TABLETAS ALKA SELTZER,precio 0.15x el costo
FC-40053634,Alli Triple 50/.25/50/50 mg 6 tabletas,marca,,79.87,107.0,3.0,False,0,TOALLITAS DESMAQUILLANTES ALOE-VERA 30 PIEZAS,no comparable: candidato sin tamano declarado
FC-40013805,Alliviax desinflamatorio 550 mg 10 tabletas,marca,,100.5,134.0,0,False,0,NAPROXENO SODICO 550 MG 12 TABLETAS,confianza 0 < 85
EQ-COL213,Ampigrin PFC jarabe infantil 60 mL,marca,,24.91,40.0,1.0,False,9,AMANTADINA .5 GR / CLORFENAMINA .02 GR/ PARACETAMOL 3 GR  SOLUCION INFANTIL 60 ML 1 PIEZA,confianza 9 < 85
FC-88508929,Anara,marca,PICOSULFATO SODICO,162.6,220.0,1.0,False,80,PICOSULFATO DE SODIO 5 MG 20 TABLETAS,no comparable: nuestro catalogo sin concentracion
FC-85097661,Antiflu-Des Jr Antigripal,marca,Clorhidrato de amantadina/Maleato de clorfenamina/Paracetamol,125.34,204.0,1.0,False,38,AMANTADINA / CLORFENAMINA / PARACETAMOL 24 CAPSULAS,"no comparable: al competidor le faltan 2/3 principios activos (clorhidrato, maleato)"
FC-44B6751A,Aquito 500/100/30/4 Mg,marca,,59.63,77.52,1.0,False,0,,sin resultados VTEX
FC-08491074,Aspirina,marca,Acido acetilsalicilico,124.8,169.0,16.0,False,80,ACIDO ACETILSALICILICO 100MG ADULTO 30 COMPRIMIDOS,no comparable: nuestro catalogo sin concentracion
FC-84335531,Aspirina Forte C/24 Caf Iaspirina,marca,Acido acetilsalicilico + Caffeina,71.79,97.0,2.0,False,55,ACIDO ACETILSALICILICO 500 MG 20 TABLETAS,no comparable: al competidor le faltan 1/2 principios activos (caffeina)
FC-00450227,Bactrim 200/40 mg suspensión 100 ml,marca,,188.44,252.0,1.0,False,0,TRIMETOPRIMA/SULFAMETOXAZOL 800/4000MG SUSPENSION 120ML,"no comparable: concentracion difiere ['100ml', '40mg']≠['120ml', '4000mg']"
FC-00450210,Bactrim F 800/160 mg 15 tabletas,marca,,331.87,443.0,1.0,False,0,TRIMETOPRIMA/SULFAMETOXAZOL 800/4000MG SUSPENSION 120ML,"no comparable: concentracion difiere ['160mg']≠['120ml', '4000mg']"
FC-013340,Bedoyecta Capsulas C/30,marca,Complejo B + Acido folico + Vitamina C + Rutina,177.87,258.0,1.0,False,39,SIMI B DIABETICO COMPLEJO B E INOSITOL 30 CAPSULAS,"no comparable: al competidor le faltan 3/4 principios activos (acido, vitamina, rutina)"
FC-30133021,Bedoyecta Tri,marca,Hidroxocobalamina/Tiamina/Piridoxina,273.42,397.0,1.0,False,72,HIDROXOCOBALAMINA 10000 MCG / TIAMINA 100 MG / PIRIDOXINA 50 MG SOLUCION INYECTABLE 5 AMPOLLETAS,no comparable: forma difiere inyectable≠solucion
FC-79071241,Bisolvon Infantil,marca,Bromhexina,144.95,196.0,1.0,False,70,BROMHEXINA 160MG/100ML ADULTO SOLUCION 1 PIEZA,"no comparable: concentracion difiere ['120ml', '80mg']≠['100ml', '160mg']"
