sku,nombre,tipo,principio_activo,costo,precio_fc,stock,tenia_ref,mejor_confianza,mejor_candidato,motivo
EQ-BRU016,Brulin (Dexametasona) 3 Fa 8mg/2 Ml,generico,Dexametasona,24.28,39.0,2.0,False,72,DEXAMETASONA SOLUCION INYECTABLE 8MG/2ML 1 PIEZA,no comparable: forma difiere inyectable≠solucion
EQ-NOV165,Budenova Susp .125 Mg/Ml 5 Amp 2ml,generico,Budesonida,130.24,209.0,1.0,False,70,BUDESONIDA SUSPENSION 0.250MG/2ML O 0.125MG/ML PARA NEBULIZACION 5 AMPOLLETAS,"no comparable: concentracion difiere en parte ['125mg', '2ml']≠['0.125mg', '0.25mg', '2ml']"
FC-447B30F9,Budesonida,generico,Budesonida,131.38,170.8,2.0,True,72,BUDESONIDA SUSPENSION 0.500MG/2ML O 0.250MG/ML SUSPENSION PARA NEBULIZACION 5 AMPOLLETAS,no comparable: nuestro catalogo sin concentracion
FC-281E0F22,Budesonida,generico,Budesonida,153.72,208.0,1.0,True,80,BUDESONIDA SUSPENSION 0.500MG/2ML O 0.250MG/ML SUSPENSION PARA NEBULIZACION 5 AMPOLLETAS,no comparable: nuestro catalogo sin concentracion
FC-C6C20517,Budimin,generico,Bumetanida,31.31,43.0,1.0,False,80,BUMETANIDA 1 MG 20 TABLETAS,no comparable: nuestro catalogo sin concentracion
EQ-SON033,Busconet 1 Fa 250/20mg/5 Ml,generico,Hioscina / Metamizol sódico,33.38,54.0,0,False,70,METAMIZOL SODICO / BUTILHIOSCINA 2.5G/20MG SOLUCION INYECTABLE 1 AMPOLLETA,"no comparable: concentracion difiere en parte ['20mg', '5ml']≠['20mg', '2500mg']"
EQ-SON034,"Busconet Metamizol sodico, Hioscina",generico,Metamizol sódico / Hioscina,24.92,40.0,2.0,False,80,METAMIZOL / BUTILHIOSCINA  250/10MG 10 GRAGEAS,no comparable: nuestro catalogo sin concentracion
EQ-AMS463,Butilhioscina,generico,Butilhioscina,12.13,20.0,3.0,True,80,BUTILHIOSCINA 10 MG 10 TABLETAS,no comparable: nuestro catalogo sin concentracion
EQ-AMS075,Butilhioscina 3 Amp 20 Mg/1 Ml,generico,Butilhioscina,31.88,52.0,1.0,False,72,BUTILHIOSCINA  20MG/1ML SOLUCION INYECTABLE 3 AMPOLLETAS,no comparable: forma difiere inyectable≠solucion
FMX-502046,Calazin Suspension Topica C/180 Ml,generico,Calamina,36.85,59.0,2.0,False,0,,sin resultados VTEX
EQ-RAD096,Calcio Efe 12 Comp 500 Mg,generico,Calcio,39.07,63.0,1.0,False,82,CARBONATO DE CALCIO 12 TABLETAS MASTICABLES SABOR MENTA,no comparable: candidato sin tamano declarado
FC-08100099,Caltrón 600+D calcio 600 mg / vitamina D 125 UI,generico,,106.37,171.0,1.0,False,0,FIJADOR DE CEJAS 10ML GEL GELASIMI,"no comparable: concentracion difiere ['125ui', '600mg']≠['10ml']"
FC-82F88FED,Captopril,generico,CAPTOPRIL,7.95,13.0,5.0,True,80,CAPTOPRIL 25 MG 30 TABLETAS,no comparable: nuestro catalogo sin concentracion
FC-885F2723,Carbamazepina,generico,CARBAMAZEPINA,18.11,34.0,3.0,True,80,CARBAMAZEPINA 200 MG 20 TABLETAS,no comparable: nuestro catalogo sin concentracion
EQ-MAV142,Cefabroxil 15 Tab 500/30 Mg,generico,Cefalexina / Ambroxol,44.44,72.0,1.0,False,65,AMBROXOL 30 MG 20 COMPRIMIDOS,no comparable: al competidor le faltan 1/2 principios activos (cefalexina)
FC-A455EE80,Cefagen,generico,CEFALEXINA,74.58,126.0,1.0,True,80,CEFALEXINA 250MG/5ML SUSPENSION 100 ML 1 PIEZA,no comparable: nuestro catalogo sin concentracion
FC-2EDC6E3B,Cefagen,generico,CEFALEXINA,82.09,125.0,1.0,True,80,CEFALEXINA 500 MG 20 CAPSULAS,no comparable: nuestro catalogo sin concentracion
FC-E374F23E,Cefagen pediátrico,generico,CEFALEXINA,48.48,95.0,1.0,False,80,CEFALEXINA 250MG/5ML SUSPENSION 100 ML 1 PIEZA,no comparable: nuestro catalogo sin concentracion
FC-2005DD57,Cefalexina,generico,CEFALEXINA,39.84,83.0,2.0,True,80,CEFALEXINA 500 MG 20 CAPSULAS,no comparable: nuestro catalogo sin concentracion
FC-49022768,Cefalotina 1 g solución inyectable FA 5 ml LGEN,generico,,56.28,141.0,2.0,False,0,,sin resultados VTEX
FC-40CE757D,Cefalver,generico,Cefalexina,62.48,89.0,1.0,True,80,CEFALEXINA 500 MG 20 CAPSULAS,no comparable: nuestro catalogo sin concentracion
FC-492D652F,Cefalver,generico,Cefalexina,43.35,116.0,1.0,True,80,CEFALEXINA 500 MG 20 CAPSULAS,no comparable: nuestro catalogo sin concentracion
FC-22B18244,Cefotaxima IM (Inyectable),generico,1g / 4 mL,31.06,40.38,3.0,True,72,CEFOTAXIMA 1 GR SOLUCION INYECTABLE 1 PIEZA,no comparable: forma difiere inyectable≠solucion
FC-357D4A17,Ceftazidima,generico,Ceftazidima,45.42,59.05,2.0,True,80,CEFTAZIDIMA 1 GR SOLUCION INYECTABLE 1 PIEZA,no comparable: nuestro catalogo sin concentracion
FC-C636D8EA,Ceftriaxona IM 1 g (Inyectable),generico,Ceftriaxona,9.8,15.0,1.0,True,72,CEFTRIAXONA SOLUCION INYECTABLE 1 GR  1 AMPOLLETA,no comparable: forma difiere inyectable≠solucion
FC-25195105,Cefuroxima 750 mg FA + ampolleta 5 ml,generico,,42.56,107.0,2.0,False,72,CEFUROXIMA  750MG/5ML SOLUCION INYECTABLE 1 AMPOLLETA,no comparable: forma difiere inyectable≠solucion
FC-E6B50AC3,Celecoxib,generico,Celecoxib,34.82,48.0,2.0,True,80,CELECOXIB 200 MG 10 CAPSULAS,no comparable: nuestro catalogo sin concentracion
FC-6EAD98A9,Cepobrom,generico,CEFADROXIL,47.97,71.0,1.0,True,0,CEFALEXINA / BROMHEXINA 500/8.782MG 12 CAPSULAS,no comparable: nuestro catalogo sin concentracion
