prioridad,estado,clase,pedir,sku_similares,generico_similares,concentraciones,piezas,forma,linea,jerarquia,precio_similares,min_sucursal,objetivo
113,HUECO,B,2,3530,BLOQUEADOR ECOFRIENDLY 50+ 125ML ETERNAL,125ml,,,Protector solar,Cuidado de la piel y belleza,249.01,2,4
114,HUECO,B,2,4012,BLOQUEADOR FLUIDO FPS50+ 50ML ETERNAL,50ml,,,Protector solar,Cuidado de la piel y belleza,249.01,2,4
115,HUECO,B,2,3755,CLONIXINATO DE LISINA  / CICLOBENZAPRINA 125MG/5MG 20 TABLETAS,125mg 5mg,20,tableta,Analgésicos,Medicamentos,249.0,2,4
116,HUECO,B,2,4500,DESONIDA 0.05% CREMA 30 GR,30000mg,,crema,Antiinflamatorios,Analgesia,249.0,2,4
117,HUECO,B,2,2829,METFORMINA / GLIMEPIRIDA  850MG/4MG 16 TABLETAS LIBERACION PROLONGADA,4mg 850mg,16,tableta,Diabetes,Medicamentos,249.0,2,4
118,HUECO,B,2,2828,METFORMINA / GLIMEPIRIDA 1000MG/4MG 16 TABLETAS,1000mg 4mg,16,tableta,Diabetes,Medicamentos,249.0,2,4
119,HUECO,B,2,2982,OLMESARTAN 40MG 14 TABLETAS,40mg,14,tableta,Antihipertensivo,Medicamentos,249.0,2,4
120,HUECO,B,2,3158,VALPROATO DE MAGNESIO 600MG 30 TABLETAS LIBERACION PROLONGADA,600mg,30,tableta,Anticonvulsivo,Medicamentos,249.0,2,4
121,HUECO,B,2,3908,MESALAZINA 500MG 30 COMPRIMIDOS LIBERACION RETARDADA,500mg,30,tableta,Antiinflamatorio,Medicamentos,245.0,2,4
122,HUECO,B,2,3245,TIRAS REACTIVAS ACCU-CHEK ACTIVE 25 PIEZAS,,25,,Tiras reactivas,Diabetes,244.01,2,4
123,HUECO,B,2,3892,RUSCUS / HESPERIDINA/ ACIDO ASCORBICO 150/150/100MG 30 CAPSULAS,100mg,30,capsula,Flebotónico,Medicamentos,244.0,2,4
124,HUECO,B,2,2876,TRITICUM VULGARE / FENOXIETANOL 15G/1G/100GR CREMA 10 GR 1 PIEZA,100000mg 10000mg 1000mg 15000mg,1,crema,Dermatológico,Medicamentos,241.0,2,4
125,HUECO,B,2,3548,CREATINA 5 GR XGEAR 150 GR POLVO 1 PIEZA,150000mg 5000mg,1,polvo,Complementos,Deportistas,240.0,2,4
126,HUECO,B,2,3412,LERCANIDIPINO 10 MG 30 TABLETAS,10mg,30,tableta,Antihipertensivo,Medicamentos,239.0,2,4
127,HUECO,B,2,3315,NEBIVOLOL 5 MG 14 TABLETAS,5mg,14,tableta,Antihipertensivo,Medicamentos,239.0,2,4
128,HUECO,B,2,3386,ORLISTAT / L CARNITINA 60/200MG 21 CAPSULAS,200mg,21,capsula,Peso y metabolismo,Peso y metabolismo,239.0,2,4
129,HUECO,B,2,2448,COBAMAMIDA 1000 MCG 12 SOBRES,1000mcg,12,sobre,Medicamentos éticos,Medicamentos,236.0,2,4
130,HUECO,B,2,3739,PROBIOTICOS / PREBIOTICOS CAPSULAS  RAPID-MT 30 CAPSULAS,,30,capsula,Peso y metabolismo,Peso y metabolismo,234.01,2,4
131,HUECO,B,2,1967,MOMETASONA FUROATO  50MCG AD 140DOSIS 18ML SPRAY NASAL 1 PIEZA,18ml 50mcg,1,spray,Antialérgico,Medicamentos,234.0,2,4
132,HUECO,B,2,4244,MANTECA DE KARITE PARA TATUAJES 75GR BARKER,75000mg,,,Dermatológico,Cuidado de la piel y belleza,230.0,2,4
133,HUECO,B,2,3769,FEXOFENADINA 600 MG / 100 ML SUSPENSION 60 ML ALLEGRA,100ml 600mg 60ml,,suspension,Antialérgico,Medicamentos,229.0,2,4
134,HUECO,B,2,4123,RACECADOTRILO 30MG POLVO 18SOBRES HIDRASEC,30mg,18,polvo,Antidiarreico,Funcionamiento gastrointestinal,229.0,2,4
135,HUECO,B,2,3538,SOLUCION NASAL DE SUPEROXIDACION PH NEUTRO CLORO / OXIGENO ADULTO 30 ML 1 PIEZA,30ml,1,solucion,Aparato respiratorio,Aparato respiratorio,224.01,2,4
136,HUECO,B,2,3577,SOLUCION NASAL DE SUPEROXIDACION PH NEUTRO CLORO / OXIGENO INFANTIL 30 ML 1 PIEZA,30ml,1,solucion,Aparato respiratorio,Aparato respiratorio,224.01,2,4
137,HUECO,B,2,772,CIPROTERONA  / ETINILESTRADIOL 2 /.035 MG 21 TABLETAS,35mg,21,tableta,Medicamentos éticos,Medicamentos,224.0,2,4
138,HUECO,B,2,4501,PEROXIDO DE BENZOILO 5% GEL 60 GR,60000mg,,gel,Dermatológico,Cuidado de la piel y belleza,224.0,2,4
