sku,nombre,costo,precio_actual,precio_similares,precio_propuesto,delta,margen_propuesto_pct,stock,nombre_similares,confianza,nuevo_match
FC-01162365,Mornin (Omeprazol) 40 mg C/7 SON'S,13.95,25.0,74.0,73,48.0,80.9,2.0,OMEPRAZOL 40 MG 7 CAPSULAS,100,False
EQ-ALP0634,Losartan Alpharma 30 tab 50 mg,11.08,18.0,66.0,65,47.0,83.0,0,LOSARTAN POTASICO 50MG 30 TABLETAS,100,True
EQ-BEA403,Tamsulosina 20 Caps 0.4 Mg,32.12,52.0,99.0,98,46.0,67.2,1.0,TAMSULOSINA 0.40MG 20 CAPSULAS,100,False
EQ-AMS318,Losartan AMSA 30 comprimidos 50 mg,11.9,20.0,66.0,65,45.0,81.7,0,LOSARTAN POTASICO 50MG 30 TABLETAS,100,True
EQ-WER040,Punab 30 Tab 50 Mg,12.33,20.0,66.0,65,45.0,81.0,3.0,LOSARTAN POTASICO 50MG 30 TABLETAS,100,True
FC-F3E734A0,Fasiclor 375 mg/ 5 mL,63.44,115.0,159.0,158,43.0,59.8,1.0,CEFACLOR 375MG/5ML SUSPENSION 50 ML 1 PIEZA,100,True
EQ-ULT230,Levonorgestrel 1 Tab 1.5 Mg,15.5,25.0,65.0,64,39.0,75.8,4.0,LEVONORGESTREL  1.5 MG 1 TABLETA,100,False
FC-16798878,Pioglitazona 30 mg 7 tabletas LGEN,17.76,45.0,85.0,84,39.0,78.9,0,PIOGLITAZONA 30 MG 7 TABLETAS,100,True
EQ-TEM009,Levotiroxina 100 Tab 100 Mcg,45.57,73.0,109.0,108,35.0,57.8,2.0,LEVOTIROXINA SODICA 100MCG 100 TABLETAS,100,False
FC-24901059,beadvance Senósidos A-B 8.6 mg,11.14,18.0,54.0,53,35.0,79.0,2.0,SENOSIDOS AB 8.6MG 60 TABLETAS,100,False
EQ-QUM043,Histapharm 10 Tab 5 Mg,21.99,36.0,70.0,69,33.0,68.1,1.0,DESLORATADINA 5 MG 10 TABLETAS,100,False
EQ-MAI141,Flosef 8 Tab 400 Mg,27.33,60.0,93.0,92,32.0,70.3,1.0,OFLOXACINO 400 MG 8 TABLETAS,100,False
FMX-301546,Montelukast-Neolpharma Tabletas 5 Mg C/20,41.21,66.0,99.0,98,32.0,57.9,1.0,MONTELUKAST 5 MG 20 TABLETAS MASTICABLES,100,False
FC-49025967,Pregabalina 75 mg C/14 AMSA,25.09,41.0,74.0,73,32.0,65.6,1.0,PREGABALINA 75MG 14 CAPSULAS,100,False
FC-DB3B2584,Celesbitan,16.91,26.0,56.0,55,29.0,69.3,2.0,BETAMETASONA DE DIPROPIONATO / BETAMETASONA DE FOSFATO SODICO SUSPENSION INYECTABLE 1 AMPOLLETA,85,False
EQ-MAV318,Cariden 20 Tab 6 Mg,52.87,85.0,114.0,113,28.0,53.2,1.0,DEFLAZACORT 6 MG 20 TABLETAS,100,False
EQ-MAV307,Veratrin,33.36,54.0,83.0,82,28.0,59.3,1.0,INDOMETACINA / BETAMETASONA / METOCARBAMOL 20 CAPSULAS,100,True
EQ-AVT203,Cidorix 28 Tab 75 Mg,38.11,61.0,89.0,88,27.0,56.7,1.0,CLOPIDOGREL 75 MG 28 TABLETAS,100,False
FC-27872123,Raamcinet cetirizina 10 mg,19.65,32.0,60.0,59,27.0,66.7,4.0,CETIRIZINA 10 MG 10 TABLETAS,100,False
FC-86100158,Benvia Infantil (Dimenhidrinato) 250 mg/100 mL,32.38,52.0,79.0,78,26.0,58.5,1.0,DIMENHIDRINATO 250 MG/100 ML JARABE INFANTIL 120 ML,100,False
FMX-303280,Melnotex Tabletas 5 Mg C/20,39.74,64.0,91.0,90,26.0,55.8,2.0,MELATONINA 5MG 20 TABLETAS SUBLINGUALES,100,False
EQ-AMS292,Pantoprazol 7 Tab 20 Mg,11.29,19.0,46.0,45,26.0,74.9,2.0,PANTOPRAZOL 20 MG 7 TABLETAS LIBERACION RETARDADA,100,False
EQ-SON256,Sonblefan S 1 Cma .100 G/ 40 G,32.41,52.0,79.0,78,26.0,58.4,1.0,BETAMETASONA 0.1% VALERATO CREMA 40 GR 1 PIEZA,100,False
EQ-NOV092,Ixicorl 10 Tab 20 Mg,21.72,35.0,61.0,60,25.0,63.8,2.0,PAROXETINA 20 MG 10 TABLETAS,100,True
EQ-HIS045,Cifhir 1 Gel 60g/5 %,45.68,74.0,99.0,98,24.0,53.4,1.0,BENCIDAMINA CLORHIDRATO GEL 60 GR 1 PIEZA,100,True
FC-52D2A43A,Zukedib glimepirida 2 mg C/30,29.08,40.0,63.0,62,22.0,53.1,1.0,GLIMEPIRIDA 2 MG 30 TABLETAS,100,False
FC-DF8ADDAB,Erispan,22.15,33.0,56.0,55,22.0,59.7,1.0,BETAMETASONA DE DIPROPIONATO / BETAMETASONA DE FOSFATO SODICO SUSPENSION INYECTABLE 1 AMPOLLETA,85,True
EQ-NOV157,Glunovag 60 Tab 500 Mg,19.38,32.0,54.0,53,21.0,63.4,2.0,METFORMINA 500 MG 60 TABLETAS,100,True
EQ-BRU053,Nediclon Diclofenaco,7.56,13.0,35.0,34,21.0,77.8,4.0,DICLOFENACO 100MG 20 TABLETAS,100,False
EQ-AMS491,Cefalexina Susp 100 Ml 250 Mg/5 Ml,32.69,53.0,74.0,73,20.0,55.2,1.0,CEFALEXINA 250MG/5ML SUSPENSION 100 ML 1 PIEZA,100,True
EQ-MAV098,Flexiver Meloxicam 15 mg C/10,8.76,20.0,40.0,39,19.0,77.5,2.0,MELOXICAM 15 MG 10 TABLETAS,100,True
EQ-BRL072-1,Lo Bruquin 2 Tab 150/200 Mg,15.4,25.0,44.0,43,18.0,64.2,10.0,QUINFAMIDA / ALBENDAZOL 150/200MG 2 TABLETAS,100,True
FC-01007250,Valclan 875 mg / 125 mg Caja con 10 tabletas Wandel,51.18,80.0,99.0,98,18.0,47.8,3.0,AMOXICILINA / ACIDO CLAVULANICO 875MG 10 TABLETAS,100,False
FC-50AC2C82,Erispan,24.45,37.0,56.0,55,18.0,55.5,1.0,BETAMETASONA DE DIPROPIONATO / BETAMETASONA DE FOSFATO SODICO SUSPENSION INYECTABLE 1 AMPOLLETA,85,True
EQ-BEA424,Metoprolol 20 Tab 100mg,6.86,11.0,29.0,28,17.0,75.5,2.0,METOPROLOL 100 MG 20 TABLETAS,100,False
EQ-COL120,Collicort Hidrocortisona,47.85,77.0,94.0,93,16.0,48.5,1.0,HIDROCORTISONA 1GR/100GR CREMA 60 GR 1 PIEZA,100,False
EQ-FAC0058,Farmiver Junior 1 Susp 200/400mg/20 Ml,24.72,40.0,57.0,56,16.0,55.9,1.0,QUINFAMIDA / ALBENDAZOL 200/400MG JUNIOR SUSPENSION 20 ML 1 PIEZA,100,False
EQ-MAV064,Presistín 30 Tab 10 Mg,33.93,55.0,71.0,70,15.0,51.5,1.0,CISAPRIDA 10 MG 30 TABLETAS,100,False
EQ-QUM070,Drosequim Ad 1 Jbe 300/160/200 Ml,70.74,114.0,129.0,128,14.0,44.7,1.0,DROPROPIZINA/BROMHEXINA 150 MG/80 MG 200ML JARABE INFANTIL,100,True
EQ-LOE013,Keraffler Ketotifeno,20.17,33.0,48.0,47,14.0,57.1,1.0,KETOTIFENO 0.02GR/ML SOLUCION 120 ML 1 PIEZA,100,False
EQ-BEA368,Nifedipino 30 Comp 30 Mg,39.23,63.0,78.0,77,14.0,49.1,1.0,NIFEDIPINO 30 MG 30 COMPRIMIDOS LIBERACION PROLONGADA,100,False
EQ-QUM052,Quimikan 1 Sol C/ Apli 10 Ml 200mg/ 1 Ml,63.68,102.0,117.0,116,14.0,45.1,1.0,BENZOCAINA 200 MG SOLUCION BUCAL CON APLICADOR 1 PIEZA,100,True
FC-6898B64F,Bioerter Eritromicina Suspensión,47.7,70.0,84.0,83,13.0,42.5,1.0,ERITROMICINA 250 MG SUSPENSION 100 ML 1 PIEZA,100,True
EQ-AMS349,Cefotaxima IM 500 mg/2 ml,27.99,45.0,59.0,58,13.0,51.7,1.0,CEFOTAXIMA 500 MG SOLUCION INYECTABLE 1 PIEZA,100,True
EQ-SON204,Phendex Otico 1 Susp 2/10/50mg/10 Ml,30.6,49.0,63.0,62,13.0,50.6,2.0,CIPROFLOXACINO / HIDROCORTISONA / LIDOCAINA SUSPENSION OTICA 10 ML 1 PIEZA,100,False
EQ-AMS234,Pregabalina 28 Cáps 150 mg AMSA,65.67,105.0,119.0,118,13.0,44.3,1.0,PREGABALINA 150 MG 28 CAPSULAS,100,True
EQ-MAV320,Cariden 10 Tab 30 Mg,90.81,146.0,159.0,158,12.0,42.5,1.0,DEFLAZACORT 30 MG 10 TABLETAS,100,False
FC-09745140,Clamoxín S 600 mg / 42.9 mg / 5 mL Frasco 50 mL Maver,47.99,75.0,88.0,87,12.0,44.8,1.0,AMOXICILINA / ACIDO CLAVULANICO 600/42.9 MG SUSPENSION 1 PIEZA,100,False
FC-73902966,Nafich (Terbinafina) crema 1%,13.06,21.0,34.0,33,12.0,60.4,2.0,TERBINAFINA CLORHIDRATO CREMA 15 GR 1 PIEZA,100,False
EQ-AMS407,Ciprofloxacino solución oftálmica 3 mg/mL AMSA,24.28,39.0,51.0,50,11.0,51.4,1.0,CIPROFLOXACINO SOLUCION OFTALMICA 5 ML 1 PIEZA,100,False
FC-73906407,Lozamir-V (Clotrimazol) crema 2% con 3 aplicadores,22.71,37.0,49.0,48,11.0,52.7,3.0,CLOTRIMAZOL 2/100GR 20GR CREMA VAGINAL,100,False
EQ-LIF153,Realdrax Mxd 10 Tab 20/400 Mg,40.6,65.0,76.0,75,10.0,45.9,1.0,BUTILHIOSCINA HIOSCINA / IBUPROFENO 20/400 MG 10 TABLETAS,100,True
EQ-MAV401,Dexpantenol 1 Cma 5% 30 G,14.12,23.0,34.0,33,10.0,57.2,2.0,DEXPANTENOL 5/100GR POMADA 30GR TATUAJES,92,False
FC-09749421,Dexpantenol crema 5% 30 g (Maver Tattoo),14.12,23.0,34.0,33,10.0,57.2,2.0,DEXPANTENOL 5/100GR POMADA 30GR TATUAJES,85,False
EQ-BIO188,Broxtorfan Dextrometorfano Ambroxol,15.85,26.0,36.0,35,9.0,54.7,1.0,AMBROXOL/ DEXTROMETORFANO 150/113MG JARABE INFANTIL 120ML,100,True
FC-1DA570E3,Cloxan ambroxol 30 mg,9.75,15.0,25.0,24,9.0,59.4,2.0,AMBROXOL 30 MG 20 COMPRIMIDOS,100,False
FC-09745584,Oppelver lactulosa jarabe 125 mL,49.25,79.0,89.0,88,9.0,44.0,1.0,LACTULOSA JARABE 120ML O 125ML 10GR/15ML 1 PIEZA,100,False
EQ-BEA338,Prednisona 5mg C/Blister 20tab Bea,6.51,11.0,21.0,20,9.0,67.5,5.0,PREDNISONA 5 MG 20 TABLETAS,100,False
FC-03388008,Velatuss levodropropizina jarabe 120 mL,34.55,56.0,66.0,65,9.0,46.8,2.0,LEVODROPROPIZINA SOLUCION 120 ML 1 PIEZA,92,False
EQ-AVT216,Soltadol 10 Tab 750 Mg,5.04,9.0,18.0,17,8.0,70.4,5.0,PARACETAMOL 750MG 10 TABLETAS,100,True
FC-1FFBB505,Supratex levodropropizina jarabe 120 mL,40.91,57.0,66.0,65,8.0,37.1,1.0,LEVODROPROPIZINA SOLUCION 120 ML 1 PIEZA,92,True
FC-01007663,Wamindel (Paracetamol) solución infantil 3.2 g/100 mL,15.44,25.0,34.0,33,8.0,53.2,2.0,PARACETAMOL 3.2GR/100ML PEDIATRICO JARABE 120 ML 1 PIEZA,85,False
EQ-HIS087,Clofhiven 200 Dosis 50 Mcg/12.80g,56.51,91.0,99.0,98,7.0,42.3,1.0,BECLOMETASONA 50 MCG AEROSOL PARA INHALACION 200 DOSIS 1 PIEZA,100,False
EQ-MAI099,Hidroxin,34.6,56.0,64.0,63,7.0,45.1,1.0,HIDROXIZINA 10 MG 30 TABLETAS,100,False
