sku,nombre,costo,precio_fc,precio_similares,confianza,nombre_similares,termino,razones
FC-49025967,Pregabalina 75 mg C/14 AMSA,25.09,41,74.0,100,PREGABALINA 75MG 14 CAPSULAS,pregabalina,concentracion coincide; cantidad coincide
FC-49024175,Pioglitazona 30 mg AMSA,18.36,30,85.0,100,PIOGLITAZONA 30 MG 7 TABLETAS,pioglitazona,concentracion coincide
EQ-RAD100,Fenazopiridina 1 Fco 20 Tab 100 Mg,18.89,34,27.0,100,FENAZOPIRIDINA 100 MG 20 TABLETAS,fenazopiridina 100mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
EQ-BIO212,Colchicina 30 Tab 1 Mg,30.37,49,41.0,100,COLCHICINA 1 MG 30 TABLETAS,colchicina 1mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
EQ-LOE013,Keraffler 1 Sol 20mg/5/120 Ml,20.17,33,48.0,100,KETOTIFENO 0.02GR/ML SOLUCION 120 ML 1 PIEZA,ketotifeno 120ml,principios activos completos; concentracion coincide; forma coincide
EQ-LOE058,Feniffler-T 50 Tab 100 Mg,20.08,33,46.0,100,FENITOINA SODICA 100MG 50 TABLETAS,fenitoina 100mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
EQ-NOV032,Lizovag 10 Tab 200 Mg,12.98,21,27.0,100,KETOCONAZOL 200 MG 10 TABLETAS,ketoconazol 200mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
EQ-HIS075,Terfhicid 40 Caps 100 Mg,46.05,74,79.0,100,NITROFURANTOINA 100 MG 40 CAPSULAS,nitrofurantoina 100mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
EQ-NOV025,Vermisen 6 Tab 200 Mg,12.38,20,13.0,100,ALBENDAZOL 200 MG 6 TABLETAS,albendazol 200mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
EQ-SON204,Phendex Otico 1 Susp 2/10/50mg/10 Ml,30.6,49,63.0,100,CIPROFLOXACINO / HIDROCORTISONA / LIDOCAINA SUSPENSION OTICA 10 ML 1 PIEZA,ciprofloxacino hidrocortisona 10ml,principios activos completos; equivalente generico verificado por composicion; concentracion coincide; forma coincide
EQ-IFA001,Postday 1 Comp 1.5 Mg,61.32,99,65.0,100,LEVONORGESTREL  1.5 MG 1 TABLETA,levonorgestrel,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
FC-09745027,Galaver gel 250 mL (Magaldrato / Dimeticona),48.22,78,88.0,100,MAGALDRATO/DIMETICONA 8G/1G/100ML 250ML,magaldrato dimeticona 250ml,principios activos completos; equivalente generico verificado por composicion; concentracion coincide
EQ-MAI071,Krobicin 1 Susp 125mg/5/60 Ml,45.41,73,124.0,100,CLARITROMICINA 125 MG SUSPENSION 60 ML 1 PIEZA,claritromicina 125mg,principios activos completos; concentracion coincide; forma coincide
EQ-WAN013,Vandix 1 Susp 250mg/5/75 Ml,20.58,33,34.0,100,AMOXICILINA 250 MG SUSPENSION 75 ML 1 PIEZA,amoxicilina 250mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
EQ-HIS087,Clofhiven 200 Dosis 50 Mcg/12.80g,56.51,91,99.0,100,BECLOMETASONA 50 MCG AEROSOL PARA INHALACION 200 DOSIS 1 PIEZA,beclometasona,principios activos completos; concentracion coincide; forma coincide
FC-11780359,Aflusil (Ibuprofeno) suspensión 2 g/100 mL,19.6,32,31.0,100,IBUPROFENO  2GR/100ML SUSPENSION 120 ML 1 PIEZA,ibuprofeno 100ml,principios activos completos; concentracion coincide; forma coincide
FC-83144302,Collifrin Adulto (Oximetazolina) 0.05% extra humectante,33.61,54.0,34.0,100,OXIMETAZOLINA ADULTO 50MG/100ML SOLUCION NASAL 20 ML 1 PIEZA,oximetazolina 20ml,principios activos completos; concentracion coincide; forma coincide
FC-83144807,Fazolin (Nafazolina) solución oftálmica 1 mg/mL,23.75,38,35.0,100,NAFAZOLINA SOLUCION OFTALMICA 15 ML 1 PIEZA,nafazolina 15ml,principios activos completos; concentracion coincide; forma coincide
EQ-SON256,Sonblefan S 1 Cma .100 G/ 40 G,32.41,52,79.0,100,BETAMETASONA 0.1% VALERATO CREMA 40 GR 1 PIEZA,betametasona,principios activos completos; concentracion coincide; forma coincide
EQ-COL226,Dolprofen 10 Tab 800 Mg,22.41,36,31.0,100,IBUPROFENO 800 MG 10 TABLETAS,ibuprofeno 800mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
EQ-MAI141,Flosef 8 Tab 400 Mg,27.33,44,93.0,100,OFLOXACINO 400 MG 8 TABLETAS,ofloxacino 400mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
EQ-AMS460,Etoricoxib 14 Comp 90 Mg,50.98,82,199.0,100,ETORICOXIB 90 MG 28 COMPRIMIDOS,etoricoxib 90mg,principios activos completos; concentracion coincide; forma coincide
EQ-MAI142,Figral 10 Tab 50 Mg,46.41,75,219.0,100,SILDENAFIL 50MG 10 TABLETAS,sildenafil 50mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
EQ-JAY263,Diflosensi 28 Tab 10 Mg,335.5,537,449.0,100,DAPAGLIFLOZINA 10MG 28 TABLETAS (GENERICO),dapagliflozina 10mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
FC-90973703,Ampicilina 1 g Caja con 1 frasco ámpula AMSA,25.48,41,36.0,100,AMPICILINA 1 GR SOLUCION INYECTABLE 1 PIEZA,ampicilina,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
EQ-AVT203,Cidorix 28 Tab 75 Mg,38.11,61,89.0,100,CLOPIDOGREL 75 MG 28 TABLETAS,clopidogrel 75mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
EQ-ALP0633,Dexketoprofeno 10 Tab 25 Mg,64.24,103,127.0,100,DEXKETOPROFENO 25 MG 10 TABLETAS,dexketoprofeno 25mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
EQ-RAD082,Indometacina 30 Caps 25 Mg,20.02,33,22.0,100,INDOMETACINA 25MG 30 CAPSULAS,indometacina 25mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
FC-11788690,Diotexona (Dimeticona) 10 g/100 mL pediátrico,38.87,63,40.0,100,DIMETICONA SUSPENSION GOTAS 30 ML  1 PIEZA,dimeticona,principios activos completos; concentracion coincide
FC-26291475,Pharmafil LP (Teofilina) 100 mg liberación prolongada,36.02,58,44.0,100,TEOFILINA 100 MG 20 TABLETAS LIBERACION PROLONGADA,teofilina 100mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
FC-73909859,Sarox (Omeprazol) 20 mg,15.61,25,84.5,100,OMEPRAZOL 20 MG 28 CAPSULAS,omeprazol 20mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
EQ-SER025,Lonixer 10 Tab 250 Mg,32.51,53,45.0,100,CLONIXINATO DE LISINA 250 MG 10 TABLETAS,clonixinato lisina 250mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
EQ-AMS497,Levetiracetam 30 Tab 1000 Mg,120.9,194,179.0,100,LEVETIRACETAM 1000 MG 30 TABLETAS,levetiracetam 1000mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
EQ-MAI152,Mavifem (Vag) 1 Cha/6 Apli 2/8 G 30 G,68.5,110,99.0,100,CLINDAMICINA / KETOCONAZOL 2/8 GR CREMA 30 GR 1 PIEZA,clindamicina ketoconazol 30000mg,principios activos completos; equivalente generico verificado por composicion; concentracion coincide; forma coincide
EQ-PGE033,Gelubrín 10 Caps 400 Mg,15.21,25,21.0,100,IBUPROFENO 400 MG 10 CAPSULAS,ibuprofeno 400mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
FC-09740268,Cobadex Adulto (Ambroxol/Dextrometorfano) 225-225 mg/100 mL,19.31,31,36.0,100,AMBROXOL / DEXTROMETORFANO 225/225MG ADULTO JARABE 1 PIEZA,ambroxol dextrometorfano 100ml,principios activos completos; equivalente generico verificado por composicion; concentracion coincide
EQ-SER093,Oxital-C 10 Comp 1 G,45.14,73,51.0,100,ACIDO ASCORBICO 1 GR SABOR NARANJA 10 TABLETAS EFERVESCENTES,acido ascorbico 1000mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
EQ-MAI099,Hidroxin,34.6,56,64.0,100,HIDROXIZINA 10 MG 30 TABLETAS,hidroxizina 10mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
EQ-MAV043,Lorotec 10 Tab 10 Mg,5.96,10,25.0,100,KETOROLACO 10 MG  10 TABLETAS,ketorolaco 10mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
EQ-COL120,Collicort Hidrocortisona,47.85,77,94.0,100,HIDROCORTISONA 1GR/100GR CREMA 60 GR 1 PIEZA,hidrocortisona,principios activos completos; concentracion coincide; forma coincide
EQ-AMS472,Citalopram 14 Tab 20 Mg,35.08,57,130.0,100,CITALOPRAM 20 MG 14 TABLETAS,citalopram 20mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
EQ-MAV311,Exicort 7 Comp 120 Mg,52.66,85,149.0,100,ETORICOXIB 120 MG 7 COMPRIMIDOS,etoricoxib 120mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
EQ-RAD081,Fumarato Ferroso 50 Tab 200mg,13.79,23,18.0,100,FUMARATO FERROSO 200 MG 50 COMPRIMIDOS,fumarato ferroso 200mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
EQ-RAD092,Dextrometorfano 1 Jbe 300 Mg/120 Ml,13.58,22,23.0,100,DEXTROMETORFANO 300 MG JARABE 120 ML 1 PIEZA,dextrometorfano 120ml,principios activos completos; concentracion coincide; forma coincide
EQ-QUM070,Drosequim Ad 1 Jbe 300/160/200 Ml,70.74,114,129.0,100,DROPROPIZINA/BROMHEXINA 150 MG/80 MG 200ML JARABE INFANTIL,dropropizina bromhexina 200ml,principios activos completos; equivalente generico verificado por composicion; concentracion coincide; forma coincide
EQ-SER001,Asmaral-K 30 Tab 1 Mg,61.07,98,54.0,100,KETOTIFENO 1 MG 30 TABLETAS,ketotifeno 1mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
EQ-MAI078,Urezol 20 Tab 100 Mg,33.46,54,27.0,100,FENAZOPIRIDINA 100 MG 20 TABLETAS,fenazopiridina 100mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
EQ-COD086,Bano Coloide 1 Pvo 96.5/2/90 G,18.15,30,51.0,100,BAÑO COLOIDE POLVO EN SOBRE 90 GR 1 PIEZA,bano coloide,concentracion coincide
EQ-FAC0058,Farmiver Junior 1 Susp 200/400mg/20 Ml,24.72,40,57.0,100,QUINFAMIDA / ALBENDAZOL 200/400MG JUNIOR SUSPENSION 20 ML 1 PIEZA,quinfamida albendazol 20ml,principios activos completos; equivalente generico verificado por composicion; concentracion coincide; forma coincide
EQ-ACC066,Steryx 30 Tab 5 Mg,40.51,65,199.0,100,FINASTERIDA 5 MG 30 TABLETAS,finasterida 5mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
EQ-RAD093,Metronidazol 30 Tab 500 Mg,14.92,24,28.0,100,METRONIDAZOL 500 MG 30 TABLETAS,metronidazol,concentracion coincide; cantidad coincide; forma coincide
EQ-BRU053,Nediclon Diclofenaco,7.56,13,35.0,100,DICLOFENACO 100MG 20 TABLETAS,diclofenaco 100mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
EQ-ULT103,Diclofenaco 20 Tab 100 Mg,7.6,13,35.0,100,DICLOFENACO 100MG 20 TABLETAS,diclofenaco 100mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
EQ-SOF041,Vixgoplisol 60 Tab 500 Mg,112.04,180,379.0,100,LEVETIRACETAM 500 MG 60 TABLETAS,levetiracetam 500mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
EQ-AMS274,Ezetimiba/Simvasta 14 Tab 10/20 Mg,55.9,90,169.0,100,EZETIMIBA / SIMVASTATINA 10/20MG 14 COMPRIMIDOS,ezetimiba simvastatina 20mg,principios activos completos; equivalente generico verificado por composicion; concentracion coincide; cantidad coincide; forma coincide
EQ-BIO100,Biostafex 10 Tab 120 Mg,29.94,48,129.0,100,FEXOFENADINA 120 MG PIRQUET 10 COMPRIMIDOS,fexofenadina 120mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
EQ-TEM009,Levotiroxina 100 Tab 100 Mcg,45.57,73,109.0,100,LEVOTIROXINA SODICA 100MCG 100 TABLETAS,levotiroxina 100mcg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
EQ-MAV358,Avattor 30 Comp 20 Mg,103.08,165,144.0,100,LEFLUNOMIDA 20 MG 30 COMPRIMIDOS,leflunomida 20mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
EQ-BEA338,Prednisona 5mg C/Blister 20tab Bea,6.51,11,21.0,100,PREDNISONA 5 MG 20 TABLETAS,prednisona,concentracion coincide; cantidad coincide
EQ-AMS323,Sertralina 14 Tab 50 Mg,20.6,33,84.5,100,SERTRALINA 50 MG 14 TABLETAS,sertralina,concentracion coincide; cantidad coincide; forma coincide
EQ-AMS370,Pentoxifilina 30 Tab 400 Mg,59.39,96,87.0,100,PENTOXIFILINA 400 MG 30 TABLETAS LIBERACION PROLONGADA,pentoxifilina,concentracion coincide; cantidad coincide; forma coincide
EQ-ULT146,Pioglitazona 7 Tab 15 Mg,14.56,24,61.0,100,PIOGLITAZONA 15 MG 7 TABLETAS,pioglitazona,concentracion coincide; cantidad coincide; forma coincide
EQ-AMS503,Sitagliptina 14 Comp 100 Mg,87.57,141,249.0,100,SITAGLIPTINA 100MG 14 COMPRIMIDOS,sitagliptina comp,concentracion coincide
EQ-BEA416,Metoclopramida 20 Tab 10 Mg,5.42,9,13.0,100,METOCLOPRAMIDA 10 MG 20 TABLETAS,metoclopramida,concentracion coincide; cantidad coincide; forma coincide
EQ-BEA424,Metoprolol 20 Tab 100mg,6.86,11,29.0,100,METOPROLOL 100 MG 20 TABLETAS,metoprolol,concentracion coincide; cantidad coincide; forma coincide
EQ-BEA429,Metformina 30 Tab 850 Mg,14.27,23,30.0,100,METFORMINA 850 MG 30 TABLETAS,metformina,concentracion coincide; cantidad coincide; forma coincide
EQ-AMS463,Butilhioscina 10 Tab 10 Mg,12.13,20,29.0,100,BUTILHIOSCINA 10 MG 10 TABLETAS,butilhioscina,concentracion coincide; cantidad coincide; forma coincide
EQ-ALP0526,Clioquinol 1 Cma 3% 20 G,10.69,18,15.0,100,CLIOQUINOL CREMA 20 GR 1 PIEZA,clioquinol,concentracion coincide
EQ-ULT230,Levonorgestrel 1 Tab 1.5 Mg,15.5,25,65.0,100,LEVONORGESTREL  1.5 MG 1 TABLETA,levonorgestrel,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
EQ-MAV410,Benzocaina 1 Gel 10 G .1/1 G,40.12,65,71.0,100,BENZOCAINA 0.1/1G GEL SABOR UVA SIMI BABY,benzocaina,concentracion coincide; forma coincide
EQ-MAV239,Linexel Venlafaxina,39.26,63,134.0,100,VENLAFAXINA 75 MG 20 CAPSULAS LIBERACION PROLONGADA,venlafaxina 75mg,principios activos completos; concentracion coincide; cantidad coincide
FC-42803524,Ácido acetilsalicílico 100 mg Caja con 30 tabletas beadvance,14.85,22.0,24.0,100,ACIDO ACETILSALICILICO 100MG ADULTO 30 COMPRIMIDOS,acido acetilsalicilico 100mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
EQ-BIO167,Bixen Naproxeno Sódico,22.88,37,39.0,100,NAPROXENO SODICO 550 MG 12 TABLETAS,naproxeno sodico 550mg,principios activos completos; concentracion coincide; cantidad coincide
EQ-ULT224,Telmisartán / Hidroclorotiazida 80/12.5 mg C/14,47.18,76,133.0,100,TELMISARTAN / HIDROCLOROTIAZIDA 80 /12.5 MG 14 TABLETAS,telmisartan hidroclorotiazida 12.5mg,principios activos completos; equivalente generico verificado por composicion; concentracion coincide; cantidad coincide; forma coincide
EQ-BEA403,Tamsulosina 20 Caps 0.4 Mg,32.12,52,99.0,100,TAMSULOSINA 0.40MG 20 CAPSULAS,tamsulosina,concentracion coincide; cantidad coincide; forma coincide
EQ-RAM014,Fermig 2 Tab 100 Mg,62.03,100,136.0,100,SUMATRIPTAN 100 MG 2 COMPRIMIDOS,sumatriptan 100mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
EQ-SON220,Clotrimazol 1 Ov 500 Mg,27.55,45,139.0,100,CLOTRIMAZOL V 1 OVULO 500 MG,clotrimazol,concentracion coincide
EQ-AMS292,Pantoprazol 7 Tab 20 Mg,11.29,19,46.0,100,PANTOPRAZOL 20 MG 7 TABLETAS LIBERACION RETARDADA,pantoprazol 20mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
EQ-MAV263,Galaver Gel 10 Sob 80mg/10mg/10 Ml,37.54,61,56.0,100,MAGALDRATO/DIMETICONA 80MG/10MG 10SOBRES,magaldrato dimeticona 10mg,principios activos completos; equivalente generico verificado por composicion; concentracion coincide; cantidad coincide
EQ-SAN025,Revenox 60 Tab 3 Mg,72.13,116,94.0,100,MELATONINA 3 MG 60 TABLETAS ORALES,melatonina 3mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
EQ-NOV179,Acetif 10 Tab 500 Mg,5.72,10,8.0,100,PARACETAMOL 500 MG 10 TABLETAS,paracetamol 500mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
FC-01007199,Valclan 500 mg / 125 mg Caja con 10 tabletas Wandel,18.03,27.0,95.0,100,AMOXICILINA / ACIDO CLAVULANICO 500 MG 10 TABLETAS,amoxicilina acido 125mg,principios activos completos; equivalente generico verificado por composicion; concentracion coincide; cantidad coincide; forma coincide
FMX-301546,Montelukast-Neolpharma Tabletas 5 Mg C/20,41.21,66,99.0,100,MONTELUKAST 5 MG 20 TABLETAS MASTICABLES,montelukast 5mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
FMX-301081,Hudiclor Tabletas 250 Mg C/28,94.19,168,229.0,100,TERBINAFINA 250 MG 28 TABLETAS,terbinafina 250mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
FMX-502376,Norapred Tabletas 50 Mg C/20,34.77,56,60.0,100,PREDNISONA 50 MG 20 TABLETAS,prednisona 50mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
FMX-307626,Bromuro-Pinaverio-Alpharma Tabletas 100 Mg C/14,16.88,28,60.0,100,BROMURO DE PINAVERIO 100 MG 14 TABLETAS,bromuro pinaverio 100mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
FMX-502386,Guaxoquim Jarabe C/140 Ml,41.83,67,149.0,100,GUAIFENESINA/OXOLAMINA JARABE 140ML INFANTIL HISTIACIL,guaifenesina oxolamina 100ml,principios activos completos; equivalente generico verificado por composicion; concentracion coincide; forma coincide
FMX-303280,Melnotex Tabletas 5 Mg C/20,39.74,64,91.0,100,MELATONINA 5MG 20 TABLETAS SUBLINGUALES,melatonina 5mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
EQ-ALP0300,Acido Acetilsalicilico Ef 20 Tab 300 Mg,19.07,31,18.0,100,ACIDO ACETILSALICILICO 300MG 20 TABLETAS EFERVESCENTES,acido acetilsalicilico 300mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
EQ-MAV134,Doltrix 10 Tab 250/10 Mg,56.45,91,71.0,100,CLONIXINATO DE LISINA / BUTILHIOSCINA 250/10MG 10 TABLETAS,clonixinato hioscina 10mg,principios activos completos; equivalente generico verificado por composicion; concentracion coincide; cantidad coincide; forma coincide
FC-09745560,Bioxover Dropropizina,28.84,47,45.0,100,DROPROPIZINA 300MG JARABE 120 ML 1 PIEZA,dropropizina 120ml,principios activos completos; concentracion coincide; forma coincide
FC-01162365,Mornin (Omeprazol) 40 mg C/7 SON'S,18.0,32.0,74.0,100,OMEPRAZOL 40 MG 7 CAPSULAS,omeprazol 40mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
FC-49028913,Atorvastatina 40 mg Caja con 10 tabletas AMSA,26.35,65.0,116.0,100,ATORVASTATINA 40 MG 10 TABLETAS,atorvastatina 40mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
FC-49020269,Ácido ursodeoxicólico 250 mg Caja con 50 cápsulas AMSA,217.23,350.0,339.0,100,ACIDO URSODEOXICOLICO 250 MG 50 CAPSULAS,acido ursodeoxicolico 250mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
FC-49021570,Amoxicilina 500 mg Caja con 12 cápsulas AMSA,18.37,37.0,39.0,100,AMOXICILINA 500 MG 12 CAPSULAS,amoxicilina 500mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
FC-01007250,Valclan 875 mg / 125 mg Caja con 10 tabletas Wandel,51.18,80.0,99.0,100,AMOXICILINA / ACIDO CLAVULANICO 875MG 10 TABLETAS,amoxicilina acido 125mg,principios activos completos; equivalente generico verificado por composicion; concentracion coincide; cantidad coincide; forma coincide
FC-09745140,Clamoxín S 600 mg / 42.9 mg / 5 mL Frasco 50 mL Maver,47.99,75.0,88.0,100,AMOXICILINA / ACIDO CLAVULANICO 600/42.9 MG SUSPENSION 1 PIEZA,amoxicilina acido 42.9mg,principios activos completos; equivalente generico verificado por composicion; concentracion coincide; forma coincide
FC-09741425,Fasiclor 500 mg Caja con 15 cápsulas Maver,137.92,221,274.0,100,CEFACLOR 500 MG 15 CAPSULAS,cefaclor 500mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
EQ-MAV318,Cariden 20 Tab 6 Mg,52.87,85,114.0,100,DEFLAZACORT 6 MG 20 TABLETAS,deflazacort 6mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
EQ-MAV064,Presistín 30 Tab 10 Mg,33.93,55,71.0,100,CISAPRIDA 10 MG 30 TABLETAS,cisaprida 10mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
EQ-MAV167,Doltrix 20 Tab 125/10 Mg,70.3,113,94.0,100,CLONIXINATO DE LISINA / BUTILHIOSCINA 125/10MG 20 TABLETAS,clonixinato hioscina 10mg,principios activos completos; equivalente generico verificado por composicion; concentracion coincide; cantidad coincide; forma coincide
EQ-AMS407,Ciprofloxacino solución oftálmica 3 mg/mL AMSA,24.28,39,51.0,100,CIPROFLOXACINO SOLUCION OFTALMICA 5 ML 1 PIEZA,ciprofloxacino,principios activos completos; concentracion coincide; forma coincide
EQ-BEA468,Quetiapina,123.31,198,299.0,100,QUETIAPINA 100 MG 60 TABLETAS,quetiapina 100mg,principios activos completos; concentracion coincide; cantidad coincide
