prioridad,estado,clase,pedir,sku_similares,generico_similares,concentraciones,piezas,forma,linea,jerarquia,precio_similares,min_sucursal,objetivo
94,HUECO,C,1,2495,ORLISTAT/LEVOCAR 120/200MG 30CAP,120mg 200mg,30,capsula,PESO Y METABOLISMO,MEDICAMENTOS,419.0,1,2
95,HUECO,C,2,3929,PROT XGEAR ZERO CARB VAINILLA 450GR,450000mg,,polvo,DEPORTISTAS,SUPLEMENTOS,419.0,2,3
96,HUECO,C,1,2947,TESTOSTERONA 250MG/1ML SOL INY,1ml 250mg,1,solucion,HORMONALES,MEDICAMENTOS,419.0,1,2
97,HUECO,C,1,3190,TRIMEBUTIN/SIMET 200/75MG 24COMP CARNOT,200mg 75mg,24,tableta,ESTOMACALES (GASTRO),MEDICAMENTOS,419.0,1,2
98,HUECO,C,2,3347,AMINOACIDOS PVO XGEAR 400GR FRUTO RJO,400000mg,,polvo,DEPORTISTAS,SUPLEMENTOS,409.0,2,3
99,HUECO,C,2,3349,PROT XGEAR SLENDER BLEND CHOCOLATE 450GR,450000mg,,polvo,DEPORTISTAS,SUPLEMENTOS,409.0,2,3
100,HUECO,C,2,2304,PROT ZERO CARB CHOCO-CAPUCH 450GR XGEAR,450000mg,,polvo,DEPORTISTAS,SUPLEMENTOS,399.01,2,3
101,HUECO,C,1,2649,FENOFIBRATO 160MG 30CAP ABBOT,160mg,30,capsula,CARDIOVASCULARES,MEDICAMENTOS,399.0,1,2
102,HUECO,C,1,3896,IRBESARTAN/AMLODIPINO 150MG/5MG 14TAB,150mg 5mg,14,tableta,CARDIOVASCULARES,MEDICAMENTOS,399.0,1,2
103,HUECO,C,1,3874,MESALAZINA 1200MG 16COMP LP,1200mg,16,tableta,ESTOMACALES (GASTRO),MEDICAMENTOS,399.0,1,2
104,HUECO,C,1,3736,METFOR/VILDA 850MG/50MG 30COMP GEN,50mg 850mg,30,tableta,DIABETES,MEDICAMENTOS,399.0,1,2
105,HUECO,C,2,860,PROT SIMICOMPLEX CHOCO 10SOB,,10,polvo,DEPORTISTAS,SUPLEMENTOS,394.01,2,3
106,HUECO,C,2,1787,PROT SIMICOMPLEX FRESA 10SOB,,10,polvo,DEPORTISTAS,SUPLEMENTOS,394.01,2,3
107,HUECO,C,2,1786,PROT SIMICOMPLEX VAINI 10SOB,,10,polvo,DEPORTISTAS,SUPLEMENTOS,394.01,2,3
108,HUECO,C,2,3528,CBD TINTURA 125MG SABOR NJA 30ML GOTAS,125mg 30ml,,gotas,RELAJANTES,SUPLEMENTOS,389.01,2,3
109,HUECO,C,1,3380,ENOXAPARINA 40MG/0.4ML 2 JER PRELL,0.4ml 40mg,2,solucion,CARDIOVASCULARES,MEDICAMENTOS,389.0,1,2
110,HUECO,C,1,3271,GLUCOSAMINA/CONDR 1500/1200MG 15SOB,1200mg 1500mg,15,polvo,ANALGESICOS,MEDICAMENTOS,389.0,1,2
111,HUECO,C,1,3847,INSULINA GLARGINA 100UI/ML SUSP INY 10ML,100ui 10ml,,solucion,DIABETES,MEDICAMENTOS,389.0,1,2
112,HUECO,C,1,3576,LEVODOPA/CARBIDOPA 250/25MG 100TAB,250mg 25mg,100,tableta,SISTEMA NERVIOSO,MEDICAMENTOS,389.0,1,2
113,HUECO,C,1,4152,MESALAZINA 500MG LR 30TAB SALOFALK,500mg,30,tableta,ESTOMACALES (GASTRO),MEDICAMENTOS,389.0,1,2
114,HUECO,C,1,4352,PIDOTIMOD 400MG/7ML 10FRASC SOL INF,400mg 44mg 7ml,10,solucion,ESPECIALIDAD,MEDICAMENTOS,389.0,1,2
115,HUECO,C,1,2465,LEVOTIROXINA/LIOTIR 100/20MCG 50TAB,100mcg 20mcg,50,tableta,HORMONALES,MEDICAMENTOS,384.0,1,2
116,HUECO,C,1,3926,DEXLANSOPRAZOL 60MG 7 CAP LR TAKEDA,60mg,7,capsula,ESTOMACALES (GASTRO),MEDICAMENTOS,381.0,1,2
117,HUECO,C,1,591,METOTREXATO SODICO 2.5MG 50TAB,2.5mg,50,tableta,ESPECIALIDAD,MEDICAMENTOS,380.0,1,2
118,HUECO,C,1,3611,GOTAS LUBRICANTES OCULARES 10ML,10ml,,solucion,OFTALMOLOGICOS,MATERIAL DE CURACION,379.0,1,2
