page,no_proveedor,proveedor,codigo_marzam,descripcion,sustancia,ean_raw,precio_farmacia,oferta_pct,precio_con_oferta,precio_final_iva,precio
1,979,GENOMMA LAB INT,E 109703,ALLI-TRIPLE TAB C10,NAPROXENO SODICO,6.5024E+11,159.16,15.0,135.29,135.29,135.29
1,979,GENOMMA LAB INT,E 109705,ALLI-TRIPLE TAB C20,NAPROXENO SODICO,6.5024E+11,246.53,0.0,246.53,246.53,246.53
1,979,GENOMMA LAB INT,E 109704,ALLI-TRIPLE TAB C6,NAPROXENO SODICO,6.5024E+11,98.61,13.0,85.79,85.79,85.79
1,979,GENOMMA LAB INT,E 109701,ALLIVIAX 550MG TAB C10,NAPROXENO SODICO,6.5024E+11,102.94,0.0,102.94,102.94,102.94
1,979,GENOMMA LAB INT,E 109702,ALLIVIAX 550MG TAB C20,NAPROXENO SODICO,6.5024E+11,172.14,0.0,172.14,172.14,172.14
1,979,GENOMMA LAB INT,E 109711,ALLIVIAX GARGANTA TAB C6,NAPROXENO SODICO,6.5024E+11,85.64,0.0,85.64,85.64,85.64
1,2586,PRODUCTOS DE CU,105701,ALMOHADILLA FACIAL ALGOD C100,Accesorios Limpieza Facial,7.50634E+12,19.34,5.0,18.37,21.31,18.37
1,2586,PRODUCTOS DE CU,105702,ALMOHADILLA FACIAL ALGOD C60,Accesorios Limpieza Facial,7.50634E+12,13.06,5.0,12.41,14.39,12.41
1,3156,VIATRIS HEALTHCA,R 106207,ALTRULINE 50MG TAB C28,SERTRALINA CLORHIDRATO DE,8.4015E+11,1918.8,0.0,1573.42,1573.42,1573.42
1,3012,SIEGFRIED RHEIN S,124205,AMABLY 24 HRS 20MG CAP C14,ESOMEPRAZOL,7.5013E+12,311.25,9.09,282.96,282.96,282.96
1,3012,SIEGFRIED RHEIN S,124206,AMABLY 24 HRS 20MG CAP C30,ESOMEPRAZOL,7.5013E+12,451.88,9.09,410.8,410.8,410.8
1,3012,SIEGFRIED RHEIN S,124204,AMABLY 24 HRS 20MG CAP C7,ESOMEPRAZOL,7.5013E+12,180.0,9.09,163.64,163.64,163.64
1,3012,SIEGFRIED RHEIN S,124202,AMABLY 40MG CAP C14,ESOMEPRAZOL,7.5013E+12,500.0,9.09,454.55,454.55,454.55
1,3012,SIEGFRIED RHEIN S,124201,AMABLY 40MG CAP C30,ESOMEPRAZOL,7.5013E+12,820.0,9.09,745.46,745.46,745.46
1,2942,SANOFI PASTEUR S,A 379001,AMARYL 2MG TAB C15,GLIMEPIRIDA,7.50117E+12,521.6,0.0,521.6,521.6,521.6
1,2942,SANOFI PASTEUR S,A 379002,AMARYL 4MG TAB C15,GLIMEPIRIDA,7.50117E+12,965.22,0.0,965.22,965.22,965.22
1,2942,SANOFI PASTEUR S,A 124501,AMARYL XM 2/850MG TAB C16,GLIMEPIRIDA,7.50117E+12,778.55,0.0,778.55,778.55,778.55
1,2942,SANOFI PASTEUR S,A 124502,AMARYL XM 4/850MG TAB C16,GLIMEPIRIDA,7.50117E+12,1026.72,0.0,1026.72,1026.72,1026.72
2,115,ANTIBIOTICOS DE M,3400265,AMCEF IM 1G IM 3.5ML,CEFTRIAXONA,7.50135E+12,17.59,0.0,17.59,17.59,17.59
2,115,ANTIBIOTICOS DE M,3400258,AMCEF IM 500MG SOL 2ML,CEFTRIAXONA,7.50135E+12,17.45,0.0,17.45,17.45,17.45
2,115,ANTIBIOTICOS DE M,3401117,AMCEF INY 1G IV 10ML,CEFTRIAXONA,7.50135E+12,21.45,0.0,21.45,21.45,21.45
2,2620,PRODUCTOS FARM,A 142001,AMIGDOBIS AD SUP C2,BISMUTO,7.50109E+12,67.02,0.0,67.02,67.02,67.02
2,2620,PRODUCTOS FARM,A 142002,AMIGDOBIS INF SUP C2,BISMUTO,7.50109E+12,67.02,0.0,67.02,67.02,67.02
2,115,ANTIBIOTICOS DE M,3401174,AMIKACINA 100MG AMP PLAS C1,AMIKACINA SULFATO DE,7.50135E+12,8.63,0.0,8.63,8.63,8.63
2,115,ANTIBIOTICOS DE M,3401446,AMIKACINA 100MG/2ML AMP C2,AMIKACINA SULFATO DE,7.50135E+12,14.32,0.0,14.32,14.32,14.32
2,115,ANTIBIOTICOS DE M,3400451,AMIKACINA 500MG/2ML INY 1AMP,AMIKACINA SULFATO DE,7.50135E+12,16.52,0.0,16.52,16.52,16.52
2,115,ANTIBIOTICOS DE M,3400450,AMIKACINA 500MG/2ML INY 2AMP,AMIKACINA SULFATO DE,7.50135E+12,29.85,0.0,29.85,29.85,29.85
2,3012,SIEGFRIED RHEIN S,146005,AMINOEFEDRISON NF JBE 150ML,TEOFILINA,7.5013E+12,366.88,9.09,333.53,333.53,333.53
2,3012,SIEGFRIED RHEIN S,148701,AMIZT SR 3 500MG TAB C3,AZITROMICINA,7.5013E+12,245.63,9.09,223.3,223.3,223.3
2,3012,SIEGFRIED RHEIN S,148702,AMIZT SR 3 500MG TAB C5,AZITROMICINA,7.5013E+12,318.13,9.09,289.21,289.21,289.21
2,2657,LABORATORIOS PIS,A 149501,AMK 100MG INY AMP 2ML C1,AMIKACINA SULFATO DE,7.50113E+12,65.86,0.0,65.86,65.86,65.86
2,2657,LABORATORIOS PIS,A 149502,AMK 500MG INY AMP 2ML C1,AMIKACINA SULFATO DE,7.50113E+12,180.06,0.0,180.06,180.06,180.06
2,169,AVIVIA PHARMA SA,D 3401214,AMLODIPINO 5MG TAB C100,AMLODIPINO MESILATO DE,7.50222E+12,31.03,0.0,31.03,31.03,31.03
2,169,AVIVIA PHARMA SA,D 3401315,AMLODIPINO 5MG TAB C30,AMLODIPINO-ATORVASTATINA,7.50222E+12,10.72,0.0,10.72,10.72,10.72
2,115,ANTIBIOTICOS DE M,3401303,AMOX/CLA 125/31.25MG SUSP 60ML,AMOXICILINA,7.50135E+12,21.03,0.0,21.03,21.03,21.03
2,115,ANTIBIOTICOS DE M,3401426,AMOX/CLA 200/28.57MG SUSP 50ML,AMOXICILINA,7.50135E+12,21.13,0.0,21.13,21.13,21.13
2,115,ANTIBIOTICOS DE M,3401427,AMOX/CLA 400/57.14MG SUSP 50ML,AMOXICILINA,7.50135E+12,29.75,0.0,29.75,29.75,29.75
2,115,ANTIBIOTICOS DE M,3400611,AMOXICILINA 500MG CAP C12,AMOXICILINA,7.50135E+12,18.38,0.0,18.38,18.38,18.38
2,115,ANTIBIOTICOS DE M,3401275,AMOXICILINA 500MG SUSP 75ML,AMOXICILINA,7.50135E+12,23.61,0.0,23.61,23.61,23.61
2,115,ANTIBIOTICOS DE M,3400255,AMOXICILINA/CLAVULÁNI 500MG TAB C1,2AMOXICILINA,7.50135E+12,35.54,0.0,35.54,35.54,35.54
2,2657,LABORATORIOS PIS,A 153105,AMOXICLAV 250MG SUSP 75ML,AMOXICILINA,7.50113E+12,258.61,0.0,258.61,258.61,258.61
2,2657,LABORATORIOS PIS,A 153208,AMOXICLAV 500/125MG TAB C15,AMOXICILINA,7.50113E+12,379.63,0.0,379.63,379.63,379.63
2,2657,LABORATORIOS PIS,A 153209,AMOXICLAV BID 875MG TAB C14,AMOXICILINA,7.50113E+12,403.22,0.0,403.22,403.22,403.22
2,2657,LABORATORIOS PIS,A 153207,AMOXICLAV BID ORAL 200MG 70ML,AMOXICILINA,7.50113E+12,159.51,0.0,159.51,159.51,159.51
2,2657,LABORATORIOS PIS,A 153206,AMOXICLAV BID SUSP 400MG 70ML,AMOXICILINA,7.50113E+12,264.38,0.0,264.38,264.38,264.38
2,2657,LABORATORIOS PIS,A 153101,AMOXICLAV PED 125MG SUSP 60ML,AMOXICILINA,7.50113E+12,160.37,0.0,160.37,160.37,160.37
2,115,ANTIBIOTICOS DE M,3401447,AMPICILINA 1G AMP 5ML,AMPICILINA,7.50135E+12,26.42,0.0,26.42,26.42,26.42
2,115,ANTIBIOTICOS DE M,3401304,AMPICILINA 1G TAB C10,AMPICILINA,7.50135E+12,26.81,0.0,26.81,26.81,26.81
2,115,ANTIBIOTICOS DE M,3401039,AMPICILINA 500MG INY 2ML AMP C1,AMPICILINA SODICA,7.50135E+12,21.29,0.0,21.29,21.29,21.29
2,115,ANTIBIOTICOS DE M,3401276,AMPICILINA 500MG TAB C20,AMPICILINA,7.50135E+12,28.23,0.0,28.23,28.23,28.23
2,3012,SIEGFRIED RHEIN S,157703,AMPLIRON 750MG TAB C12,AMOXICILINA,7.5013E+12,318.13,9.09,289.21,289.21,289.21
2,3012,SIEGFRIED RHEIN S,157705,AMPLIRON DUO 400/57MG SUSP70ML,AMOXICILINA,7.5013E+12,408.13,9.09,371.03,371.03,371.03
2,3012,SIEGFRIED RHEIN S,157704,AMPLIRON DUO 875/125MG CPR C14,AMOXICILINA,7.5013E+12,565.0,9.09,513.64,513.64,513.64
2,115,ANTIBIOTICOS DE M,3401245,AMSAFAST 120MG CAP C21,ORLISTAT,7.50135E+12,88.54,0.0,88.54,88.54,88.54
2,2620,PRODUCTOS FARM,A 177001,ANARA GTS 20ML,SODIO PICOSULFATO DE,7.50109E+12,177.67,5.0,168.79,168.79,168.79
2,2620,PRODUCTOS FARM,A 177003,ANARA JBE 125ML,SODIO PICOSULFATO DE,7.50109E+12,186.74,5.0,177.4,177.4,177.4
2,2620,PRODUCTOS FARM,A 177002,ANARA TAB C20,SODIO PICOSULFATO DE,7.50109E+12,153.96,10.0,138.56,138.56,138.56
2,2657,LABORATORIOS PIS,A 178002,ANASEPTIL 0.040/0.150G SOL 120ML,SALBUTAMOL,7.50113E+12,151.2,0.0,151.2,151.2,151.2
2,2657,LABORATORIOS PIS,A 178001,ANASEPTIL 0.040/0.150G SOL 60ML,SALBUTAMOL,7.50113E+12,107.19,0.0,107.19,107.19,107.19
2,2975,SERVICIOS PROMO,C 187001,ANEREX HRRO SOL 115ML CPR C1,FERRICO SACARATO,7.50107E+12,375.78,8.0,345.72,345.72,345.72
2,2620,PRODUCTOS FARM,A 204001,ANTIFLU DES CAP C24,AMANTADINA CLORHIDRATO D,E 7.50109E+12,162.87,0.0,162.87,162.87,162.87
2,2620,PRODUCTOS FARM,A 204005,ANTIFLU DES JR SOL 60ML,AMANTADINA CLORHIDRATO D,E 7.50109E+12,131.6,5.0,125.02,125.02,125.02
2,2620,PRODUCTOS FARM,A 204004,ANTIFLU DES PED 30ML,AMANTADINA CLORHIDRATO D,E 7.50109E+12,148.46,5.0,141.04,141.04,141.04
2,2975,SERVICIOS PROMO,C 283201,ANZANERA 0.1MG 250 TAB OD,CLONACEPAM,7.50112E+12,548.95,11.68,484.83,484.83,484.83
2,169,AVIVIA PHARMA SA,D 3402523,APIXABAN 2 5MG TAB C20,APIXABAN,7 50651E+12,188.98,5.5,178.59,178.59,178.59
