fuente,tipo_fuente,fecha_captura,url,categoria,producto_raw,marca,presentacion,unidad_base,cantidad_empaque,precio_empaque,precio_unitario,min_piezas,precio_escalon,moneda,minimo_compra_pedido,notas,id_producto_proveedor
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/sedal-shampoo-rizos-definidos-180-ml-26998.html,higiene-y-cuidado-personal,Sedal Shampoo Rizos Definidos 180 ml,,180 ml,ml,12,207.6,17.3,3,17.3,MXN,,pieza=19.9; caja=207.6x12; envio $70 / gratis $1100,23192
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/desodorante-rexona-active-emotion-45-gramos.html,higiene-y-cuidado-personal,Desodorante Rexona Active Emotion 45 gr,,45 g,g,12,694.8,57.9,2,57.9,MXN,,pieza=66.9; caja=694.8x12; envio $70 / gratis $1100,8180
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/antitranspirante-lady-speed-stick-cool-green-en-aerosol-91-g.html,higiene-y-cuidado-personal,Lady Speed Stick Desodorante Cool Green Spray 91 G,,91 g,g,12,494.4,41.2,2,41.2,MXN,,pieza=47.5; caja=494.4x12; envio $70 / gratis $1100,8729
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/shampoo-biotina-700ml-iva-incluido.html,higiene-y-cuidado-personal,SHAMPOO BIOTINA 700 ML,,700 ml,ml,12,770.4,64.2,2,64.2,MXN,,pieza=73.9; caja=770.4x12; envio $70 / gratis $1100,5379
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/shampoo-2-en-1-palmolive-optims-nivel-4-acondicionamiento-extra-intensivo-de-400-ml.html,higiene-y-cuidado-personal,Shampoo 2 en 1 Palmolive Optims Nivel 4 Acondicionamiento Extra Intensivo de 400 ml,,400 ml,ml,12,556.8,46.4,2,46.4,MXN,,pieza=53.5; caja=556.8x12; envio $70 / gratis $1100,5354
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/shampoo-savile-control-caida-2-en-1-700-mililitros.html,higiene-y-cuidado-personal,Shampoo Savilé Control Caída 2 en 1 700 ml,,700 ml,ml,12,770.4,64.2,2,64.2,MXN,,pieza=73.9; caja=770.4x12; envio $70 / gratis $1100,5369
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/shampoo-caprice-especialidades-fuerza-acti-ceramidas-750-ml.html,higiene-y-cuidado-personal,Shampoo Caprice Especialidades Fuerza Acti-ceramidas 750 ml,,750 ml,ml,12,553.2,46.1,2,46.1,MXN,,pieza=53.5; caja=553.2x12; envio $70 / gratis $1100,7088
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/desodorante-old-spice-areosol-fresh-de-96-gramos.html,higiene-y-cuidado-personal,Desodorante Old Spice Areosol Fresh de 96 gr,,96 g,g,12,781.2,65.1,2,65.1,MXN,,pieza=74.9; caja=781.2x12; envio $70 / gratis $1100,7722
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/lirio-jabon-derma-150-gr.html,higiene-y-cuidado-personal,Lirio Jabon Derma 150 Gr,,150 g,g,50,955.0,19.1,2,19.1,MXN,,pieza=21.9; caja=955.0x50; envio $70 / gratis $1100,13043
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/oral-b-3d-white-53-ml-26251.html,higiene-y-cuidado-personal,Oral B 3D White 53 ml,,53 ml,ml,24,597.6,24.9,2,24.9,MXN,,pieza=28.9; caja=597.6x24; envio $70 / gratis $1100,13697
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/shampoo-pantene-cuidado-clasico-2-en-1-200-mililitros.html,higiene-y-cuidado-personal,Shampoo Pantene Cuidado Clásico 2 en 1 200 ml,,200 ml,ml,12,488.4,40.7,2,40.7,MXN,,pieza=44.2; caja=488.4x12; envio $70 / gratis $1100,5361
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/desodorante-stefano-black-en-aerosol-de-159-ml.html,higiene-y-cuidado-personal,Desodorante Stefano Black en Aerosol de 159 ml,,159 ml,ml,12,538.8,44.9,2,44.9,MXN,,pieza=51.9; caja=538.8x12; envio $70 / gratis $1100,7711
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/lirio-jabon-liquido-coco-500-ml.html,higiene-y-cuidado-personal,Lirio Jabon Liquido Coco 500 Ml,,500 ml,ml,12,456.0,38.0,2,38.0,MXN,,pieza=43.9; caja=456.0x12; envio $70 / gratis $1100,13042
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/desodorante-rexona-en-aerosol-power-mujer-90-mililitros.html,higiene-y-cuidado-personal,Desodorante Rexona en Aerosol Power Mujer 150 ml,,150 ml,ml,12,883.2,73.6,2,73.6,MXN,,pieza=84.9; caja=883.2x12; envio $70 / gratis $1100,5243
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/prestobarba-ultragrip-rastrillo-tira-con-28-pz.html,higiene-y-cuidado-personal,Prestobarba Ultragrip Rastrillo Tira Con 28 Pz,,28 pza,pza,672,8872.8,13.2036,3,369.7,MXN,,pieza=425.5; caja=8872.8x24; envio $70 / gratis $1100,12899
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/desodorante-axe-en-aerosol-gold-temptation-96-mililitros.html,higiene-y-cuidado-personal,Axe Desodorante Aerosol Bs Gold Temtation 150 Ml,,150 ml,ml,12,777.6,64.8,2,64.8,MXN,,pieza=74.9; caja=777.6x12; envio $70 / gratis $1100,5195
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/crema-para-peinar-savile-liso-keratina-300-mililitros.html,higiene-y-cuidado-personal,Crema Para Peinar Savile Liso Keratina 300 ml,,300 ml,ml,12,397.2,33.1,3,33.1,MXN,,pieza=38.5; caja=397.2x12; envio $70 / gratis $1100,5301
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/crema-para-peinar-sedal-rizos-definidos-300-mililitros.html,higiene-y-cuidado-personal,Crema Para Peinar Sedal Rizos Definidos 300 ml,,300 ml,ml,12,678.0,56.5,2,56.5,MXN,,pieza=64.9; caja=678.0x12; envio $70 / gratis $1100,5303
