fuente,tipo_fuente,fecha_captura,url,categoria,producto_raw,marca,presentacion,unidad_base,cantidad_empaque,precio_empaque,precio_unitario,min_piezas,precio_escalon,moneda,minimo_compra_pedido,notas,id_producto_proveedor
Exprezo,mayorista,2026-08-12,,,Papel Higiénico Mr. Big 600 HD 4 Pzas,,4 pza,pza,4,27.95,6.9875,1,,MXN,,sitio_reporta_unidad=28.5 (no se usa; se calcula),exprezo-74-papel-higi-nico-mr-big-600-hd-4-pzas
Exprezo,mayorista,2026-08-12,,,Gelatina D'Gari Sabor Frutos Rojos 120 Gr,,120 g,g,1,10.76,10.76,1,,MXN,,sitio_reporta_unidad=12.0 (no se usa; se calcula),exprezo-75-gelatina-d-gari-sabor-frutos-rojos-120-g
Exprezo,mayorista,2026-08-12,,,Gelatina D'Gari Sabor Rompope 120 Gr,,120 g,g,1,10.76,10.76,1,,MXN,,sitio_reporta_unidad=12.0 (no se usa; se calcula),exprezo-76-gelatina-d-gari-sabor-rompope-120-gr
Exprezo,mayorista,2026-08-12,,,Servilletas Pétalo 220 piezas,,220 pza,pza,220,30.0,0.1364,1,,MXN,,sitio_reporta_unidad=35.3 (no se usa; se calcula),exprezo-77-servilletas-p-talo-220-piezas
Exprezo,mayorista,2026-08-12,,,Sopa Knorr Estrella Exhibidor Con 6 Bolsas,,,pza,1,106.0,106.0,1,,MXN,,sitio_reporta_unidad=106.0 (no se usa; se calcula),exprezo-78-sopa-knorr-estrella-exhibidor-con-6-bols
Exprezo,mayorista,2026-08-12,,,Chiles Jalapeños La Morena 210 Gr,,210 g,g,1,14.8,14.8,1,,MXN,,sitio_reporta_unidad=16.5 (no se usa; se calcula),exprezo-79-chiles-jalape-os-la-morena-210-gr
Exprezo,mayorista,2026-08-12,,,Sopa Knorr Municiones Exhibidor Con 6 Bolsas,,,pza,1,106.0,106.0,1,,MXN,,sitio_reporta_unidad=106.0 (no se usa; se calcula),exprezo-80-sopa-knorr-municiones-exhibidor-con-6-bo
Exprezo,mayorista,2026-08-12,,,Champiñones Herdez Rebanados 186g,,186 g,g,1,18.96,18.96,1,,MXN,,sitio_reporta_unidad=22.4 (no se usa; se calcula),exprezo-81-champi-ones-herdez-rebanados-186g
Exprezo,mayorista,2026-08-12,,,Mayonesa McCormick con limón 725 g,,725 g,g,1,69.18,69.18,1,,MXN,,sitio_reporta_unidad=78.7 (no se usa; se calcula),exprezo-82-mayonesa-mccormick-con-lim-n-725-g
Exprezo,mayorista,2026-08-12,,,Maizena Atole Fécula De Maíz Sabor Fresa 47 gr.,,47 g,g,1,11.3,11.3,1,,MXN,,sitio_reporta_unidad=11.3 (no se usa; se calcula),exprezo-83-maizena-atole-f-cula-de-ma-z-sabor-fresa
Exprezo,mayorista,2026-08-12,,,Flan D'Gari Sabor Vainilla 140 Gr,,140 g,g,1,8.99,8.99,1,,MXN,,sitio_reporta_unidad=11.1 (no se usa; se calcula),exprezo-84-flan-d-gari-sabor-vainilla-140-gr
Exprezo,mayorista,2026-08-12,,,Café De Grano Legal Con Azúcar Y Canela 30 Sobres,,,pza,1,282.0,282.0,1,,MXN,,sitio_reporta_unidad=282.0 (no se usa; se calcula),exprezo-85-caf-de-grano-legal-con-az-car-y-canela-3
Exprezo,mayorista,2026-08-12,,,Pétalo Papel higiénico Ultra Resistente Jumbo 6 Rollos con 500 Hojas c/u,,,pza,1,51.5,51.5,1,,MXN,,sitio_reporta_unidad=57.3 (no se usa; se calcula),exprezo-86-p-talo-papel-higi-nico-ultra-resistente-
Exprezo,mayorista,2026-08-12,,,Avena Integral Granvita 400 Gr,,400 g,g,1,11.07,11.07,1,,MXN,,sitio_reporta_unidad=12.4 (no se usa; se calcula),exprezo-87-avena-integral-granvita-400-gr
Exprezo,mayorista,2026-08-12,,,Gelatina D'Gari Sabor Grosella 120 Gr,,120 g,g,1,10.76,10.76,1,,MXN,,sitio_reporta_unidad=12.0 (no se usa; se calcula),exprezo-88-gelatina-d-gari-sabor-grosella-120-gr
Exprezo,mayorista,2026-08-12,,,Frijoles Bayos La Sierra Refritos 580 Gr,,580 g,g,1,15.0,15.0,1,,MXN,,sitio_reporta_unidad=16.7 (no se usa; se calcula),exprezo-89-frijoles-bayos-la-sierra-refritos-580-gr
Exprezo,mayorista,2026-08-12,,,Salsa BBQ Hunt's Original 620 Gr,,620 g,g,1,37.19,37.19,1,,MXN,,sitio_reporta_unidad=41.4 (no se usa; se calcula),exprezo-90-salsa-bbq-hunt-s-original-620-gr
Exprezo,mayorista,2026-08-12,,,Frijoles Refritos Bayos en Lata La Costeña 820 gr,,820 g,g,1,23.79,23.79,1,,MXN,,sitio_reporta_unidad=23.79 (no se usa; se calcula),exprezo-91-frijoles-refritos-bayos-en-lata-la-coste
Exprezo,mayorista,2026-08-12,,,Maizena Atole Fécula De Maíz Sabor Chocolate 45 Gr,,45 g,g,1,11.3,11.3,1,,MXN,,sitio_reporta_unidad=11.3 (no se usa; se calcula),exprezo-92-maizena-atole-f-cula-de-ma-z-sabor-choco
Exprezo,mayorista,2026-08-12,,,Servilletas Pétalo 420 piezas,,420 pza,pza,420,45.83,0.1091,1,,MXN,,sitio_reporta_unidad=49.9 (no se usa; se calcula),exprezo-93-servilletas-p-talo-420-piezas
Exprezo,mayorista,2026-08-12,,,Cereal Kellogg's Zucaritas 125 Gr,,125 g,g,1,23.25,23.25,1,,MXN,,sitio_reporta_unidad=25.5 (no se usa; se calcula),exprezo-94-cereal-kellogg-s-zucaritas-125-gr
Exprezo,mayorista,2026-08-12,,,Sopa Knorr Letras Exhibidor Con 6 Bolsas,,,pza,1,106.0,106.0,1,,MXN,,sitio_reporta_unidad=106.0 (no se usa; se calcula),exprezo-95-sopa-knorr-letras-exhibidor-con-6-bolsas
Exprezo,mayorista,2026-08-12,,,Té De Limón La Pastora 25 Sobres,,,pza,1,17.95,17.95,1,,MXN,,sitio_reporta_unidad=20.5 (no se usa; se calcula),exprezo-96-t-de-lim-n-la-pastora-25-sobres
Exprezo,mayorista,2026-08-12,,,Canela Entera IET Tira Con 26 Piezas,,26 pza,pza,26,132.42,5.0931,1,,MXN,,sitio_reporta_unidad=132.42 (no se usa; se calcula),exprezo-97-canela-entera-iet-tira-con-26-piezas
Exprezo,mayorista,2026-08-12,,,Leche Evaporada Carnation Clavel 1kg,,1000 g,g,1,46.0,46.0,1,,MXN,,sitio_reporta_unidad=46.0 (no se usa; se calcula),exprezo-98-leche-evaporada-carnation-clavel-1kg
Exprezo,mayorista,2026-08-12,,,Frijoles Refritos bayos Isadora Pouch 220 gr.,,220 g,g,1,9.22,9.22,1,,MXN,,sitio_reporta_unidad=10.5 (no se usa; se calcula),exprezo-99-frijoles-refritos-bayos-isadora-pouch-22
Exprezo,mayorista,2026-08-12,,,Pasta Spaghetti La Moderna 500 gr.,,500 g,g,1,17.28,17.28,1,,MXN,,sitio_reporta_unidad=19.0 (no se usa; se calcula),exprezo-100-pasta-spaghetti-la-moderna-500-gr-
Exprezo,mayorista,2026-08-12,,,Mole Doña María rojo en pasta 235 g,,235 g,g,1,49.19,49.19,1,,MXN,,sitio_reporta_unidad=57.9 (no se usa; se calcula),exprezo-101-mole-do-a-mar-a-rojo-en-pasta-235-g
Exprezo,mayorista,2026-08-12,,,Nutella Crema De Avellanas 350 Gr,,350 g,g,1,80.81,80.81,1,,MXN,,sitio_reporta_unidad=82.5 (no se usa; se calcula),exprezo-102-nutella-crema-de-avellanas-350-gr
Exprezo,mayorista,2026-08-12,,,Gelatina D'Gari Sabor Nuez 120 Gr,,120 g,g,1,10.76,10.76,1,,MXN,,sitio_reporta_unidad=12.0 (no se usa; se calcula),exprezo-103-gelatina-d-gari-sabor-nuez-120-gr
Exprezo,mayorista,2026-08-12,,,Gelatina D'Gari Sabor Mango Manila 120 Gr,,120 g,g,1,10.76,10.76,1,,MXN,,sitio_reporta_unidad=12.0 (no se usa; se calcula),exprezo-104-gelatina-d-gari-sabor-mango-manila-120-g
Exprezo,mayorista,2026-08-12,,,Sustituto De Crema Para Café En Polvo Coffee Mate 160 Gr,,160 g,g,1,33.57,33.57,1,,MXN,,sitio_reporta_unidad=37.3 (no se usa; se calcula),exprezo-105-sustituto-de-crema-para-caf-en-polvo-cof
Exprezo,mayorista,2026-08-12,,,Frijoles Bayos La Sierra Enteros 560 Gr,,560 g,g,1,14.0,14.0,1,,MXN,,sitio_reporta_unidad=15.6 (no se usa; se calcula),exprezo-106-frijoles-bayos-la-sierra-enteros-560-gr
Exprezo,mayorista,2026-08-12,,,Chiles Chipotles La Morena 210 Gr,,210 g,g,1,27.92,27.92,1,,MXN,,sitio_reporta_unidad=31.1 (no se usa; se calcula),exprezo-107-chiles-chipotles-la-morena-210-gr
