sku,nombre,categoria,tipo,costo,precio_actual,precio_propuesto,regla,recargo_pct,utilidad_pesos,margen_bruto_pct,variacion_pct,needs_review,manual_like,motivo_regla
FC-27250612,Obao P/Del,Higiene,marca,24.71,39.54,35,higiene,40.0,10.29,29.4,-11.5,False,False,higiene
FC-27286017,Obao Clas,Higiene,marca,45.83,73.33,65,higiene,40.0,19.17,29.5,-11.4,False,False,higiene
FC-22105207,Grisi Neutro,Higiene,marca,20.14,32.23,29,higiene,40.0,8.86,30.6,-10.0,False,False,higiene
FC-38891190,Dove Barra Blanca,Higiene,marca,60.54,96.87,85,higiene,40.0,24.46,28.8,-12.3,False,False,higiene
FC-75062927,Rexona Pom-Dry 48 H,Higiene,marca,30.21,48.34,43,higiene,40.0,12.79,29.7,-11.0,False,False,higiene
FC-06241206,Dove Dermac Sk-C 48H,Higiene,marca,54.12,86.6,76,higiene,40.0,21.88,28.8,-12.2,False,False,higiene
FC-61113000,Odolex Desod,Higiene,marca,31.77,50.84,45,higiene,40.0,13.23,29.4,-11.5,False,False,higiene
FC-01303454,Pantene Ctrcaida A/Pv,Higiene,marca,40.66,65.06,57,higiene,40.0,16.34,28.7,-12.4,False,False,higiene
FC-07457796,Pantene Brillo Extremo,Higiene,marca,75.7,121.12,106,higiene,40.0,30.3,28.6,-12.5,False,False,higiene
FC-35155847,Pantene Bambu Ctrl Caida,Higiene,marca,40.66,65.06,57,higiene,40.0,16.34,28.7,-12.4,False,False,higiene
FC-06249240,Savile Ker-Sab Fza Repar,Higiene,marca,44.76,71.62,63,higiene,40.0,18.24,29.0,-12.0,False,False,higiene
FC-06249226,Savile Bio-Sab Creci Res,Higiene,marca,50.07,80.12,71,higiene,40.0,20.93,29.5,-11.4,False,False,higiene
FC-24511629,Silica Shine Sil 3/1 Uva 120 Mi,Higiene,marca,18.17,29.08,26,higiene,40.0,7.83,30.1,-10.6,False,False,higiene
FC-06234062,Sedal Anti Nudos,Cuidado personal,marca,17.77,28.44,25,higiene,40.0,7.23,28.9,-12.1,False,False,higiene
FC-56342258,Sedal Recons Estructur,Cuidado personal,marca,17.77,28.44,25,higiene,40.0,7.23,28.9,-12.1,False,False,higiene
FC-61111501,Odolex Desdo,Higiene,marca,50.07,80.12,71,higiene,40.0,20.93,29.5,-11.4,False,False,higiene
FC-61124013,Odolex Fresh,Higiene,marca,73.76,118.02,104,higiene,40.0,30.24,29.1,-11.9,False,False,higiene
FC-56340124,Sedal Sos Ceramida,Cuidado personal,marca,57.9,92.64,82,higiene,40.0,24.1,29.4,-11.5,False,False,higiene
FC-35020008,Herbal Essences Limp Renoy,Higiene,marca,57.9,92.64,82,higiene,40.0,24.1,29.4,-11.5,False,False,higiene
