sku,nombre,categoria,tipo,codigo_barras,costo_compra,precio_venta_fc,margen_bruto_pct,markup_sobre_costo_pct,precio_teorico_costo_x1_6,dif_vs_teorico_pct,precio_similares,precio_del_ahorro,precio_exprezo,ref_mercado_min,dif_vs_mercado_pct,fecha_ref_competencia
FC-42270027,Nivea Cuidada Clar-Nat,Cuidado personal,marca,42270027,85.87,137.4,37.5,60.0,137.39,0.0,,,,,,
FC-42417644,Nivea Cuidado Int P/Mano,Cuidado personal,marca,42417644,48.58,69.0,29.6,42.0,77.73,-11.2,,,,,,
FC-00701992,Nivea Manos 3En1 Ant-Arrugas,Cuidado personal,marca,4005900701992,36.3,51.0,28.8,40.5,58.08,-12.2,,,,,,
FC-08837311,Nivea Pearlb Mspy,Higiene,marca,4005808837311,32.37,46.0,29.6,42.1,51.79,-11.2,,,,,,
FC-54503095,Nivea Sda Tarro,Cuidado personal,marca,7501054503095,60.75,86.0,29.4,41.6,97.2,-11.5,,,,,,
FC-54500216,Nivea Sdatarr Giga,Cuidado personal,marca,7501054500216,147.15,207.0,28.9,40.7,235.44,-12.1,,,,,,
FC-5D9DFA3D,Norquinol,Otro,generico,,48.87,78.2,37.5,60.0,78.19,0.0,,,,,,
FC-92511261,Nutribela Bio Colageno,Cuidado personal,marca,7506192511261,41.84,59.0,29.1,41.0,66.94,-11.9,,,,,,
FC-92509213,Nutribela Nutrice Tarro,Cuidado personal,marca,7506192509213,40.24,64.39,37.5,60.0,64.38,0.0,,,,,,
FC-82790504,Nuvel Bifasico Oil,Cuidado personal,marca,7501082790504,27.75,39.0,28.8,40.5,44.4,-12.2,,,,,,
FC-82740011,Nuvel Humec,Cuidado personal,marca,7501082740011,14.08,20.0,29.6,42.0,22.53,-11.2,,,,,,
FC-82790016,Nuvel Pura Para Bebe200 G,Higiene,marca,7501082790016,20.65,29.0,28.8,40.4,33.04,-12.2,,,,,,
FC-A909ABC0,Odivitor,Otro,marca,,13.77,17.91,23.1,30.1,22.03,-18.7,,,,,,
FC-61111501,Odolex Desdo,Higiene,marca,7501361111501,17.77,25.0,28.9,40.7,28.43,-12.1,,,,,,
FC-61113000,Odolex Desod,Higiene,marca,7501361113000,28.1,40.0,29.8,42.3,44.96,-11.0,,,,,,
FC-61124013,Odolex Fresh,Higiene,marca,7501361124013,17.77,25.0,28.9,40.7,28.43,-12.1,,,,,,
FC-61123009,Odolex Naturals Talco Desodorante,GENERAL,marca,7501361123009,28.1,38.0,26.1,35.2,44.96,-15.5,,,,,,
FC-51444145,Old Spice,Higiene,marca,75004351444145,277.0,388.0,28.6,40.1,443.2,-12.5,,,,,,
FC-50003151,Opella Neomelubrina Jbe I 121.00 Neomelubrina Jbe I,Otro,marca,75011650003151,118.58,189.73,37.5,60.0,189.73,0.0,,,,,,
FC-95129166,Oral-B 3Dw Advant Med2X1,Higiene,marca,7506195129166,53.19,75.0,29.1,41.0,85.1,-11.9,,,,,,
FC-86494262,Oral-B Indicat35Sve,Higiene,marca,7501086494262,15.51,22.0,29.5,41.8,24.82,-11.4,,,,,,
FC-F7DB080D,Ovisen,Otro,marca,,20.33,26.43,23.1,30.0,32.53,-18.8,,,,,,
FC-FD92D114,Ovisen,Otro,marca,,10.19,13.25,23.1,30.0,16.3,-18.7,,,,,,
FC-B2123139,Oxivag,Otro,marca,,64.09,83.32,23.1,30.0,102.54,-18.7,,,,,,
FC-5885E577,Pabesorag,Otro,marca,,60.47,78.62,23.1,30.0,96.75,-18.7,,,,,,
FC-35911208,Palmolive Aquarium,Higiene,marca,7501035911208,23.79,34.0,30.0,42.9,38.06,-10.7,,,,,,
FC-46655079,Palmolive N-Bal Corp Baby0%,Higiene,marca,7509546655079,7.49,11.0,31.9,46.9,11.98,-8.2,,,,,,
FC-46683133,Palmolive N-Bal Dermo Limp,Higiene,marca,7509546683133,13.07,19.0,31.2,45.4,20.91,-9.1,,,,,,
FC-46059556,Palmolive N-Bal Dermol,Higiene,marca,7509546059556,35.61,50.0,28.8,40.4,56.98,-12.2,,,,,,
FC-43475014,Pañal Diapro Grande,Otro,marca,7501943475014,99.0,149.0,33.6,50.5,158.4,-5.9,,,,,,
FC-16800803,Pañal Diapro Med,Producto,marca,7501943474994,85.0,128.0,33.6,50.6,136.0,-5.9,,,,,,
FC-01165321,Pantene Acond Rizos Definid,GENERAL,marca,7501001165321,75.7,103.0,26.5,36.1,121.12,-15.0,,,,,,
FC-35155922,Pantene Bambu,Higiene,marca,7500435155922,50.07,71.0,29.5,41.8,80.11,-11.4,,,,,,
FC-35155847,Pantene Bambu Ctrl Caida,Higiene,marca,7500435155847,75.7,106.0,28.6,40.0,121.12,-12.5,,,,,,
FC-07457796,Pantene Brillo Extremo,Higiene,marca,7501007457796,75.7,121.12,37.5,60.0,121.12,0.0,,,,,,
FC-07457826,Pantene Brillo Extremo,Higiene,marca,7501007457826,75.7,121.12,37.5,60.0,121.12,0.0,,,,,,
FC-01303454,Pantene Ctrcaida A/Pv,Higiene,marca,7501001303454,75.7,106.0,28.6,40.0,121.12,-12.5,,,,,,
FC-33954740,Pedialyte,Higiene,marca,7501033954740,23.81,38.1,37.5,60.0,38.1,0.0,,,,,,
FC-33961373,Pedialyte fresa,Otro,marca,7501033961373,23.81,38.1,37.5,60.0,38.1,0.0,,,,,,
FC-33956775,Pedialyte Sr60 Uva,Higiene,marca,7501033956775,24.3,38.89,37.5,60.0,38.88,0.0,,,,,,
FC-33951008,Pediasure chocolate,Suplemento,marca,7501033956317,44.0,66.0,33.3,50.0,70.4,-6.3,,,,,,
FC-33950063,Pediasure fresa,Suplemento,marca,7501033956331,44.0,66.0,33.3,50.0,70.4,-6.3,,,,,,
FC-33950209,Pediasure vainilla,Analgésico,marca,7501033956294,44.0,66.0,33.3,50.0,70.4,-6.3,,,,,,
FC-3A4583F3,Penipot,Otro,marca,,14.07,18.3,23.1,30.1,22.51,-18.7,,,,,,
FC-F183C6E9,Penipot,Otro,marca,,19.44,25.28,23.1,30.0,31.1,-18.7,,,,,,
FC-B4477A00,Pentibroxil,Otro,marca,,30.04,39.06,23.1,30.0,48.06,-18.7,,,,,,
FC-B72A6420,Pentiver,Otro,marca,,27.06,35.18,23.1,30.0,43.3,-18.8,,,,,,
FC-7AA38F97,Pentiver,Otro,marca,,31.2,40.56,23.1,30.0,49.92,-18.7,,,,,,
FC-9A1C64E7,Perilla Edigar N O Caja,Producto,marca,,14.5,23.21,37.5,60.1,23.2,0.0,,,,,,
FC-BCF59548,Perilla N1,Botiquín,generico,,15.5,24.8,37.5,60.0,24.8,0.0,,,,,,
FC-C22EBFE6,Perilla N2,Botiquín,generico,,16.0,25.6,37.5,60.0,25.6,0.0,,,,,,
FC-614E4F82,Perilla N3,Botiquín,generico,,18.5,29.6,37.5,60.0,29.6,0.0,,,,,,
FC-FFC25DD1,Perilla N4,Botiquín,generico,,19.5,31.21,37.5,60.1,31.2,0.0,,,,,,
FC-A871D831,Perilla N6,Botiquín,generico,,22.5,30.38,25.9,35.0,36.0,-15.6,,,,,,
FC-AA905BF7,Perludil,Otro,marca,,16.11,20.95,23.1,30.0,25.78,-18.7,,,,,,
FC-20500171,Pert Oliv+Ac Agu P/Pein,Cuidado personal,marca,810120500171,7.4,11.0,32.7,48.6,11.84,-7.1,,,,,,
FC-20500201,Pert Plus Ac-Oliva,Higiene,marca,810120500201,23.99,34.0,29.4,41.7,38.38,-11.4,,,,,,
FC-56330378,Ponds Bio-Hydra Dual,Cuidado personal,marca,7501056330378,88.8,125.0,29.0,40.8,142.08,-12.0,,,,,,
FC-56326142,Ponds S Humectante,Cuidado personal,marca,7501056326142,59.36,84.0,29.3,41.5,94.98,-11.6,,,,,,
FC-04D83B46,Pralex,Otro,marca,,42.85,55.71,23.1,30.0,68.56,-18.7,,,,,,
FC-83510531,Protec Antibacterial 22.40 Antibacterial,Cuidado personal,marca,75010483510531,123.58,197.73,37.5,60.0,197.73,0.0,,,,,,
FC-48623006,Protec Pads Facial Redondos C/100,Cuidado personal,marca,7501048623006,21.7,34.72,37.5,60.0,34.72,0.0,,,,,,
FC-86708021,Protec Sigital Termometro 42.10 Sigital Termometro,Producto,marca,75010486708021,41.26,66.02,37.5,60.0,66.02,0.0,,,,,,
FC-6B2ADEE9,Protect aerosol 200 dosis,GENERAL,marca,,96.21,125.08,23.1,30.0,153.94,-18.7,,,,,,
FC-14982514,Prudence,Producto,marca,7502214982514,34.1,54.56,37.5,60.0,54.56,0.0,,,,,,
FC-49824391,Prudence 'Ull Retardante C/3,Producto,marca,75022149824391,41.31,56.0,26.2,35.6,66.1,-15.3,,,,,,
FC-14985805,Prudence Chicle C/E Idkt Cond Chicle,Higiene,marca,7502214985805,48.6,69.0,29.6,42.0,77.76,-11.3,,,,,,
FC-49800151,Prudence Clasico C/3,Higiene,marca,75022149800151,29.3,46.88,37.5,60.0,46.88,0.0,,,,,,
FC-49824771,Prudence Fresa,Producto,marca,75022149824771,34.1,47.0,27.4,37.8,54.56,-13.9,,,,,,
FC-14983153,Prudence Grosella,Higiene,marca,7502214983153,68.2,109.12,37.5,60.0,109.12,0.0,,,,,,
