sku,nombre,ticket,linea_ticket,lote,nombre_ticket,clave_equilibrio,via_match,ean_propuesto,nombre_levic,precio_levic,aceptable,confirmado_por,aceptado,aviso
FC-DB4A39AE,Eferox (Cefalexina),440393,94,29911,CALCIO EFE 12 COMP 500 MG,RAD096,lote_equilibrio,7501563380439,Calcio Efe 12 Comp 500 Mg,42.49,candidato_clave_levic,equilibrio.lote_equilibrio+levic.RAD096,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-9827438F,Mercurio Veneno De Abeja,IFC2-080826,17,,MERCURIO POMADA VENENO DE ABEJA C/25,,,,,,,,,Sin clave/EAN exacto en tickets ni portal Levic
FC-9A1C64E7,Perilla Edigar N O Caja,IFC2-080826,9,,EDIGAR PERILLA N O CAJA,,,,,,,,,Sin clave/EAN exacto en tickets ni portal Levic
FC-A2B284E0,Hialuronato De Sodio 4Mg,440393,145,26161P,HIALURONATO DE SODIO 4MG 10 ML,EXA054,lote_equilibrio,75058661,Hialuronato De Sodio 4Mg,118.77,candidato_clave_levic,equilibrio.lote_equilibrio+levic.EXA054,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-A871D831,Perilla N6,IFC2-080826,5,,/ 2.00 PIEZA EDIGAR PERILLA N 6 CAJA 1649 81608,,,,,,,,,Sin clave/EAN exacto en tickets ni portal Levic
FC-9507CD66,Mercurio Haba Alcanforada,IFC2-080826,15,,MERCURIO HABA ALCANFORADA C/50 1510724,,,,,,,,,Sin clave/EAN exacto en tickets ni portal Levic
FC-A680F97E,Mercurio Yodo Tomar,IFC1-080826,18,,MERCURIO YODO TOMAR C/25 1800823 83156,,,,,,,,,Sin clave/EAN exacto en tickets ni portal Levic
FC-B8D7C997,Bicarbonato Sobres,IFC2-080826,3,,MERCURIO BICARBONATO SOBRES C/50,,,,,,,,,Sin clave/EAN exacto en tickets ni portal Levic
FC-BCF59548,Perilla N1,IFC2-080826,14,,EDIGAR PERILLA N 1 CAJA 1113 81608,,,,,,,,,Sin clave/EAN exacto en tickets ni portal Levic
FC-DF8ADDAB,Erispan,440393,107,256110,ERISPAN 1 FA 4MG/3 ML,MAV360,lote_equilibrio,7502009745218,Erispan,23.44,candidato_clave_levic,equilibrio.lote_equilibrio+levic.MAV360,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-D037156B,Mercurio Bismuto Subnitrato,IFC2-080826,2,,MERCURIO BISMUTO SUBNITRATO C/50 1390724,,,,,,,,,Sin clave/EAN exacto en tickets ni portal Levic
FC-D3D28E20,Mercurio Yodo Untar,IFC1-080826,16,,MERCURIO YODO UNTAR C/25 1810623 83156,,,,,,,,,Sin clave/EAN exacto en tickets ni portal Levic
FC-174824A0,Vernisen,440393,5,790055,VERNISEN 6 TAB 200 MG,NOV025,lote_equilibrio,7501075715927,Vermisen 6 Tab 200 Mg,12.5,candidato_clave_levic,equilibrio.lote_equilibrio+levic.NOV025,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-F967863B,Terficho,440393,1,5M297,TERFICHO 40 CAPS 100 MG,HIS075,lote_equilibrio,7502213042325,Terfhicid 40 Caps 100 Mg,47.84,candidato_clave_levic,equilibrio.lote_equilibrio+levic.HIS075,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-B25B4654,Cina (Ciprofloxacino),440393,3,U26D009,CINA 7 TAB 750 MG,LAN043,linea_equilibrio,7502225092486,Cina 750 mg Caja con 7 tabletas Landsteiner,29.7,candidato_clave_levic,equilibrio.linea_equilibrio+levic.LAN043,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-FBD776D2,Mercurio Perlas De Eter,IFC2-080826,7,,MERCURIO PERLAS DE ETER C/50 1630824,,,,,,,,,Sin clave/EAN exacto en tickets ni portal Levic
FC-FD718DF3,Mercurio Sulfatiazol,IFC2-080826,21,,MERCURIO POMADA SULFATIAZOL C/25 2600223,,,,,,,,,Sin clave/EAN exacto en tickets ni portal Levic
FC-05965071,Acroxil-C,440393,55,B2602071,ACROXIL-C 12 CAPS 500/8 MG,SON139,lote_equilibrio,7502001163775,Acroxil-C,29.92,candidato_clave_levic,equilibrio.lote_equilibrio+levic.SON139,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-D5AC44CA,Amifarin,440393,6,C6227,AMIFARIN 20 CAPS 500 MG,WAN024,lote_equilibrio,7503001007113,Amifarin,46.96,candidato_clave_levic,equilibrio.lote_equilibrio+levic.WAN024,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-A455EE80,Cefagen,440393,11,256533,CEFAGEN 1 SUSP 250MG/5/50 ML,MAV131,lote_equilibrio,7502009741296,Cefagen,78.11,candidato_clave_levic,equilibrio.lote_equilibrio+levic.MAV131,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-ACA2A2F6,Alopurinol,440393,4,AB25002,ALOPURINOL 20 TAB 300 MG,BEA434,lote_equilibrio,7501342804309,Alopurinol 300 mg,22.05,candidato_clave_levic,equilibrio.lote_equilibrio+levic.BEA434,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-B18E386A,Cefaroxil,440393,9,255417,CEFAROXIL 15 TAB 500/30 MG,MAV142,lote_equilibrio,7502009741500,Cefabroxil 15 Tab 500/30 Mg,46.24,candidato_clave_levic,equilibrio.lote_equilibrio+levic.MAV142,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-E374F23E,Cefagen,440393,12,255233,CEFAGEN 1 SUSP 125MG/5/50 ML,MAV130,lote_equilibrio,7502009741302,Cefagen pediátrico,48.86,candidato_clave_levic,equilibrio.lote_equilibrio+levic.MAV130,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-428A228F,Gimalxina,440393,72,26240134,GIMALXINA 12 CAPS 500 MG,COL056,lote_equilibrio,780083140663,Gimalxina,25.39,candidato_clave_levic,equilibrio.lote_equilibrio+levic.COL056,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-50587FA6,Mexapin,440393,38,S5721,MEXAPIN 1 SUSP 125MG/5/60 ML,WAN006,linea_equilibrio,7503001007120,Mexapin,14.42,candidato_clave_levic,equilibrio.linea_equilibrio+levic.WAN006,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-95779436,Acetilsalicilico Ef,440393,45,0380626,ACIDO ACETILSALICILICO EF 20 TAB 300 MG,ALP0300,linea_equilibrio,7501384504908,Acido Acetilsalicilico Ef 20 Tab 300 Mg,20.41,candidato_clave_levic,equilibrio.linea_equilibrio+levic.ALP0300,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-A0D320D1,Amoxicilina,440393,44,C0925787,AMOXICILINA 12 CAPS 500 MG,AMS265,linea_equilibrio,7501349021570,Amoxicilina 500 mg Caja con 12 cápsulas AMSA,18.31,candidato_clave_levic,equilibrio.linea_equilibrio+levic.AMS265,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-B69FCBF4,Lesaclor,440393,70,S19964,LESACLOR (MACLOV) 35 TAB 400 MG,MAI026,linea_equilibrio,785120753530,Lesaclor,72.16,candidato_clave_levic,equilibrio.linea_equilibrio+levic.MAI026,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-B72A6420,Pentiver,440393,39,257070,PENTIVER 1 SUSP 250MG/5/90 ML,MAV061,lote_equilibrio,7503000422719,Pentiver,29.37,candidato_clave_levic,equilibrio.lote_equilibrio+levic.MAV061,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-D9391288,Azitromicina,440393,40,251985,AZITROMICINA 1 SUSP 200MG/5/15 ML,SER076,lote_equilibrio,7501258210393,Azitromicina,76.74,candidato_clave_levic,equilibrio.lote_equilibrio+levic.SER076,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-D4AC123B,Mercurio Aceite Almendras,IFC1-080826,10,,MERCURIO ACEITE ALMENDRAS C/25 790523,,,,,,,,,Sin clave/EAN exacto en tickets ni portal Levic
FC-4F737E93,Cloxan,440393,82,LE2626,CLOXAN 1 SOL 300MG/120ML,BIO064,lote_equilibrio,7501573902706,Cloxan,12.94,candidato_clave_levic,equilibrio.lote_equilibrio+levic.BIO064,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-29670370,Degortzin,440393,86,444AA,DEGORTZIN 1 SOL 100 MG/50 ML,DEG184,lote_equilibrio,7501825304562,Degortzin,36.84,candidato_clave_levic,equilibrio.lote_equilibrio+levic.DEG184,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-4A0245DA,Amlodipino,440393,85,5LM125B,AMLODIPINO 100 TAB 5 MG,AVI027,lote_equilibrio,7502216804814,Amlodipino,32.87,candidato_clave_levic,equilibrio.lote_equilibrio+levic.AVI027,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-58DB24C4,Bitenver,440393,98,261052,BITENVER 30 TAB 24 MG,MAV350,lote_equilibrio,7502009747373,Bitenver,64.76,candidato_clave_levic,equilibrio.lote_equilibrio+levic.MAV350,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-6074BB64,Redalip,440393,80,251660,REDALIP 30 TAB 200 MG,MAV073,linea_equilibrio,7503000422498,Redalip,26.04,candidato_clave_levic,equilibrio.linea_equilibrio+levic.MAV073,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-69A3C416,Wexpec,440393,87,LB2633,WEXPEC 1 SOL 7.5/2MG/5/120 ML,BIO076,linea_equilibrio,7503001007694,Wexpec,16.66,candidato_clave_levic,equilibrio.linea_equilibrio+levic.BIO076,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-C6C20517,Budimin,440393,97,257237,BUDIMIN 20 TAB 1 MG,MAV373,lote_equilibrio,7502009748868,Budimin,31.59,candidato_clave_levic,equilibrio.lote_equilibrio+levic.MAV373,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-08DB70CB,Bicarbonato Velazquez Grande 200G,IFC2-080826,19,,VELAZQUEZ BICARBONATO GRANDE 200G C/10,,,,,,,,,Sin clave/EAN exacto en tickets ni portal Levic
FC-0ACC5B6A,Mercurio Oxido De Zinc,IFC2-080826,22,,MERCURIO POMADA OXIDO DE ZINC C/25,,,,,,,,,Sin clave/EAN exacto en tickets ni portal Levic
FC-97BEFA1A,Amlodipino,440393,113,5MM301A,AMLODIPINO 100 TAB 5 MG,AVI027,lote_equilibrio,7502216804814,Amlodipino,32.87,candidato_clave_levic,equilibrio.lote_equilibrio+levic.AVI027,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-9ABFB996,Elaphteron,440393,141,B26050,ELAPHTERON 20 TAB 100 MG,AVT204,linea_equilibrio,7502209858251,Elaphteron,33.0,candidato_clave_levic,equilibrio.linea_equilibrio+levic.AVT204,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-04D83B46,Pralex,440393,150,6D064G,PRALEX 28 TAB 10 MG,MAI154,linea_equilibrio,785120755442,Pralex,44.62,candidato_clave_levic,equilibrio.linea_equilibrio+levic.MAI154,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-1FBF5206,Del Viejito Reomatolum,IFC1-080826,1,,POMADA REOMATOLUM DEL VIEJITO 60G,,,,,,,,,Sin clave/EAN exacto en tickets ni portal Levic
FC-3D0ED22B,Zukedib,440393,149,R2506781,ZUKEDIB 30 TAB 4 MG,LOE071,lote_equilibrio,7502211784036,Zukedib,31.51,candidato_clave_levic,equilibrio.lote_equilibrio+levic.LOE071,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-52D2A43A,Zukedib,440393,148,R25126048,ZUKEDIB 30 TAB 2 MG,LOE070,lote_equilibrio,7502211784029,Zukedib glimepirida 2 mg C/30,29.39,candidato_clave_levic,equilibrio.lote_equilibrio+levic.LOE070,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-53506FA4,Enalapril,440393,152,6N50A,ENALAPRIL 30 TAB 10 MG,ULT104,linea_equilibrio,7502216792845,Enalapril,8.1,candidato_clave_levic,equilibrio.linea_equilibrio+levic.ULT104,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-3D0F54B7,Ibupro-Cafe,440393,134,M26052,IBUPRO-CAFE 10 CAPS 400 MG/100 MG,VIT068,lote_equilibrio,7501478316813,Ibuprofeno Cafeina,31.88,candidato_clave_levic,equilibrio.lote_equilibrio+levic.VIT068,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-50D044FF,Wermy,440393,136,260373,WERMY 15 CAPS 300 MG,WER036,lote_equilibrio,7502240450773,Wermy,24.59,candidato_clave_levic,equilibrio.lote_equilibrio+levic.WER036,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-5885E577,Pabesorag,440393,133,610426,PABESORAG 28 TAB 150/12.5 MG,NOV163,linea_equilibrio,7501075722543,Pabesorag,61.72,candidato_clave_levic,equilibrio.linea_equilibrio+levic.NOV163,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-60F627D5,Gentamicina,440393,21,B25N402,GENTAMICINA 5 AMP 160MG/2ML,AMS071,lote_equilibrio,7501349026094,Gentamicina,48.43,candidato_clave_levic,equilibrio.lote_equilibrio+levic.AMS071,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-C101D5B1,Bisoprolol,440393,15,26E039,BISOPROLOL 30 TAB 2.5 MG,QUI131,lote_equilibrio,7501109763375,Bisoprolol,117.27,candidato_clave_levic,equilibrio.lote_equilibrio+levic.QUI131,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-C22EBFE6,Perilla N2,IFC2-080826,13,,EDIGAR PERILLA N 2 CAJA 1145 81608,,,,,,,,,Sin clave/EAN exacto en tickets ni portal Levic
FC-C8B741F6,FC producto botiquín,FMX-080826,60,251102-2,FC 01711/2030,,,,,,,,,Sin clave/EAN exacto en tickets ni portal Levic
