sku,producto_id,fuente,precio,confianza,origen,notas
FC-369D1689,69,otros_venta,276.94,70,manual,Claude 20260815 · Beneventol 400mg 6 cápsulas
FC-42270027,290,otros_venta,39.0,70,manual,Claude 20260815 · Nivea Cuidada Aclarado Natural 200ml
FC-428A228F,72,otros_venta,40.52,70,manual,Claude 20260815 · GIMALXINA 500mg 12 cápsulas
FC-443C330E,24,otros_venta,285.0,90,manual,Claude 20260815 · Cefagen Cefalexina 500mg 10 tabletas
FC-4BD80686,62,otros_venta,224.29,70,manual,Claude 20260815 · Beneventol 400mg 3 cápsulas
FC-4C621D07,46,otros_venta,39.0,90,manual,Claude 20260815 · Vanmoxol 250/15mg
FC-50959781,454,otros_venta,150.0,75,import_csv,Farmacias referencia - Centrum Multivitamínico 30 tabletas (verificar en Fahorro/Walmart)
FC-51747971,404,otros_venta,26.5,75,import_csv,Farmatodo.com.mx - Electrolit suero oral 625ml
FC-55280956,171,otros_venta,40.5,90,manual,Claude 20260815 · Obao Men Tattoo Intense Rebel 65g
FC-58792792,446,otros_venta,84.02,90,manual,Claude 20260815 · Tempra C/12
FC-5C8C9C11,131,otros_venta,23.0,90,manual,Claude 20260815 · Gelubrin 10 CAPSULAS
FC-5F30F9D4,52,otros_venta,112.0,90,manual,Claude 20260815 · Clamoxin 500/125mg 10 tabletas
FC-65054135,434,otros_venta,93.9,90,manual,Claude 20260815 · TUMS Carbonato de Calcio precio base
FC-66534951,378,otros_venta,26.0,90,manual,Claude 20260815 · Colgate Total 12 Clean Mint 50ml
FC-67905131,202,otros_venta,21.5,90,manual,Claude 20260815 · Blumen Cherry Blossom 221ml
FC-67905186,194,otros_venta,25.0,90,manual,Claude 20260815 · Blumen Coconut Paradise 221ml
FC-6EAD98A9,19,otros_venta,75.42,70,manual,Claude 20260815 · CEPOBROM Cefadroxil/Bromhexina encontrado
FC-72300171,221,otros_venta,124.95,90,manual,Claude 20260815 · Ting polvo decolorante 85g
FC-75125811,368,otros_venta,23.9,90,manual,Claude 20260815 · Evenflo Biberón Colors Flujo Lento 4oz/120ml - Disponible. SKU público: 466510
FC-7AF7ACB5,16,otros_venta,65.43,60,import_csv,Basado en precio Ciprofloxacino 500mg genérico; presentación de 3 tab no encontrada
FC-82176351,500,otros_venta,300.0,70,manual,Claude 20260815 · Neurobion DC 100/100/25mg C/1 inyectable. Precio base estimado $300 (rango $274-$312 según fuente). SKU FC-82176351 no encontrado en catálogos; posible discrepancia de SKU interno.
FC-84999001,473,otros_venta,260.0,75,import_csv,Farmacias San Isidro - Alka-Seltzer Boost 50 tabletas efervescentes
FC-9538F7D6,36,otros_venta,197.0,90,manual,Claude 20260815 · Fasiclor Cefaclor 250mg suspensión 75ml
FC-974EE5FD,63,otros_venta,57.0,70,manual,Claude 20260815 · Gimalxina 250mg/5ml suspensión 75ml
FC-98217659,502,otros_venta,339.0,90,manual,Claude 20260815 · Dolo-Neurobión Diclofenaco Complejo B
FC-9B93AC4C,118,otros_venta,328.57,90,manual,Claude 20260815 · Beneventol suspensión 50ml
FC-A23F290E,132,otros_venta,49.0,70,manual,Claude 20260815 · Zitriasol 100mg 15 cápsulas
FC-A455EE80,11,otros_venta,128.0,90,manual,Claude 20260815 · Cefagen suspensión 250mg
FC-CF719C07,20,otros_venta,54.0,90,manual,Claude 20260815 · Diclephen Diclofenaco 500mg
FC-D210172A,49,otros_venta,52.0,90,manual,Claude 20260815 · Ampicilina 1g ampolleta
FC-E374F23E,12,otros_venta,96.0,90,manual,Claude 20260815 · Cefagen suspensión 125mg
FC-E6112F15,42,otros_venta,176.0,90,manual,Claude 20260815 · Nalixone/Fenazopiridina
FC-E9C38DC4,125,otros_venta,65.43,75,import_csv,Vitau.mx - Ciprofloxacino genérico 500mg 14 tabletas
FC-F22C72BE,60,otros_venta,135.0,90,manual,Claude 20260815 · Clamoxin 875/125mg 10 tabletas
FC-F3E734A0,29,otros_venta,117.0,90,manual,Claude 20260815 · Fasiclor Cefaclor
FC-F48FF7EF,61,otros_venta,92.0,90,manual,Claude 20260815 · Clamoxin 250/62.5mg suspensión 60ml
FC-F82A6E4B,51,otros_venta,67.0,75,import_csv,Vitau.mx - Ampicilina genérica 1g 10 tabletas
FC-00740024,598,similares,34.0,70,import_csv,excel:articulos_farmacias.xlsx | principios activos completos; concentracion coincide; forma difiere gel≠crema | BINAFEX TERBINAFINA CLORHIDRATO 15GR 10MG/1G CREMA 15GR
FC-01015141,483,similares,84.0,70,manual,Claude 20260815 · GEL LUBRICANTE VAGINAL 113GR.. (Score: 67%)
FC-0211225,729,similares,71.0,100,import_csv,excel:articulos_farmacias.xlsx | misma marca comercial; cantidad coincide; forma coincide | DIBENEL SIMI DIAB PLUS 30CAP 30 CAPSULAS
FC-04D83B46,150,similares,74.0,90,manual,Claude 20260815 · ESCITALOPRAM 10MG 14TAB.. (Score: 100%)
FC-05965071,55,similares,36.0,100,manual,Restaurado backup UI 2026-08-14
FC-06209862,210,similares,49.0,70,manual,Claude 20260815 · TALCO DESODORANTE 200GR.. (Score: 65%)
FC-06213906,169,similares,69.01,70,manual,Claude 20260815 · DESODORANTE AER CAB 150ML OLD SPICE.. (Score: 65%)
FC-06244795,174,similares,49.0,70,manual,Claude 20260815 · TALCO DESODORANTE 200GR.. (Score: 65%)
FC-06245686,179,similares,49.0,70,manual,Claude 20260815 · TALCO DESODORANTE 200GR.. (Score: 65%)
FC-07F04F88,122,similares,79.0,70,manual,Claude 20260815 · CEFTRIAXONA 1GR 1AMP.. (Score: 71%)
FC-08344716,721,similares,107.0,100,import_csv,excel:articulos_farmacias.xlsx | misma marca comercial; cantidad coincide; forma coincide | LA FEMME CIMICIFUGA/VIT/ISOFLAV 30CAPGEL 30 CAPSULAS GELATINA BLANDA
FC-08427330,445,similares,34.0,100,import_csv,excel:articulos_farmacias.xlsx | marca parecida (88.88888888888889); principios activos completos; concentracion coincide; forma coincide | BEPHANTEN DEXPANTENOL 5/100GR POMADA 30GR TATUAJES 5/100GR POMADA 30GR
FC-08485316,458,similares,132.0,70,manual,Claude 20260815 · SALES DE POTASIO 50TAB  EFERVESCENTES.. (Score: 68%)
FC-08496701,484,similares,48.5,100,manual,Restaurado backup UI 2026-08-14
FC-08498798,474,similares,25.5,75,import_csv,"Match generico: DEXPANTENOL 5/100GR CREMA 30GR SIMIBABY (equivalente generico de Bepanthen Multiusos Pomada, misma concentracion 5% y mismo tamano 30g)"
FC-08895196,487,similares,23.0,80,import_csv,excel:articulos_farmacias.xlsx | principios activos completos; nuestro catalogo sin concentracion; cantidad coincide; forma coincide | PIRAFRIN AGRIFEN CLORFENAMINA 10TAB 500MG/25MG/5MG/4MG 10 TABLETAS
FC-0ACC5B6A,550,similares,19.0,70,manual,Claude 20260815 · OXIDO DE ZINC 25GR/100GR 30GR.. (Score: 74%)
FC-0BDE9283,112,similares,99.0,100,manual,Restaurado backup UI 2026-08-14
FC-11294615,75,similares,60.0,100,manual,Restaurado backup UI 2026-08-14
FC-14119032,188,similares,56.0,70,manual,Claude 20260815 · JABON DE AZUFRE CON LANOLINA 100GR.. (Score: 67%)
FC-17376CAE,68,similares,69.0,100,manual,Restaurado backup UI 2026-08-14
FC-1812D26D,555,similares,139.0,80,import_csv,excel:articulos_farmacias.xlsx | misma marca comercial; nuestro catalogo sin concentracion; cantidad coincide; forma coincide | HUCIUS CASTAÑO INDIAS/RUSCUS 250MG/70MG 30CAP 250MG/70MG 30 CAPSULAS
FC-1BF03D35,143,similares,17.5,90,manual,Claude 20260815 · FLUOCINOLONA CREMA 20GR.. (Score: 82%)
