sim_sku,descripcion,marca,precio,linea,jerarquia,forma,cantidad,concentraciones,ingredientes,link,fuente
2803,VALSARTAN/HIDROCLOROT 160/12.5MG 14TAB,CO-DIOVAN,199.0,CARDIOVASCULARES,MEDICAMENTOS,tableta,14,12.5mg 160mg,valsartan + hidroclorot,,excel
2804,METFOR/GLIB 1GR/5MG 40TAB,DUO ANGLUCID,94.0,DIABETES,MEDICAMENTOS,tableta,40,1000mg 5mg,metfor,,excel
281,METOCARBAMOL/PARA 400/350MG 30TAB,CARBAFEN,61.0,ANALGESICOS,MEDICAMENTOS,tableta,30,350mg 400mg,metocarbamol,,excel
2812,CIPROFIBRATO 100MG 30TAB,BLAXADASINE,299.0,CARDIOVASCULARES,MEDICAMENTOS,tableta,30,100mg,ciprofibrato,,excel
2819,PREDNISOLONA 1MG/1ML 100ML SOL,ADAREX,219.0,ANTIINFLAMATORIOS,MEDICAMENTOS,solucion,,100ml 1mg 1ml,prednisolona,,excel
2823,VALPROATO SEMIS 500MG 30TAB LR,DIWALI,269.0,SISTEMA NERVIOSO,MEDICAMENTOS,tableta,30,500mg,valproato,,excel
2824,TOBRAMICINA 3MG/ML 15ML SOL OFT,BIRCEL,56.0,OFTALMOLOGICOS,MEDICAMENTOS,solucion,,15ml 1ml 3mg,tobramicina,,excel
2825,IPRATROPIO 20MCG 200 DOSIS,ATROVENT,181.0,RESPIRATORIOS,MEDICAMENTOS,spray,,0.312mg 1000mg 20mcg,ipratropio,,excel
2826,CARISOPRODOL/MELOXI 200MG/15MG 7TAB,DORSAL,179.0,ANALGESICOS,MEDICAMENTOS,tableta,7,15mg 200mg,carisoprodol + meloxi,,excel
2827,METOCARBAMOL/INDOME 215MG/25MG 32CAP,MALIVAL COMPUESTO,141.0,ANALGESICOS,MEDICAMENTOS,capsula,32,215mg 25mg,metocarbamol + indome,,excel
2828,METFOR/GLIMEP 1000MG/4MG 16TAB,AMARYL M,249.0,DIABETES,MEDICAMENTOS,tableta,16,1000mg 4mg,metfor + glimep,,excel
2829,METFOR/GLIMEP 850MG/4MG 16TAB LP,AMARYL XM,249.0,DIABETES,MEDICAMENTOS,tableta,16,4mg 850mg,metfor + glimep,,excel
2835,JERINGA P/INSULINA 0.3ML 31X6 10PZAS,,51.01,CURACION Y MEDICION,MATERIAL DE CURACION,,10,0.3ml,,,excel
2836,VILDAGLIPTINA 50MG 28TAB NOVARTIS,GALVUS,439.0,DIABETES,MEDICAMENTOS,tableta,28,50mg,vildagliptina,,excel
2837,VALSARTAN/AMLODI 160MG/5MG 14TAB,EXFORGE,739.0,CARDIOVASCULARES,MEDICAMENTOS,tableta,14,160mg 5mg,valsartan + amlodi,,excel
2838,SIMIFOL AC FOLICO 400MCG 180TAB,ENVACAL,64.0,MATERNIDAD Y LACTANTES,MEDICAMENTOS,tableta,180,400mcg,simifol,,excel
2842,CEFTIBUTENO 400MG 5CAP,CEDAX,339.0,ANTIBIOTICOS,MEDICAMENTOS,capsula,5,400mg,ceftibuteno,,excel
2843,BENZOCAINA 200MG SOL 9.7ML,KANKA,117.0,CURACION Y MEDICION,MEDICAMENTOS,solucion,,1ml 200mg 9.7ml,benzocaina,,excel
2850,MINOXIDIL 5GR/100ML SOL 60ML,ANACASTEL,249.0,ENFERMEDADES DE LA PIEL,MEDICAMENTOS,solucion,,100ml 5000mg 60ml,minoxidil,,excel
2851,ELECTROLITO ORAL LIMA-LIM 500ML,SOLURAL,25.5,REHIDRATANTES,MEDICAMENTOS,solucion,,500ml,electrolito,,excel
2864,CILOSTAZOL 100MG 30TAB,CAUDALINE,279.0,CARDIOVASCULARES,MEDICAMENTOS,tableta,30,100mg,cilostazol,,excel
2865,GLUC/CONDR/MSM/AJO/ZINC/MAGN/VIT 420GR,MULTIMIX - FX,269.0,ANALGESICOS,SUPLEMENTOS,polvo,,420000mg,condr,,excel
2866,LUTEINA/ZEAXANTINA 30CAP,,90.0,MULTIVITAMINICOS,SUPLEMENTOS,capsula,30,,luteina + zeaxantina,,excel
2875,METFORMINA 1000MG 40TAB,AKSPRI,74.0,DIABETES,MEDICAMENTOS,tableta,40,1000mg,metformina,,excel
2876,TRITICU/FENOXI 15G/1G/100GR 10GR CREMA,ITALDERMOL,241.0,ENFERMEDADES DE LA PIEL,MEDICAMENTOS,crema,,100000mg 10000mg 1000mg 15000mg 150mg,triticu + fenoxi,,excel
2879,JERINGA DESECHABLE 10ML 3PZAS 21X32,,21.0,CURACION Y MEDICION,MATERIAL DE CURACION,,3,10ml,,,excel
2888,ETORICOXIB 90MG 28COMP,ARCOXIA,199.0,ANALGESICOS,MEDICAMENTOS,tableta,28,90mg,etoricoxib,,excel
2889,ETORICOXIB 120MG 7COMP,ANEXIA,149.0,ANALGESICOS,MEDICAMENTOS,tableta,7,120mg,etoricoxib,,excel
289,CLORFENAMINA 50MG/100ML 120ML JBE,ANTADEX H,24.0,ANTIHISTAMINICOS,MEDICAMENTOS,jarabe,,100ml 120ml 50mg,clorfenamina,,excel
2890,LOXCELL QUINF/ALBEND 100/200MG SUSP 10ML,LOXCELL,83.0,ESTOMACALES (GASTRO),MEDICAMENTOS,suspension,,100mg 10ml 200mg,loxcell + albend,,excel
2892,PIRACETAM 800MG 30TAB,NOOTROPIL,265.0,SISTEMA NERVIOSO,MEDICAMENTOS,tableta,30,800mg,piracetam,,excel
2896,SACCHAROMYCES BOULARD PVO 6SOB SIMIBABY,FLORATIL,69.0,ESTOMACALES (GASTRO),SUPLEMENTOS,polvo,6,1000mg 226mg,saccharomyces,,excel
29,AMOXICILINA/BROM 250MG SUSP 60ML,ACROLIX C,54.0,ANTIBIOTICOS,MEDICAMENTOS,polvo,,250mg 5ml 60ml 8mg,amoxicilina,,excel
2901,JABON DE AZUFRE CON LANOLINA 100GR,GRISI,56.0,CUIDADO DE LA PIEL,MEDICAMENTOS,barra,,100000mg 10000mg,azufre + lanolina,,excel
2919,MODAFINILO 200MG 7TAB,ADITRAL,199.0,SISTEMA NERVIOSO,MEDICAMENTOS,tableta,7,200mg,modafinilo,,excel
292,SALBUTAMOL 40MG/100ML JBE 120ML,AVEDOX FC,39.0,RESPIRATORIOS,MEDICAMENTOS,jarabe,,100ml 120ml 40mg,salbutamol,,excel
2920,MEDROXIPROGESTERONA/ESTRA 1AMP S/JER,ABSIT,66.0,HORMONALES,MEDICAMENTOS,solucion,1,0.5ml 25mg 5mg,medroxiprogesterona + estra,,excel
2923,CANDESARTAN/HIDRO 16/12.5MG 14TAB ASTRA,ARAMISTAN,189.0,CARDIOVASCULARES,MEDICAMENTOS,tableta,14,12.5mg 16mg,candesartan + hidro,,excel
2925,CLORZOXAZONA/KETOP 250/50MG 10TAB,REUMOPHAN,119.0,ANTIINFLAMATORIOS,MEDICAMENTOS,tableta,10,250mg 50mg,clorzoxazona + ketop,,excel
2926,ACIDO CITRICO/CIT POT SOL 150ML,UROCLASIO NF,259.0,ESPECIALIDAD,MEDICAMENTOS,solucion,,100ml 150ml 30000mg 5000mg,,,excel
293,AMOXICILINA 500MG SUSP 75ML,ABIOTYL,42.0,ANTIBIOTICOS,MEDICAMENTOS,suspension,,500mg 5ml 75ml,amoxicilina,,excel
2935,CLORURO DE SODIO 6.5MG/1ML SOL 30ML,,39.01,CURACION Y MEDICION,MATERIAL DE CURACION,solucion,,1ml 30ml 6.5mg,cloruro,,excel
2946,BISOPROLOL 5MG 30TAB,BITECRAL,110.0,CARDIOVASCULARES,MEDICAMENTOS,tableta,30,5mg,bisoprolol,,excel
2947,TESTOSTERONA 250MG/1ML SOL INY,PRIMOTESTON DEPOT,419.0,HORMONALES,MEDICAMENTOS,solucion,1,1ml 250mg,testosterona,,excel
2948,PREDNISONA 20MG 30TAB,EDNAPRON,149.0,ANTIINFLAMATORIOS,MEDICAMENTOS,tableta,30,20mg,prednisona,,excel
295,AMBROXOL 7.5MG SOL GTS 30ML,AMBROFUR,27.0,RESPIRATORIOS,MEDICAMENTOS,solucion,,100ml 30ml 7.5mg 750mg,ambroxol,,excel
2951,CONDON ALFA ULTRA SENSITIVO 3PZAS,,0,SEXUALIDAD,SALUD SEXUAL,,1,,,,excel
2960,GLUCOMETRO ACCU-CHEK ACTIVE,,749.0,CURACION Y MEDICION,MATERIAL DE CURACION,,1,,glucometro,,excel
2963,LANCETAS ACCU-CHEK SOFTCLIX 25PZAS,,86.0,CURACION Y MEDICION,MATERIAL DE CURACION,,25,,lancetas,,excel
2965,ELECTROLITO ORAL FRE-KIWI 500ML,ELECTROLIT,25.5,REHIDRATANTES,MEDICAMENTOS,solucion,,500ml,electrolito,,excel
2966,PREGABALINA 75MG 14CAP,AITYX,74.0,SISTEMA NERVIOSO,MEDICAMENTOS,capsula,14,75mg,pregabalina,,excel
2967,PREGABALINA 150MG 28CAP,ACIRYL,119.0,SISTEMA NERVIOSO,MEDICAMENTOS,capsula,28,150mg,pregabalina,,excel
2968,PANTOPRAZOL 40MG 28TAB,CIPROTON,220.0,ESTOMACALES (GASTRO),MEDICAMENTOS,tableta,28,40mg,pantoprazol,,excel
297,CISAPRIDA 10MG 30TAB,APOSADA,71.0,ESTOMACALES (GASTRO),MEDICAMENTOS,tableta,30,10mg,cisaprida,,excel
2971,CONDON ALFA TEXTURIZADO RETARD 3PZAS,,39.0,SEXUALIDAD,SALUD SEXUAL,,3,,,,excel
2974,MEMANTINA 10MG 28TAB,ACEPTER,169.0,SISTEMA NERVIOSO,MEDICAMENTOS,tableta,28,10mg,memantina,,excel
2975,SILDENAFIL 100MG 10TAB,ACTIRAAM,274.0,SEXUALIDAD,MEDICAMENTOS,tableta,10,100mg,sildenafil,,excel
2976,ATORVASTATINA 10MG 30TAB PFIZER,APOLISTINA,132.0,CARDIOVASCULARES,MEDICAMENTOS,tableta,30,10mg,atorvastatina,,excel
2977,ATORVASTATINA 20MG 30TAB PFIZER,APOLISTINA,239.0,CARDIOVASCULARES,MEDICAMENTOS,tableta,30,20mg,atorvastatina,,excel
2978,ATORVASTATINA 40MG 30TAB PFIZER,APOLISTINA,399.0,CARDIOVASCULARES,MEDICAMENTOS,tableta,30,40mg,atorvastatina,,excel
2979,ETORICOXIB 90MG 28COMP MSD,ARCOXIA,469.0,ANALGESICOS,MEDICAMENTOS,tableta,28,90mg,etoricoxib,,excel
2981,OLMESARTAN/HIDROCLOR 40MG/12.5MG 14 TAB,ALMETEC-CO,189.0,CARDIOVASCULARES,MEDICAMENTOS,tableta,14,12.5mg 40mg,olmesartan + hidroclor,,excel
2982,OLMESARTAN 40MG 14 TAB,ALMETEC,249.0,CARDIOVASCULARES,MEDICAMENTOS,tableta,14,40mg,olmesartan,,excel
2983,BOTIQUIN DEL DR SIMI CON CAJA,,182.0,CURACION Y MEDICION,MATERIAL DE CURACION,,,,botiquin,,excel
2984,TEOFILINA/AMBROX SOL 150ML,AMINOEFEDRISON NF,59.0,RESPIRATORIOS,MEDICAMENTOS,solucion,,100ml 150mg 150ml 700mg,teofilina + ambrox,,excel
2985,MACA ALFA ABUZZ 60CAP,,156.0,SEXUALIDAD,REMEDIOS HERBOLARIOS,capsula,60,573.5mg,,,excel
2998,SUBSAL BISMUTO PEPTO BISMOL PLUS 118ML,PEPTO BISMOL PLUS,76.0,ESTOMACALES (GASTRO),MEDICAMENTOS,suspension,,100ml 118ml 3500mg,subsal + bismuto,,excel
3,ACICLOVIR 4GR/100ML SUSP 120ML,CICLOFERON,79.0,ESPECIALIDAD,MEDICAMENTOS,suspension,,100ml 120ml 4000mg,aciclovir,,excel
30,AMOXICILINA/BROM 500/8MG 12CAP,ACROLIX C,36.0,ANTIBIOTICOS,MEDICAMENTOS,capsula,12,500mg 8mg,amoxicilina,,excel
3017,CARNITINA/CROMO 60CAP XGEAR,,159.0,PESO Y METABOLISMO,SUPLEMENTOS,capsula,60,249mg 30mcg,carnitina + cromo,,excel
3021,SHAMPOO LAVANDA/LECHUGA 250ML,,41.01,MATERNIDAD Y LACTANTES,MATERNIDAD,,,250ml,lavanda + lechuga,,excel
3029,ALCANFOR/MENTOL 197/197MG INHALADOR,VICK VAPORUB INHALADOR,96.0,RESPIRATORIOS,MEDICAMENTOS,,1,197mg,alcanfor + mentol,,excel
303,SULINDACO 200MG 20TAB,APOSULEC,79.0,ANALGESICOS,MEDICAMENTOS,tableta,20,200mg,sulindaco,,excel
3030,CLORURO DE SODIO 0.9% SOL INYEC 250ML,CLORUROSODICA ALPHA,22.0,CURACION Y MEDICION,MEDICAMENTOS,solucion,,100ml 250ml 900mg,cloruro,,excel
3031,AC ACETIL/BICARBO/A CITRICO 10TAB ALKA,ALKA SELTZER,39.0,ESTOMACALES (GASTRO),MEDICAMENTOS,tableta,10,1000mg 1976mg 324mg,acetil + bicarbo + citrico,,excel
3032,CLOTRIM/DEXAM 1G/0.04G CREM30GR BAYCUTEN,BAYCUTEN,289.0,ANTIMICOTICOS,MEDICAMENTOS,crema,,100000mg 1000mg 30000mg 40mg,clotrim + dexam,,excel
3043,TIRAS REACTIVAS GMATE 50 PZAS,,276.0,CURACION Y MEDICION,MATERIAL DE CURACION,,50,,tiras,,excel
3044,LANCETAS NANOLET 50 PZAS,,109.01,CURACION Y MEDICION,MATERIAL DE CURACION,,50,,lancetas,,excel
3045,GLUCOMETRO GMATE WHEEL,,449.0,CURACION Y MEDICION,MATERIAL DE CURACION,,1,,glucometro,,excel
3049,JABON LAVANDA/LECHUGA 90GR,,15.0,MATERNIDAD Y LACTANTES,MATERNIDAD,barra,,90000mg,lavanda + lechuga,,excel
3050,PIPERIDOLATO 100MG 15COMP,DACTIL OB,254.0,ESTOMACALES (GASTRO),MEDICAMENTOS,tableta,15,100mg,piperidolato,,excel
3064,BENZOCAINA 0.1/1G GEL SAB UVA SIMIBABY,CAMIDEN,71.0,MATERNIDAD Y LACTANTES,MEDICAMENTOS,gel,,1000mg 100mg,benzocaina,,excel
307,NAPROXENO 500MG 45TAB,ACTIQUIM,78.0,ANALGESICOS,MEDICAMENTOS,tableta,45,500mg,naproxeno,,excel
31,AMPICILINA 1GR 10TAB,AMPITECNO T,49.0,ANTIBIOTICOS,MEDICAMENTOS,tableta,10,1000mg,ampicilina,,excel
310,KETOROLACO 30MG/1ML 3AMP,AINELAC,44.0,ANALGESICOS,MEDICAMENTOS,solucion,3,1ml 30mg,ketorolaco,,excel
3100,CLOBETASOL 0.05/100GR CREMA 30GR,CLOBESOL,324.0,ENFERMEDADES DE LA PIEL,MEDICAMENTOS,crema,,100000mg 30000mg 50mg,clobetasol,,excel
3110,AC ACETILSALICI 500MG 12TAB EFER ASPIRIN,ASPIRINA EFERVESCENTE,48.5,ANALGESICOS,MEDICAMENTOS,tableta,12,500mg,acetilsalici,,excel
3119,AC ASCORBICO 300MG 10SOB EFER CBOOST,CBOOST,126.0,RESPIRATORIOS,SUPLEMENTOS,polvo,10,300mg,vitaminac,,excel
3121,CARAMELOS SIMI MIEL/LIM/HER 10PZAS,,24.0,RESPIRATORIOS,SUPLEMENTOS,,10,,caramelos,,excel
3123,BIMATOPROST 0.3MG/1ML 3ML SOL OFT,EXERAGOT,364.0,OFTALMOLOGICOS,MEDICAMENTOS,solucion,,0.3mg 1ml 3ml,bimatoprost,,excel
313,SALES DE POTASIO 50TAB  EFERVESCENTES,EFILAT,132.0,MULTIVITAMINICOS,MEDICAMENTOS,tableta,50,390mg,sales,,excel
3138,CANDESARTAN/HIDRO 16/12.5MG 28TAB(ASTRA),ARAMISTAN,449.0,CARDIOVASCULARES,MEDICAMENTOS,tableta,28,12.5mg 16mg,candesartan + hidro,,excel
315,KETOROLACO 10MG 10TAB,AITORNET,25.0,ANALGESICOS,MEDICAMENTOS,tableta,10,10mg,ketorolaco,,excel
3153,SAL DE UVAS PICOT 10+2 SOB POLVO EFER,SAL DE UVAS PICOT,58.0,ESTOMACALES (GASTRO),MEDICAMENTOS,polvo,2,1948.5mg 216.5mg 2485mg,,,excel
3154,ALVERINA/SIMETICONA 20CAP METEOSPASMYL,METEOSPASMYL,599.0,ESTOMACALES (GASTRO),MEDICAMENTOS,capsula,20,300mg 60mg,alverina + dimeticona,,excel
3155,DAPAGLIFLOZINA 10MG 28TAB (ASTRA),FORXIGA,799.0,DIABETES,MEDICAMENTOS,tableta,28,10mg,dapagliflozina,,excel
3158,VALPROATO DE MAGN 600MG 30TAB LP,ATEMPERATOR,249.0,SISTEMA NERVIOSO,MEDICAMENTOS,tableta,30,600mg,valproato,,excel
3175,METOCARBAMOL/IBUPRO 375/200MG 12CAP,ML-PRIM,58.0,ANALGESICOS,MEDICAMENTOS,capsula,12,200mg 375mg,metocarbamol + ibupro,,excel
3179,CIPROHEPTADINA/CIANOCOBALAMINA SOL,CIPROLISINA,154.0,MULTIVITAMINICOS,MEDICAMENTOS,solucion,,100ml 300mcg 40mg,ciproheptadina + cianocobalamina,,excel
318,FLUOCINOLONA/METRON/NISTAT 10 OVU,ACENIL,53.0,ANTIMICOTICOS,MEDICAMENTOS,ovulo,10,0.5mg 500mg,fluocinolona + metron + nistat,,excel
