sku,nombre,principio_activo,presentacion,marca,categoria,precio_fc,costo_fc
FC-80953017,Trojan,,C/3,Trojan,Producto,78.41,49.0
FC-89810021,Armstrong Herklin Ne Sham 60 Ml,,60 ML,Armstrong,Producto,127.01,79.38
FC-48623006,Protec Pads Facial Redondos C/100,,C/100,Protec,Cuidado personal,34.72,21.7
FC-4F05124E,Gelcavit-9M Capsulas,,C/30,Gelcavit-9M,Producto,86.19,66.3
FC-50003151,Opella Neomelubrina Jbe I 121.00 Neomelubrina Jbe I,,100 ML,Opella,Otro,189.73,118.58
FC-50882017,Dermodine Espuma 120 Mi,,,Dermodine,Botiquín,120.32,75.2
FC-50AC2C82,Erispan,,1 FRASCO AMPULA,Erispan,Otro,31.79,24.45
FC-51067711,Nido,,,Nido,Producto,180.33,112.7
FC-51078461,Nan 1 Pro 1,,,Nan,GENERAL,207.05,129.4
FC-51078531,Nan Nestle Bolsa Nestle Bolsa,,2 G,Nan,GENERAL,93.93,58.7
FC-516C2E89,12H Jr,AMOXICILINA/AC. CLAVULANICO,1 SUSPENSION,Clamoxin,Otro,47.83,36.79
FC-51747971,Electrolit Mora Azul,,625 ML,Electrolit,Higiene,32.81,20.5
FC-54073302,Silica Shine Sily Oleo Argan,,120 ML,Silica Shine,Higiene,71.62,44.76
FC-89F00320,Mercurio Arnica 2550123,,C/25,Mercurio,Cuidado personal,16.8,10.5
FC-92506045,Ego Firme Matte,,25 G,Ego,Higiene,27.52,17.2
FC-92509213,Nutribela Nutrice Tarro,,300 G,Nutribela,Cuidado personal,64.39,40.24
FC-926099D3,Mertiolate Kohn Rojo 012023 82912,,C/25,Mertiolate,Producto,14.4,9.0
FC-92821171,Nido Nido Nestle Bolsa Nestle,,240 G,Nido,Abarrotes,49.08,30.67
FC-93022567,Desodorante Rexona Men V8 (Hombre),,90 G,Rexona,Higiene,77.0,54.68
FC-06245686,Desodorante Axe Men Epic-F 48H,,SPRAY 150 ML,Axe,Higiene,73.33,45.83
FC-93025865,desodorante Axe Men Gold Temp,,,Axe,Higiene,73.33,45.83
FC-00701992,Nivea Manos 3En1 Ant-Arrugas,,75 ML,Nivea,Cuidado personal,51.0,36.3
FC-10974329,Listerine Zero Mta Sve,,250 ML,Listerine,Higiene,76.0,54.06
FC-19006371,Saba Inv Alas,,C/10,Saba,Higiene,15.0,10.17
FC-930E0B1B,Vandil,,1 SUSPENSION,Vandil,Otro,26.76,20.58
FC-931B4809,Mercurio Aceite Coco 800523 83064,,C/25,Mercurio,Producto,12.8,8.0
FC-9507CD66,Mercurio Haba Alcanforada 1510724,,C/50,Mercurio,Producto,104.0,65.0
FC-95201021,Hipoglos Turo,,45 G,Hipoglos,Producto,113.6,71.0
FC-974EE5FD,Gimalxina,GIMALXINA,1 SUSPENSION,,Otro,43.35,27.09
FC-98100381,Shampoo Herklin,,20 ML,Herklin,Higiene,206.09,128.8
FC-98217659,Dolo-Neurobión,Diclofenaco c/ Complejo B,20 TABLETAS,Neurobion,Analgésico,694.89,269.28
FC-9827438F,Mercurio Veneno De Abeja,,C/25,Mercurio,Cuidado personal,15.2,9.5
FC-9A1C64E7,Perilla Edigar N O Caja,,,Perilla,Producto,23.21,14.5
FC-9A37D44A,Amdoryl,,14 CAPSULAS,Amdoryl,Otro,33.95,26.11
FC-9B93AC4C,Beneventol,BENEVENTOL,1 SUSPENSION,,Otro,156.16,97.6
FC-9F67BB73,Amifarin,,1 SUSPENSION,Amifarin,Otro,35.1,27.0
FC-A23F290E,Zitriasol,ZITRIASOL,15 CAPSULAS,,Otro,55.38,34.61
FC-A680F97E,Mercurio Yodo Tomar 1800823 83156,,C/25,Mercurio,Producto,17.61,11.0
FC-A871D831,Perilla N6,,PIEZA,Edigar,Botiquín,30.38,22.5
FC-AA7B0686,Drosquim Ad 1 Ibe 300/160,,200 ML,Drosquim,Producto,91.97,70.74
FC-AA905BF7,Perludil,,1 FRASCO AMPULA,Perludil,Otro,20.95,16.11
FC-B3B8F9BB,Desrotan,,10 TABLETAS,Desrotan,Otro,61.51,47.31
FC-B4477A00,Pentibroxil,,16 CAPSULAS,Pentibroxil,Otro,39.06,30.04
FC-B8D7C997,Bicarbonato Sobres,,C/50,Bicarbonato,Botiquín,76.81,48.0
FC-BCF59548,Perilla N1,,PIEZA,Edigar,Botiquín,24.8,15.5
FC-BE0A0E46,Sumitex Intravenoso- Pu X 25 Mm C/1 Azul,,22 G,Sumitex,Botiquín,12.04,9.26
FC-CF719C07,Diclofen,DICLOFENACO,12 CAPSULAS,Diclofen,Otro,34.87,26.82
FC-43475014,Pañal Diapro Grande,,,Diapro,Otro,149,99
FC-93025919,Desodorante Axe Excite Seco (hombre),,SPRAY 152 ML,Axe,Higiene,88.0,62.83
FC-93038223,Desodorante Rexona Men Sport,,SPRAY 150 ML,Rexona,Higiene,77.0,54.68
FC-1CF27DC9,Dex,,1 FRASCO AMPULA,Dison,Otro,47.92,36.86
FC-56323059,Vaseline puro,,85 G,Vaseline,Cuidado personal,69.0,45.5
FC-28979502,Ne,,JARABE,Histiacil,Otro,161.72,124.4
FC-447B30F9,Budesonida,,5 AMPOLLETA,Budesonida,Otro,170.8,131.38
FC-47624171,Nailex Desenterrador Unas Desenterrador Unas,,12 ML,Nailex,GENERAL,87.19,54.49
FC-56323066,Vaseline FaseLine puro,,42 G,Vaseline,Cuidado personal,41,27
FC-50002301,Eomelubrina,,C/10,Eomelubrina,Otro,93.9,72.23
FC-54549819,Crema corporal piel seca,,100 ML,Nivea,Cuidado personal,42.09,26.3
FC-54558682,Crema corporal Nivea Milk,,400 ML,Nivea,Cuidado personal,121.0,85.87
FC-56131681,Evenflo,,C/90,Evenflo,Higiene,39.83,24.89
FC-56326142,Ponds S Humectante,,100 G,Ponds,Cuidado personal,84.0,59.36
FC-56330309,Clariant B3 Nml/Gsa,,100 G,Clariant,Cuidado personal,102.0,72.3
FC-56340124,Sedal Sos Ceramida,,300 ML,Sedal,Cuidado personal,71.0,50.07
FC-56342258,Sedal Recons Estructur,,135 ML,Sedal,Cuidado personal,28.44,17.77
FC-56360429,Talco desodorante pies,,200 G,Genérico,Higiene,101.0,71.8
FC-D037156B,Mercurio Bismuto Subnitrato 1390724,,C/50,Mercurio,Producto,117.6,73.5
FC-33954078,Ensure Fresa,,237 ML,Ensure,Gastro,63,42
FC-08485316,Tabcin Eferv,,50 TABLETAS · C/12,Tabcin,Otro,49.05,37.73
FC-50959781,Centrum C/30,,C/30,Centrum,Otro,213.2,164.0
FC-54521161,Tempra,,500 MG · C/10,Tempra,Otro,78.08,48.8
FC-578F060C,Mercurio Borax Polvo 140072483490,,C/50,Mercurio,Producto,84.81,53.0
FC-57925EF3,Reglusan,,50 TABLETAS,Reglusan,Otro,11.55,8.88
FC-58203691,Hilo dental expanding,,0.9 M,Gum,Higiene,30.24,18.9
FC-58611420,Nido Nido Nestle Bolsa,,,Nido,Abarrotes,85.93,53.7
FC-33956126,Glucerna Vainilla,,237 ML,Glucerna,Gastro,72,47.5
FC-58792792,Tempra,,C/12,Tempra,Producto,96.0,59.9
FC-58793249,Lubricante sensación calor,,50 ML,Sico,Cuidado personal,163.05,101.9
FC-59225411,Nido,,,Nido,Producto,118.71,74.19
FC-5A697CC2,Mercurio Aceite Olivo 1000625 83825,,C/25,Mercurio,Producto,12.8,8.0
FC-5D59ED54,Mercurio Cloruro De Magnesio Cajita,,C/10,Mercurio,Producto,54.41,34.0
FC-5D9DFA3D,Norquinol,NORQUINOL,20 TABLETAS,,Otro,78.2,48.87
FC-D11D586A,Valgab 3 Ibe /6Ml,,50 MG,Valgab,Producto,25.24,19.41
FC-D210172A,Ampicilina,AMPICILINA,1 FRASCO AMPULA,,Otro,40.77,25.48
FC-D3D28E20,Mercurio Yodo Untar 1810623 83156,,C/25,Mercurio,Producto,18.41,11.5
FC-D751525D,Animalin,,GOTAS,Animalin,Otro,29.45,22.65
FC-DE106642,Inf,,3 AMPOLLETA,Ampigrin,Otro,95.65,73.57
FC-DF39BB27,Alevarin Capsulas,,C/45,Alevarin,Producto,89.55,68.88
FC-DF8ADDAB,Erispan,,1 FRASCO AMPULA,Erispan,Otro,28.8,22.15
FC-DFF99C3F,Mercurio,,JARABE,Mercurio,Otro,9.1,7.0
FC-06209862,Desodorante Axe 48H Anarchy Fresh Love (Mujer),,SPRAY 150 ML,Axe,Higiene,65.0,45.83
FC-06226852,Axe Wom Anarchy,,SPRAY 150 ML,Axe,Higiene,65.0,45.83
FC-56371159,Jabon Dove Exfoliacion,,135 G,Dove,Otro,35,30.54
FC-14121782,Jabón proteína de arroz y concha nácar,,,Genérico,Higiene,25.0,17.78
FC-22B18244,I.M,,1 FRASCO AMPULA,Cefotaxima,Otro,40.38,31.06
FC-25652716,Escudo Azul Rey,,135 G,Escudo,Higiene,11.0,7.39
FC-28A424E5,Diziver,,20 TABLETAS,Diziver,Otro,10.6,8.15
FC-35911208,Palmolive Aquarium,,221 ML,Palmolive,Higiene,34.0,23.79
FC-43489165,Escudo Blanco Neut,,225 ML,Escudo,Higiene,36.0,25.08
FC-46657035,Lio Flor Czo-Rsa,,221 ML,Lio,Higiene,34.0,23.79
FC-61111501,Odolex Desdo,,150 G,Odolex,Higiene,25.0,17.77
FC-E535DE28,Diurmessel,,20 TABLETAS,Diurmessel,Otro,12.11,9.31
FC-F183C6E9,Penipot,,1 FRASCO AMPULA,Penipot,Otro,25.28,19.44
FC-F3E734A0,Fasiclor,CEFACLOR,1 SUSPENSION,Fasiclor,Otro,82.48,63.44
FC-F7A2CACF,Indarzona,,30 CAPSULAS,Indarzona,Otro,73.19,56.3
FC-F7DB080D,Ovisen,,28 TABLETAS,Ovisen,Otro,26.43,20.33
FC-F817BC3A,Sibicos,,1 CREMA,Sibicos,Otro,43.75,33.65
FC-F82A6E4B,Ampicilina,AMPICILINA,10 TABLETAS,,Otro,43.28,27.05
FC-F8691496,F,,16 TABLETAS,Bactiver,Otro,21.96,16.89
FC-FA3D96E6,N Calcitriol,,30 CAPSULAS,Becatrim,Otro,61.27,47.13
FC-FBD776D2,Mercurio Perlas De Eter 1630824,,C/50,Mercurio,Producto,272.0,170.0
FC-14704156,Senosiain Supos Adto C/10,,C/10,Senosiain,Otro,94.34,58.96
FC-14704163,Senosiain Supos Ine C/10,,C/10,Senosiain,Otro,102.0,63.4
FC-1BF03D35,Acetonido De Fluocinolona Cma,,,Acetonido,Producto,23.98,18.44
FC-24227339,Loxcel adulto,,C/1,Loxcel,Otro,101.4,78.0
FC-2E79C2D8,Dex,,3 AMPOLLETA,Hierro,Otro,79.73,61.33
FC-61124013,Odolex Fresh,,150 G,Odolex,Higiene,25.0,17.77
FC-614E4F82,Perilla N3,,PIEZA,Edigar,Botiquín,29.6,18.5
FC-62034164,Mercurio Espiritus Untar 1770823,,C/25,Mercurio,Producto,9.61,6.0
FC-62746612,Ajolotius,,JARABE,Ajolotius,Otro,115.96,89.2
FC-62746643,Ajolotius Menta Fucal Menta Fucal,,C/10,Ajolotius,GENERAL,31.21,19.5
FC-64EB83AA,Compl,,1 FRASCO AMPULA,Bencil/Benz,Otro,23.5,18.07
FC-FD718DF3,Mercurio Sulfatiazol 2600223,,C/25,Mercurio,Cuidado personal,18.41,11.5
FC-65054135,TUMS,Carbonato de Calcio,8 TABLETAS,TUMS,Botiquín,57,37.48
FC-68900226,Alcohol Etilico Rojo 96°,,250 ML,Dibar,Botiquín,24,15.68
FC-06247327,Afrin Spray No Drip Extra Humectante Spray Drip Extra,,,Afrin,GENERAL,175.62,109.76
FC-06257597,Rexona 1O0 G Tco Pies Efficient Orig,,,Rexona,GENERAL,55.0,40.24
FC-68901131,Alcohol Etilico Azul 71.6,,1 L,Dibar,Botiquín,62.0,41.0
FC-25116810,Agrifen Ab Pis,,TABLETAS,Agrifen,Otro,25.35,19.5
FC-35246309,Vick Drops Tengibre Pastillas Drops Tengibre,,C/20,Vick,Botiquín,60.05,37.53
FC-47640531,Recuperador una uña amarilla,,15 ML,Pisa,Cuidado personal,88.96,55.6
FC-68901117,Alcohol Etilico Azul 71.6,,250 ML,Dibar,Botiquín,17.0,11.3
FC-60403681,Desenfriol,,C/30,Desenfriol,Otro,100.81,63.0
FC-68901124,Alcohol Etilico Azul 71.6,,500 ML,Dibar,Botiquín,180.0,120.0
FC-68900264,Alcohol Etilico Rojo 96°,,125 ML,Dibar,Botiquín,14.0,8.1
FC-68910034,Dibar Gr Algodon Algodon,,60 G,Dibar,Producto,16.16,10.1
FC-68910041,Algodón 5 g C/12,,5 G,Dibar,Botiquín,10.0,6.9
FC-06249776,Sedal Ceramidas Inf-Act,,180 ML,Sedal,Higiene,24.0,16.88
FC-06249783,Sedal Rizos Def Inf-Act,,180 ML,Sedal,Higiene,27.0,19.11
FC-07457826,Pantene Brillo Extremo,,40 ML,Pantene,Higiene,121.12,75.7
FC-35155922,Pantene Bambu,,400 ML,Pantene,Higiene,71.0,50.07
FC-46073156,Caprice Nat Mzna,,380 ML,Caprice,Higiene,42.0,29.31
FC-56330378,Ponds Bio-Hydra Dual,,200 ML,Ponds,Cuidado personal,125.0,88.8
FC-56340025,Sedal Sos Recon-Estru,,300 ML,Sedal,Cuidado personal,71.0,50.07
FC-56340131,Sedal Rizos Obedie,,300 ML,Sedal,Cuidado personal,71.0,50.07
FC-07F04F88,I.M,,1 FRASCO AMPULA,Amcef,Otro,25.26,19.43
FC-0BDE9283,Clophiven 200 Dosis 50 Mcg,,15 G,Clophiven,Producto,73.47,56.51
FC-2001A890,Ad,,3 AMPOLLETA,Ampigrin,Otro,106.23,81.71
FC-44B6751A,Aquito 500/100/30/4 Mg,,3 AMPOLLETA,Laur,Otro,77.52,59.63
FC-4FD413D2,Haspen,,3 AMPOLLETA,Haspen,Otro,30.59,23.53
FC-75064938,Ego Force 24H R-On Dic26,,45 ML,Ego,Higiene,17.0,11.95
FC-75125811,Evenflo Colors,,,Evenflo,Bebés,21.44,13.4
FC-75163051,Evenflo Ensueno Azul,,,Evenflo,Bebés,25.28,15.8
FC-759A5EF9,Wermy,,30 CAPSULAS,Wermy,Otro,32.36,24.89
FC-76000277,Vitacilina Cre Humectante Humectante,,100 G,Vitacilina,GENERAL,374.0,277.0
FC-76000260,Crema Vitacilina amarilla aclaradora,,100 G,Vitacilina,Cuidado personal,120.0,80.0
FC-79071241,Bisolvon,,120 ML,Bisolvon,Otro,236.64,147.9
FC-76000253,Crema Vitacilina roja antiarrugas,,100 G,Vitacilina,Cuidado personal,120.0,80.0
FC-127F5753,Mercurio Arnica Tomar 1780823 83156,,C/25,Mercurio,Producto,12.0,7.5
FC-25E452B6,Mercurio Arnica Untar 1790823 83156,,C/25,Mercurio,Producto,12.0,7.5
FC-3E863E37,Tratidri,,1 GEL,Tratidri,Otro,61.72,47.47
FC-69387811,Mercurio Aceite Gomenolado 1160623,,C/25,Mercurio,Producto,12.8,8.0
FC-82176351,Neurobion Sot.O- Dc Ete Jga Sot.O- Prell Health9.20,,C/1,Neurobion,Otro,438.0,273.42
FC-82740011,Nuvel Humec,,125 ML,Nuvel,Cuidado personal,20.0,14.08
FC-83351381,Agua oxigenada,,100 ML,Dermocleen,Botiquín,12.23,7.64
FC-83351691,Degasa Agua Oxigenada,,230 ML,Degasa,Botiquín,16.31,10.19
FC-83510531,Protec Antibacterial 22.40 Antibacterial,,250 ML,Protec,Cuidado personal,197.73,123.58
FC-84095411,Saridon,,120 TABLETAS,Saridon,Otro,84.18,64.75
FC-84335531,Aspirina Forte C/24 Caf Iaspirina,,C/24,Aspirina,Otro,93.33,71.79
FC-84431050,Jaloma,,60 ML,Jaloma,Cuidado personal,17.0,11.53
FC-84437151,Jaloma,,120 ML,Jaloma,Cuidado personal,28.0,19.77
FC-84999001,Alka-Seltzer,,C/50,Alka-Seltzer,Otro,278.41,174.0
FC-85097661,Chinoin Jr. Jbe Ine 60 Mant Jr. Jbe Mant,,,Chinoin,GENERAL,204.64,127.9
FC-85103015,Huggies Super Toallitas Humedas,,4 PZA,Huggies,GENERAL,18.0,13.32
FC-01303454,Pantene Ctrcaida A/Pv,,400 ML,Pantene,Higiene,106.0,75.7
FC-06234062,Sedal Anti Nudos,,300 ML,Sedal,Cuidado personal,71.0,50.07
FC-07457796,Pantene Brillo Extremo,,,Pantene,Higiene,121.12,75.7
FC-24511629,Silica Shine uva,,120 ML,Silica Shine,Higiene,63.0,44.76
FC-35020008,Herbal Essences Limp Renoy,,375 ML,Herbal Essences,Higiene,104.0,73.76
FC-35020077,Herbal Essences Alivio Instant,,,Herbal Essences,Higiene,35.0,24.91
FC-35155847,Pantene Bambu Ctrl Caida,,400 ML,Pantene,Higiene,106.0,75.7
FC-35168991,Hask Anti Comezon,,375 ML,Hask,Higiene,94.0,67.0
FC-40CE757D,Cefalver,,12 TABLETAS,Cefalver,Otro,81.23,62.48
FC-85592111,Scabisan,,,Scabisan,Producto,311.36,194.6
FC-86167151,Nestum Probioticos Avena 270 Probioticos,,,Nestum,Abarrotes,83.89,52.43
FC-86708021,Protec Sigital Termometro 42.10 Sigital Termometro,,,Protec,Producto,66.02,41.26
FC-87154871,Graneodin,,C/16,Graneodin,Otro,172.12,132.4
FC-87932321,Microdacyn Lubricante Ico Cereza 50 Ml 1 Ico Cereza 50,,50 ML,Microdacyn,Higiene,163.05,101.9
FC-88508929,Anara,,C/20,Anara,Otro,211.38,162.6
FC-88923551,Cilocid Iv,,C/20,Cilocid,Otro,9.43,7.25
FC-88947797,Tribedoce,,C/30,Tribedoce,Otro,23.4,18.0
FC-89794961,Ne,,JARABE,Histiacil,Otro,163.54,125.8
FC-86901100,Alcohol Etilico Azul 71.6,,125 ML,Dibar,Botiquín,13.0,7.4
FC-95451096,Sal de uvas,,C/10,Sal de Uvas,Otro,51.17,37.9
FC-95467264,Sal de Uvas Ixh C/50,,C/50,Sal de Uvas,Producto,261.61,163.5
FC-1321B34F,Hidroxon,,30 TABLETAS,Hidroxon,Otro,44.98,34.6
FC-DA34D88D,Erbitrax,,C/7,Erbitrax,Otro,7.21,5.54
FC-DB3B2584,Celesbitan,,1 FRASCO AMPULA,Celesbitan,Otro,21.99,16.91
FC-DB4A39AE,Efe,,12 COMPRIMIDOS,Calcio,Otro,50.8,39.07
FC-DDFBABDF,12H Ped,AMOXICILINA/AC. CLAVULANICO,1 SUSPENSION,Clamoxin,Otro,33.73,25.94
FC-06247468,Ego Fresh C-Cas Fij-Alt,,200 ML,Ego,Cuidado personal,25.0,17.54
FC-22150221,Ricitos de Oro Neutro,,90 G,Ricitos de Oro,Higiene,30.0,20.8
FC-26462061,Ternura Ortodontic Miel C3,,,Ternura,Bebés,29.0,22.3
FC-35908130,Mennen Azul,,200 G,Mennen,Higiene,54.0,38.18
FC-35908147,Mennen Rosa,,200 G,Mennen,Higiene,97.0,69.19
FC-36040450,Grisi Conchnac P/Manos,,80 ML,Grisi,Cuidado personal,62.0,43.63
FC-40171550,Sensodyne rápido alivio,,100 G,Sensodyne,Higiene,150.0,106.44
FC-42326414,Garnier De Rosas,,400 ML,Garnier,Cuidado personal,152.0,108.24
FC-43489004,Escudo Rosa Prot Y Cuid,,110 G,Escudo,Higiene,7.0,4.48
FC-45307181,Arnica Bde Parche,,,Arnica,GENERAL,101.0,74.68
FC-48640751,Venda de yeso 5 cm x 2.75 m C/12,,1 PZA,Protec,Botiquín,22.0,14.53
FC-48690909,Tensolastic Plus venda elástica 7 cm x 5 m,,7 CM x 5 M,Protec,Botiquín,32.0,21.14
FC-54500216,Nivea Sdatarr Giga,,400 ML,Nivea,Cuidado personal,207.0,147.15
FC-08837311,Nivea Pearlb Mspy,,150 ML,Nivea,Higiene,46.0,32.37
FC-43427754,Kotex Flex Nocturna,,C/5,Kotex,Higiene,7.0,5.0
FC-20500171,Pert Oliv+Ac Agu P/Pein,,100 ML,Pert,Cuidado personal,11.0,7.4
FC-34062421,Tela adhesiva,,1.25 CM x 1 M,Quirmex,Botiquín,44.0,27.0
FC-45720550,Quitaesmalte mora azul,,100 ML,Silkhair,Higiene,25.0,17.2
FC-46073033,Caprice Sp Acti Ceramida,,200 ML,Caprice,Higiene,21.0,14.73
FC-46073040,Caprice Sp Biotina Fza,,200 ML,Caprice,Higiene,21.0,14.73
FC-46650708,Mennen Lavan-Extrac Aven,,200 ML,Mennen,Higiene,37.0,26.3
FC-46655055,Caprice Volum-Cirl,,200 G,Caprice,Higiene,71.0,50.51
FC-48640799,Venda de yeso 15 cm x 2.75 m C/12,,1 PZA,Protec,Botiquín,38.0,24.84
FC-75001865,Lio 115M,,,Lio,Higiene,66.0,46.64
FC-86472048,Alcanforada Mayo Somed,,,Alcanforada,Higiene,19.0,13.5
FC-174824A0,Vernisen,,6 TABLETAS,Vernisen,Otro,16.1,12.38
FC-34063651,Quirmex,,,Quirmex,Botiquín,19.0,11.7
FC-41500096,Tiraleche de cristal,,1 PZA,Genérico,Botiquín,48.0,31.77
FC-45720567,Quitaesmalte coco,,100 ML,Silkhair,Higiene,25.0,17.2
FC-46655079,Palmolive N-Bal Corp Baby0%,,90 G,Palmolive,Higiene,11.0,7.49
FC-48640775,Venda de yeso 10 cm x 2.75 m C/12,,1 PZA,Protec,Botiquín,28.0,18.05
FC-82790016,Nuvel Pura Para Bebe200 G,,,Nuvel,Higiene,29.0,20.65
FC-92504539,Ego Mod Met,,25 G,Ego,Higiene,27.0,19.28
FC-B25B4654,Cina,,7 TABLETAS,Cina,Otro,37.54,28.87
FC-F967863B,Terficho,,40 CAPSULAS,Terficho,Otro,59.87,46.05
FC-00942760,Gel facial hidratante hialurónico,,200 ML,Nivea,Cuidado personal,148.0,105.35
FC-05965071,Acroxil-C,,12 CAPSULAS,Acroxil-C,Otro,31.27,24.05
FC-17360604,Kotex Ant Flujo Abundante S/A 10Pz,,,Kotex,Higiene,16.64,10.4
FC-76040610,Desenfriolito,,2 PACK · C/24,BAYER,Otro,122.0,91.92
FC-20500201,Pert Plus Ac-Oliva,,400 ML,Pert,Higiene,34.0,23.99
FC-2EDC6E3B,Cefagen,CEFALEXINA,10 TABLETAS,Cefagen,Otro,106.72,82.09
FC-31976394,Listerine Anticari-Al,,250 ML,Listerine,Higiene,89.0,63.53
FC-34067301,Quirmex,,5 CM,Quirmex,Botiquín,10.0,6.8
FC-35231237,Hask Anti Comezon,,375 ML,Hask,Higiene,104.0,73.76
FC-51444145,Old Spice,,,Old Spice,Higiene,388.0,277.0
FC-54503095,Nivea Sda Tarro,,100 ML,Nivea,Cuidado personal,86.0,60.75
FC-A455EE80,Cefagen,CEFALEXINA,1 SUSPENSION,Cefagen,Otro,96.96,74.58
FC-B18E386A,Cefaroxil,,15 TABLETAS,Cefaroxil,Otro,57.78,44.44
