sim_sku,descripcion,marca,precio,linea,jerarquia,forma,cantidad,concentraciones,ingredientes,link,fuente
512,PARACETAMOL / BUTILHIOSCINA 500/10 MG 20 TABLETAS,,71.0,Analgésicos,Analgesia,tableta,20,10mg,paracetamol + butilhioscina,https://www.farmaciasdesimilares.com/paracetamol_butil_20tab/p,vtex
508,NAPROXENO/CARISOPRODOL 250MG/200MG 30CAPSULAS,,89.0,Antiinflamatorio,Medicamentos,,30,200mg 250mg,naproxeno + carisoprodol,https://www.farmaciasdesimilares.com/naproxeno_carisoprodol_250mg_200mg_30cap/p,vtex
440,LANSOPRAZOL 30 MG 14 CAPSULAS,,86.0,Funcionamiento gastrointestinal,Medicamentos,capsula,14,30mg,lansoprazol,https://www.farmaciasdesimilares.com/lansoprazol_30mg_14cap/p,vtex
427,KETOPROFENO 100 MG 15 CAPSULAS,,39.0,Antiinflamatorio,Medicamentos,capsula,15,100mg,ketoprofeno,https://www.farmaciasdesimilares.com/ketoprofeno_100mg_15cap/p,vtex
426,CLARITROMICINA 500 MG 10 TABLETAS,,133.0,Antibiótico,Medicamentos,tableta,10,500mg,claritromicina,https://www.farmaciasdesimilares.com/claritromicina_500mg_10tab/p,vtex
417,AMOXICILINA / ACIDO CLAVULANICO 250MG 60ML SUSPENSION 1 PIEZA,,64.0,Antibiótico,Medicamentos,suspension,1,250mg 60ml,amoxicilina,https://www.farmaciasdesimilares.com/amoxicilina_ac_cla_250mg_60ml/p,vtex
408,ACIDO MEFENAMICO 500 MG 20 TABLETAS,,34.0,Analgésicos,Medicamentos,tableta,20,500mg,,https://www.farmaciasdesimilares.com/ac_mefenamico_500mg_20tab/p,vtex
406,DOMPERIDONA 10 MG 30 TABLETAS,,143.0,Funcionamiento gastrointestinal,Medicamentos,tableta,30,10mg,domperidona,https://www.farmaciasdesimilares.com/domperidona_10mg_30tab/p,vtex
397,IBUPROFENO 200 MG 10 CAPSULAS GEL,,20.0,Analgésicos,Analgesia,capsula,10,200mg,ibuprofeno,https://www.farmaciasdesimilares.com/ibuprofeno_200mg_10cap_gel/p,vtex
394,DEXTROMETORFANO / GUAIFENESINA  .2/2 GR ADULTO SOLUCION 120 ML 1 PIEZA,,38.0,Gripa y tos,Aparato respiratorio,solucion,1,120ml 2000mg,dextrometorfano + guaifenesina,https://www.farmaciasdesimilares.com/dextrometorfano_guai_ad_120ml/p,vtex
