sku,ticket,linea,nombre_original,nombre_nuevo,marca,presentacion,principio_activo,concentracion,forma_farmaceutica
FC-405A75E3,440393,57,ACIDO URSODESOXICOLICO 50 CAP 250 MG,Acido Ursodesoxicolico,,50 CAPSULAS,ACIDO URSODESOXICOLICO,250 MG,CAPSULAS
FC-D06E54FE,440393,58,VALCLAN 10 TAB 875/125 MG,Valclan,,10 TABLETAS,VALCLAN,875/125 MG,TABLETAS
FC-3A4583F3,440393,59,"PENIPOT 1 FA 400,000 UI",Penipot,,1 FRASCO AMPULA,PENIPOT,"400,000 UI",FRASCO AMPULA
FC-F22C72BE,440393,60,CLAMOXIN 12H 10 TAB 875/125 MG,Clamoxin 12H,,10 TABLETAS,CLAMOXIN 12H,875/125 MG,TABLETAS
FC-F48FF7EF,440393,61,CLAMOXIN 1 SUSP 250/62.5MG/5/60 ML,Clamoxin,,1 SUSPENSION,CLAMOXIN,250/62.5MG/5/60,SUSPENSION
FC-4BD80686,440393,62,BENEVENTOL 3 CAPS 400 MG,Beneventol,,3 CAPSULAS,BENEVENTOL,400 MG,CAPSULAS
FC-974EE5FD,440393,63,GIMALXINA 1 SUSP 250MG/5/75 ML,Gimalxina,,1 SUSPENSION,GIMALXINA,250MG/5/75,SUSPENSION
FC-0E0A9E42,440393,64,CLAMOXIN S 1 SUSP 600/42.9MG/50 ML,Clamoxin S,,1 SUSPENSION,CLAMOXIN S,600/42.9MG/50,SUSPENSION
FC-6519183A,440393,65,CLAMOXIN 1 SUSP 125/31.25MG/5/60 ML,Clamoxin,,1 SUSPENSION,CLAMOXIN,125/31.25MG/5/60,SUSPENSION
FC-DDFBABDF,440393,66,CLAMOXIN 12H PED 1 SUSP 200/28.5MG/40 ML,Clamoxin 12H Ped,,1 SUSPENSION,CLAMOXIN 12H PED,200/28.5MG/40,SUSPENSION
FC-C9F4ACCC,440393,67,ACEMETACINA 14 CAPS 90 MG,Acemetacina,,14 CAPSULAS,ACEMETACINA,90 MG,CAPSULAS
FC-17376CAE,440393,68,ASPITAK-P 30 COMP 100 MG,Aspitak-P,,30 COMPRIMIDOS,ASPITAK-P,100 MG,COMPRIMIDOS
FC-369D1689,440393,69,BENEVENTOL 6 CAPS 400 MG,Beneventol,,6 CAPSULAS,BENEVENTOL,400 MG,CAPSULAS
