sku,ticket,linea,nombre_original,nombre_nuevo,marca,presentacion,principio_activo,concentracion,forma_farmaceutica
FC-39E059E2,FMX-080826,37,FC 01/04/2028,Fc 01/04/2028,,,,,
FC-DF39BB27,FMX-080826,38,ALEVARIN CAPSULAS C/45,Alevarin Capsulas,,C/45,,,
FC-79C61297,FMX-080826,39,FC 01/09/2027,Fc 01/09/2027,,,,,
FC-EC93AE62,FMX-080826,40,FC 01/06/2028,Fc 01/06/2028,,,,,
FC-223B5D76,FMX-080826,41,FC 01/05/2028,Fc 01/05/2028,,,,,
FC-86606791,FMX-080826,42,FC 01/09/2027,Fc 01/09/2027,,,,,
FC-2E7C6CD6,FMX-080826,44,FC 01/03/2028,Fc 01/03/2028,,,,,
FC-D3FB53E9,FMX-080826,45,FC 01/03/2028,Fc 01/03/2028,,,,,
FC-E3C83D59,FMX-080826,46,FC 01/06/2028,Fc 01/06/2028,,,,,
FC-99F357DC,FMX-080826,47,FC 01/05/2028,Fc 01/05/2028,,,,,
FC-23CE9602,FMX-080826,48,FC 01/06/2028,Fc 01/06/2028,,,,,
FC-CAABC42B,FMX-080826,49,FC 01/01/2028,Fc 01/01/2028,,,,,
FC-E94C79BA,FMX-080826,50,FC 01/06/2028,Fc 01/06/2028,,,,,
FC-D75138BB,FMX-080826,51,FC 01/10/2028,Fc 01/10/2028,,,,,
FC-6E084251,FMX-080826,52,FC 01/11/2027,Fc 01/11/2027,,,,,
FC-30F56906,FMX-080826,53,FC 01/11/2028,Fc 01/11/2028,,,,,
FC-046D8251,FMX-080826,54,FC 01/05/2028,Fc 01/05/2028,,,,,
FC-D69881BF,FMX-080826,55,FC 01/03/2028,Fc 01/03/2028,,,,,
FC-C3B611F3,FMX-080826,56,FC 01/03/2028,Fc 01/03/2028,,,,,
FC-98518364,FMX-080826,57,FC 01/04/2030,Fc 01/04/2030,,,,,
FC-F89008C6,FMX-080826,58,FC 01/04/2030,Fc 01/04/2030,,,,,
FC-355851E7,FMX-080826,59,FC 01/05/2030,Fc 01/05/2030,,,,,
FC-C8B741F6,FMX-080826,60,FC 01711/2030,Fc 01711/2030,,,,,
FC-3B0C76C8,FMX-080826,61,FC 01/11/2030,Fc 01/11/2030,,,,,
FC-BE0A0E46,FMX-080826,62,CATETER/INTRAVENOSO-SUMITEX PU 22 G X 25 MM C/1 AZUL,Cateter/Intravenoso-Sumitex Pu 22 G X 25 Mm Azul,,C/1,,,
FC-ED3B0AD4,FMX-080826,63,FC 01/05/2028,Fc 01/05/2028,,,,,
FC-83941A95,FMX-080826,64,FC 01/06/2030,Fc 01/06/2030,,,,,
FC-E9FA700D,FMX-080826,65,FC 01/01/2031,Fc 01/01/2031,,,,,
FC-BE977010,FMX-080826,66,FC 01/06/2030,Fc 01/06/2030,,,,,
FC-35A0F20F,FMX-080826,67,FC 01/02/2028,Fc 01/02/2028,,,,,
FC-AE88EDDC,FMX-080826,68,FC 01/12/2027,Fc 01/12/2027,,,,,
FC-EE6593B4,FMX-080826,69,FC 13/12/2030,Fc 13/12/2030,,,,,
FC-93322783,FMX-080826,70,FC 01/04/2030,Fc 01/04/2030,,,,,
FC-20C90A6D,FMX-080826,71,FC 01/12/2030,Fc 01/12/2030,,,,,
FC-7607DDA7,FMX-080826,72,FC 01/03/2030,Fc 01/03/2030,,,,,
FC-8C9A304D,FMX-080826,73,FC 06/06/2030,Fc 06/06/2030,,,,,
FC-BA60704A,FMX-080826,74,FC 15/04/2030,Fc 15/04/2030,,,,,
FC-8EF34E83,FMX-080826,75,FC 01/11/2029,Fc 01/11/2029,,,,,
FC-76040610,FL-080826,1,Desenfriolito Tab C/24 2 Pack Bayer Otc $ 93.80 Desenfriolito Tab C/24 2 Pack,ito Tab 2 Pack Bayer ito Tab 2 Pack,Desenfriol,C/24,,,
FC-60101231,FL-080826,2,"Noche Tab C/12 Descto: 6.0K Tempra , Xt Noche Tab C/12 Tempra","Noche Tab K , Xt Noche Tab",Tempra,C/12,,,
FC-87154871,FL-080826,3,Graneodin E Naranja Tab C/16 Rb Health 135.10 Graneodin E Naranja Tab C/16,E Naranja Tab Rb Health 135.10 E Naranja Tab,Graneodin,C/16,,,
FC-60101521,FL-080826,4,Lubricante Soft Lub Pleasüre 56.7 Gr Health 1 $ 100.80 Soft Lub Pleasüre Er 222503430721 Vitacilina 28 | Ksk,Soft Lub Pleasüre 56.7 Health 1 Soft Lub Pleasüre Er 28 Ksk,Vitacilina,,,,
FC-06134531,FL-080826,5,Dtc (Rojo) 20 Descto: 2.0% Afrin Spray (Rojo) Afrin Spray Ml | Bayer,(Rojo) 20 Spray (Rojo) Spray Bayer,Afrin,,,,
FC-08427330,FL-080826,6,Pomada 100 Gr Descto: 2.0% Bepanthen Pomada Bepanthen,100 Pomada,Bepanthen,,,,
FC-58792792,FL-080826,7,Tempra 24 Hrs Cab C/12 Rb Health $ Tempra 24 Hrs Cab C/12 1354312225027] Derman Crema 50,24 Hrs Cab $,Rb Health,C/12,,,
FC-50002301,FL-080826,8,Eomelubrina Tab C/10 | Opella $ 73.70 Descto: 2.0% $ 72.23 Eomelubrina Tab C/10 | Opella,Tab Opella,Eomelubrina,C/10,,,
FC-28979502,FL-080826,9,Histiacil Ne Jar Adto 150 Mi | Opella $ 124.40 $ 124.40 Descto: 2.0% $ 121.91 $ 121.91 Jar Adto 150 Mi | Opella,Histiacil Ne Jar Adto 150 Mi Jar Adto 150 Mi,Opella,,,,
FC-89794961,FL-080826,10,Histiacil Ne Jar Ine 150 Ml | Opella 1 $ 125.80 $ 125.80 Descto: 2.0% G 123.28 Jar Ine 150 Ml | Opella G 123.28,Histiacil Ne Jar Ine 150 123.28 Jar Ine 150 G 123.28,Opella,1 G,,,
FC-79071241,FL-080826,11,Bisolvon Jbe Ine 120 Ml | Lăb Hormona $ 147.90 Descto: 2.0% $ 144.94 $ 147.90 Ine 120 Ml | Lăb Hormona,Jbe Ine 120 Lăb Hormona Ine 120 Lăb Hormona,Bisolvon,,,,
FC-47624171,FL-080826,12,Nailex Desenterrador Unas 12 Ml Nailex Desenterrador Unas,Nailex Desenterrador Unas 12 Nailex Desenterrador Unas,,,,,
FC-80950139,FL-080826,13,"""Lasico Enz C/. Dwightnd Descto: 15.0% ""Lasico Dwightnd Cond Tro Jan","""Lasico Enz C/. Dwightnd ""Lasico Dwightnd Cond Tro Jan",,,,,
FC-88947797,FL-080826,14,Tribedoce Tab /30 Nvo Bruluart 5 $ 18.00 Tribedoce Tab /30 Nvo Bruluart,Tribedoce Tab /30 Nvo Bruluart 5 Tribedoce Tab /30 Nvo Bruluart,,,,,
FC-50959781,FL-080826,15,Performance Tab Descto: 2.0% Centrum C/30 Pg Pere Performance Tab Centrum C/30,Performance Tab Centrum Performance Tab Centrum,,C/30,,,
FC-80953017,FL-080826,16,È Tre & Ice C/3 Dwightnd Descto: 15.0% Cond Trojan È Tre & Ice C/3 Dwightnd,È Tre & Ice Dwightnd Cond Trojan È Tre & Ice Dwightnd,,C/3,,,
FC-54521161,FL-080826,17,Tempra 500 Mg Lab C/10 Rb Health $ 48.80 Descto: 6.0% Tempra 500 Mg {8 022503405381 Vitacilina Ung I Ksk,500 Mg Rb Health Tempra 500 Mg {8 Ung I Ksk,Vitacilina,C/10,,,
FC-95201021,FL-080826,18,Hipoglos Pac Turo 45 Gr | Andromaco 1 $ 71.00 Descto: 2.0% $ 69.58 Turo 45 Gr | Andromaco,Hipoglos Pac Turo 45 Andromaco 1 Turo 45 Andromaco,,,,,
FC-08485316,FL-080826,19,Tabcin Eferv Tab C/12 | Bayer Ot C Descto: 2.0% 38.50 $ 37.73 Tab C/12 | Bayer Ot C,Tabcin Eferv Tab Ot C 38.50 Tab Ot C,Bayer,C/12,,,
FC-65095947,FL-080826,20,Centrum Silver Tab C/30 Pg Pere 1 Centrum Silver Tab C/30 Pere,Centrum Silver Tab 1 Centrum Silver Tab,,C/30,,,
FC-95451096,FL-080826,21,/10 | Rb Healte Sal De Uvas $ 37.90 Descto: 2.0% $ 37.14 /10 | Rb Healte Sal De Uvas Fazolin E Gotas,/10 Healte Sal De Uvas /10 Healte Sal De Uvas Fazolin E Gotas,Rb,,,,
FC-79400556,FL-080826,22,Sanfer Descto: 8.04 Syncol Tab $ 107.40 $ 107.40 8 98.81 Sanfer Syncol Tab 871210734092301 Syncol Max Tab,Sanfer Syncol Tab 8 98.81 Sanfer Syncol Tab 871210734092301 Syncol Max Tab,,,,,
FC-58793249,FL-080826,23,Lubricante Sico Sens Calor 50 Ml | Rb Health 1 $ 101.90 Lubricante Sico Sens Calor 50 Ml | Rb,Sico Sens Calor 50 1 Lubricante Sico Sens Calor 50 Rb,Rb Health,,,,
FC-95467264,FL-080826,24,Sal De Uvas Ixh C/50 | Rb Healti 1 $ 163.50 Descto: 2.0% $ 160.23 Sal De Uvas Ixh C/50 | Rb Healti,Sal De Uvas Ixh Healti 1 Sal De Uvas Ixh Healti,Rb,C/50,,,
FC-87932321,FL-080826,25,Lubricante Ico Cereza 50 Ml Rb Health 1 $ 101.90 Ico Cereza 50 Microdacyn,Ico Cereza 50 1 Ico Cereza 50 Microdacyn,Rb Health,,,,
FC-08443026,FL-080826,26,Tab C/100 Descto: 2.0% Alka-Seltzer Bayer C/100 Alka-Seltzer Ğel Rojo,Tab Alka-Seltzer Alka-Seltzer Ğel Rojo,Bayer,C/100,,,
FC-75354321,FL-080826,27,Tylenol Tab Kenvue 1 $ 50.00 Descto: 2.0% $ 49.00 $ Kenvue,Tylenol Tab Kenvue 1 $ Kenvue,,,,,
FC-08491074,FL-080826,28,Aspirina Tab 80 2 Paci Bayer Onc 1 $ 124.80 Aspirina Tab 80 2 Paci [7360852785071 Manzaniila,Aspirina Tab 80 2 Paci Onc 1 Aspirina Tab 80 2 Paci [ Manzaniila,Bayer,,,,
FC-70612368,FL-080826,29,(A) Treda Tab €/20 Sanfer 2 $ 152.00 $ 304.00 Descto: 8.0% Sanfer Brunadol Tab Desato: 2.0%,(A) Treda Tab €/20 Sanfer 2 Sanfer Brunadol Tab Desato: 2.0%,,,,,
FC-88508929,FL-080826,30,Anara Tab C/20 Chinoin 1 $ 162.60 Descto: 2.0% $ 159.35 Chinoin,Anara Tab Chinoin 1 Chinoin,,C/20,,,
FC-84335531,FL-080826,31,Forte Tab C/24 Descto: 2.0% Caf Iaspirina Forte C/24 Caf Iaspirina,Forte Tab Caf Iaspirina Forte Caf Iaspirina,,C/24,,,
FC-23001331,FL-080826,32,Sr I Lab Ting Crema 28 Hormona $ 73.60 Sr I Ting Crema 28 Hormona,Sr I Ting Crema 28 Hormona,,,,,
FC-85592111,FL-080826,33,Scabisan Crema Er I Chinoin 1 $ 194.60 Descto: 2.0% $ 190.71 Scabisan Crema Er I Chinoin,Scabisan Crema Er I Chinoin 1 Scabisan Crema Er I Chinoin,,,,,
FC-84999001,FL-080826,34,Boost Tar C/50 Descto: 2.0% Alka-Seltzer Bayer Boost Tar C/50 Alka-Seltzer,Boost Tar Alka-Seltzer Boost Tar Alka-Seltzer,Bayer,C/50,,,
FC-08498798,FL-080826,35,Bepanthen Multiusos Pomada Otc 30 Bepanthen Multiusos Pomada,Multiusos Pomada 30 Multiusos Pomada,Bepanthen,,,,
FC-08491096,FL-080826,36,Cafiaspirina Tar C/100 2 Pace Bayer Otc 221.90 Descto: 2.0% Cafiaspirina Tar C/100 2 Pace Corega Ultra,Cafiaspirina Tar 2 Pace 221.90 Cafiaspirina Tar 2 Pace Corega Ultra,Bayer,C/100,,,
FC-50003151,FL-080826,37,Iv Neomelubrina Jbe 100 Ml I Opella 121.00 Neomelubrina Jbe 100 Ml I Opella,Iv N Jbe 100 I Opella 121.00 N Jbe 100 I Opella,Eomelubrina,,,,
FC-24227339,FL-080826,38,(A) Loxcel Adto Tab C/1 | Lab Hormona 2 $ 78.00 Descto: 6.0% $ 73.32 Adto Tab C/1 | Lab Hormona 2,(A) Loxcel Adto Tab Hormona 2 Adto Tab Hormona 2,,C/1,,,
FC-98100381,FL-080826,39,Herklin Shai 20 Ml Armstroni 1 $ 128.80 Descto: 2.0% $ 126.22 $ 128.80 20 Ml Armstroni 265024 Genomma Alli-Triple,Herklin Shai 20 Armstroni 1 20 Armstroni 265024 Genomma Alli-Triple,,,,,
FC-14704156,FL-080826,40,Supos Adto C/10 Otc Descto: 7.0% Senosiain Senosiain Supos Adto C/10 Senosiain Senosiain,Supos Adto Senosiain Senosiain Supos Adto Senosiain Senosiain,,C/10,,,
FC-14704163,FL-080826,41,Supos Ine C/10 Descto: 7.0% Senosiain Supos C/10 Senosiain,Supos Ine Senosiain Supos Senosiain,,C/10,,,
FC-08344488,FL-080826,42,Lactopram 430 Mg Cap C/20 Progela 29.30 Descto: Lactopram 430 Mg Cap C/20 Progela,Lactopram 430 Mg Cap 29.30 Descto: Lactopram 430 Mg Cap,Progela,C/20,,,
FC-65095718,FL-080826,43,/ 30 | Pg Pere Descto: 2.0% Centrum Tab $ 152.20 Pg Pere Centrum Tab,/ 30 Centrum Tab Centrum Tab,,,,,
FC-08496701,FL-080826,45,Aspirina Eferv Tab C/12 Bayer Otc Aspirina Eferv C/12,Aspirina Eferv Tab Aspirina Eferv,Bayer,C/12,,,
FC-88915491,FL-080826,46,Tarmin 2 Mg /12 Tab Bruluagsa Descto: 2.05 6. Tarmin 2 Mg /12 Tab Bruluagsa,Tarmin 2 Mg / Bruluagsa 6. Tarmin 2 Mg / Bruluagsa,,12 TABLETAS,,,
FC-08344747,FL-080826,47,Descto: 2.0% Afrodit 400 Ui 46.00 $ $ 45.08 Afrodit 400 Ui,Afrodit 400 Ui 46.00 $ Afrodit 400 Ui,,,,,
FC-08895196,FL-080826,48,Ky6 Tab C/10 Bruluart 5 $ 9.50 $ 9.31 $ 47.50 Bruluart E74011 Bayer 67 Aspirina Tab,Ky6 Tab Bruluart 5 Bruluart E74011 67 Aspirina Tab,Bayer,C/10,,,
FC-89810021,FL-080826,49,Herklin Ne Sham 60 Ml | Armstrong 1 $ 81.00 Herklin Ne Sham 60 Ml | Armstrong,Herklin Ne Sham 60 Armstrong 1 Herklin Ne Sham 60 Armstrong,,,,,
FC-60101378,FL-080826,50,Lubricante Piel Con Piel 50 Mi Health 1 $ 102.50 Lubricante Piel Con Piel 50 Mi Lotrimin Uno,Piel Con Piel 50 Mi Health 1,,,,,
FC-60403681,FL-080826,51,Desenfriol D Dab C/30 | Bayer Otc $ 63.00 Descto: 2.0% Desenfriol D Dab C/30 | Bayer 5022274264491 Nesajar Cap,D Dab Bayer,Desenfriol,C/30,,,
FC-88923551,FL-080826,52,Iv Cilocid 5 Mg Tab C/20 | Bruluari 7.40 Descto: 2.0% $ 7.25 Iv Cilocid 5 Mg Tab C/20 | Bruluari Senosiain,Iv Cilocid 5 Mg Tab Bruluari 7.40,,C/20,,,
FC-25116810,FL-080826,53,Ab Pis. Descto: 2.0% Agrifen Tab 5. $ 19.50 Ab Pis. Agrifen Tab,Ab Pis. Agrifen Tab 5. Ab Pis. Agrifen Tab,,,,,
FC-35246309,FL-080826,54,Vick Drops Tengibre Pastillas C/20 Vick Drops Tengibre,Vick Drops Tengibre Pastillas Vick Drops Tengibre,,C/20,,,
FC-47640531,FL-080826,55,Ecuperador Una Lab Pisa Descto: 2.0% Aile Marilla 15 M Ecuperador Una Aile Marilla 15 M,Ecuperador Una Aile Marilla 15 M Ecuperador Una Aile Marilla 15 M,Pisa,,,,
FC-84095411,FL-080826,56,Saridon Tab 120 Bayer Oto $ 64.75 Saridon Tab,Saridon Tab 120 Oto Saridon Tab,Bayer,,,,
FC-06247327,FL-080826,58,Afrin Spray No Drip Extra Humectante Afrin Spray Drip Extra,Spray No Drip Extra Humectante Spray Drip Extra,Afrin,,,,
FC-84973401,FL-080826,59,Flanax 550 Mc Tab C/12 | Bayér Otc 203.00 Descto: 10.0% $ 182.70 Tab C/12 | Chinoin,Flanax 550 Mc Tab Bayér 203.00 Tab Chinoin,,C/12,,,
FC-08426944,FL-080826,60,Gr 5.58 Bayer Descto: 2.0% Flanax Gel 40 Otc Gr 5.58 Flanax Gel 40,5.58 Flanax Gel 40 5.58 Flanax Gel 40,Bayer,,,,
FC-82176351,FL-080826,61,Iv Sot.O-Neurobion Dc Ete Jga Sot.O-Neurobion Prell C/1 | Pg Health9.20,Iv Sot.O-Neurobion Dc Ete Jga Sot.O-Neurobion Prell Health9.20,,C/1,,,
FC-98217659,FL-080826,63,Iv Dolo-Neurobion Dc Jga Preli C/3 3 Ml | Pg Health 23.25 Descto: 17.0% Dolo-Neurobion Dc Jga Preli C/3 3 Ml | Pg Health,Iv Dolo-Neurobion Dc Jga Preli 3 Health 23.25 Dolo-Neurobion Dc Jga Preli 3 Health,,C/3,,,
FC-66888171,FL-080826,64,Crema Dent Colgate Max Clean 120 Ml Colgate Palmolive $ 25.50 Descto: 2.0% $ 24.99 Crema Dent Colgate Max Clean 120 Ml C,Crema Dent Colgate Max Clean 120 Colgate Crema Dent Colgate Max Clean 120 C,Palmolive,,,,
FC-66873531,FL-080826,65,90 Crema Dent Aot.Cate Me P Crema Dent Aot.Cate,Crema Dent Aot.Cate Me P Crema Dent Aot.Cate,,,,,
FC-86708021,FL-080826,66,Sigital Protec Desato: 2.0% Termometro Degasa 42.10 Sigital Protec Desato: 2.0% Termometro,Sigital Protec Desato: 2.0% Termometro 42.10 Sigital Protec Desato: 2.0% Termometro,Degasa,,,,
FC-03406600,FL-080826,67,Tela Adhesiva Quirmex 2.5Cmxsm | Quirmex Descto: 2.0% 29.90 29.30 $ 89.70 Quirmex 2.5Cmxsm | Quirmex,Tela Adhesiva Quirmex 2.5Cmxsm Quirmex 29.90 29.30 Quirmex 2.5Cmxsm Quirmex,,,,,
FC-03406501,FL-080826,68,Tela Adhesiva Quirmex 1.25Cmx5M | Quirmex 19.00 Descto: 2.0% $ 18.62 $ Quirmex 1.25Cmx5M | Quirmex,Tela Adhesiva Quirmex 1.25Cmx5M Quirmex 19.00 $ Quirmex 1.25Cmx5M Quirmex,,,,,
FC-34063651,FL-080826,69,Tela Adhesiva Quirmex 2.5Cmxi̇m | Quirmex 5 $ 11.70 Descto: 2.0% $ 11.47 | Tela Adhesiva Quirmex 2.5Cmxi̇m | Quirmex,Tela Adhesiva Quirmex 2.5Cmxi̇m Quirmex 5 Tela Adhesiva Quirmex 2.5Cmxi̇m Quirmex,,,,,
FC-34062421,FL-080826,70,Tela Adhesiva Quirmex 1.25Cmx1M | Quirmex 5 5.40 $ Tela Adhesiva Quirmex 1.25Cmx1M | Quirmex,Tela Adhesiva Quirmex 1.25Cmx1M Quirmex 5 5.40 $ Tela Adhesiva Quirmex 1.25Cmx1M Quirmex,,,,,
FC-60689091,FL-080826,71,Crema Deni Colgate Trip Xtra B 50 Ml 1 Colgate Paimolive 14.00 Descto: 2.04 Colgate Trip Xtra B 50 Ml,Crema Deni Trip Xtra B 50 1 Paimolive 14.00 Trip Xtra B 50,Colgate,,,,
FC-73629981,FL-080826,72,Panuelos Kleenex Pack C/8 1 Kimberly Clark $ 33.30 Descto: 2.04 Panuelos Kleenex Pack C/8 1 Kimberly Clark,Kleenex Pack 1 Clark,Kimberly,C/8,,,
FC-56131681,FL-080826,73,Panuelos Leenex C/90 | Kimberly Clark 25. $ Descto: 2.0% Leenex C/90 | Kimberly Clark Bib Evenelo,Leenex Clark 25. $ Leenex Clark Bib Evenelo,Kimberly,C/90,,,
FC-60009851,FL-080826,74,Cremi Dent Colgate Triple Acc 75 Ml Colgate Paimolive $ 19.20 Descto: 2.0K $ 18.82 Dent Colgate Triple Acc 75 Ml Colgate,Cremi Dent Triple Acc 75 Paimolive K Dent Triple Acc 75,Colgate,,,,
FC-23273451,FL-080826,75,Jeringa Sens Imedicai Insul 0.5 Ml C/100 | Jayor 1 $ 217.20 Jeringa Sens Imedicai Insul 0.5 Ml,Jeringa Sens Imedicai Insul 0.5 Jayor 1 Jeringa Sens Imedicai Insul 0.5,,C/100,,,
FC-75163051,FL-080826,76,Bib Evenelo Ensueno Azul 802 | Kimberly Clark 1 $ 15.80 Descto: 2.0K Bib Evenelo Ensueno Azul 802 | Kimberly Clark,Bib Evenelo Ensueno Azul 802 Clark 1 K Bib Evenelo Ensueno Azul 802 Clark,Kimberly,,,,
FC-27512574,FL-080826,77,Bib Evenelo Colors 8 02 | Kimberly Clark $ 15.80 Descto: 2.0% $ 15.48 $ 47.40 Colors 8 02 | Kimberly Clark,Bib Evenelo Colors 8 02 Clark Colors 8 02 Clark,Kimberly,,,,
FC-75125811,FL-080826,78,Bib Evenelo Colors 4 02 Kimberly Clark $ 13.40 Descto: 2.0* $ 13.13 40.20 Colors 4 02 Kimberly Clark Cepillo 17702010631,Bib Evenelo Colors 4 02 Clark * 40.20 Colors 4 02 Clark Cepillo,Kimberly,,,,
FC-34067851,FL-080826,79,Algodon Quirmex Quirmex Descto: 2.0% Torunda De 76 Algodon Quirmex Quirmex Torunda De,Quirmex Quirmex Torunda De 76 Algodon Quirmex Quirmex Torunda De,,,,,
FC-48623006,FL-080826,80,Pads Facial Protec Redondos C/100 | Degasa 2 $ 21.70 Pads Facial Protec Redondos C/100 | Degasa,Pads Facial Protec Redondos 2 Pads Facial Protec Redondos,Degasa,C/100,,,
FC-23272151,FL-080826,81,Jeringa Sensimedical Insul 0.3 Ml C/100 | Jayor 1 $ Jeringa Sensimedical Insul 0.3 Ml,Jeringa Sensimedical Insul 0.3 Jayor 1 $ Jeringa Sensimedical Insul 0.3,,C/100,,,
FC-68910041,FL-080826,82,Algodon Dibar 5 Gr Dibar 12 $ 6.90 Descto: 2.0% $ 6.76 $ 82.80 5 Gr Dibar,5 12 5,Dibar,,,,
FC-89100101,FL-080826,83,Algodon Dibar 200 Gr Dibak 2 $ 35.30 Descto: 2.0% $ 34.59 70.60 200 Gr Dibak,200 Dibak 2 70.60 200 Dibak,Dibar,,,,
FC-34067301,FL-080826,84,Venda Quirmex 7.5 Cm | Quirmex 12 $ 6.80 Descto: 2.0% $ 6.66 7.5 Cm | Quirmex 5 50300340R7231 Venda Quirmex Cm | Quirmex,Venda Quirmex 7.5 Cm Quirmex 12 7.5 Cm Quirmex 5 50300340R7231 Venda Quirmex Cm Quirmex,,,,,
FC-34067471,FL-080826,85,Venda Quirme) Lo Cm Quirmex 8.90 Descto: 2.0% $ 8.72 Lo Cm Quirmex,Venda Quirme) Lo Cm Quirmex 8.90 Lo Cm Quirmex,,,,,
FC-34067781,FL-080826,86,Venda Quirmex 30 Cm | Quirmex 24.20 Descto: 2.0% $ 23.72 96.80 30 Cm | Quirmex Dibar Algodon Dibar,Venda Quirmex 30 Cm Quirmex 24.20 96.80 30 Cm Quirmex Algodon,Dibar,,,,
FC-68910034,FL-080826,87,60 Gr | Dibar Descto: 2.0% Algodon Dibar $ 10.10 60 Gr | Dibar Algodon Dibar,Algodon 60 Algodon,Dibar,,,,
FC-66534951,FL-080826,88,Crema Dent Colgate Total Colgate Palmolive $ Colgate Total Colgate,Crema Dent Colgate Total Colgate $ Colgate Total Colgate,Palmolive,,,,
FC-83510531,FL-080826,89,Gel Antibacterial Protec 250 Ml Degasa 22.40 Antibacterial Protec 250 Ml Degasa,Gel Antibacterial Protec 250 22.40 Antibacterial Protec 250,Degasa,,,,
FC-68900127,FL-080826,90,Gasa Dibar 10X10 Paq 10 Cajitas/10 126.10 Dibar Gasa Dibar 10X10 Paq 10 Cajitas/10,Gasa 10X10 Paq 10 Cajitas/10 126.10 Gasa 10X10 Paq 10 Cajitas/10,Dibar,,,,
FC-68900134,FL-080826,91,Lox10 Exh C/100 Descto: 2.0% Gasa Dibar Dibar 111.10 Lox10 Exh C/100 Gasa Dibar Dibar,Lox10 Exh Gasa 111.10 Lox10 Exh Gasa,Dibar,C/100,,,
FC-50882017,FL-080826,92,Espuma 120 Mi Descto: 2.0% Dermodine Degasa Espuma 120 Mi Dermodine,Espuma 120 Mi ine Degasa Espuma 120 Mi ine,Dermod,,,,
FC-08820243,FL-080826,93,0 Dermod Ine M 1 Degasa 37.60 Dermod Ine Degasa,Ine M 1 Degasa 37.60 Ine Degasa,Dermod,,,,
FC-76000277,FL-080826,94,Cre Vitacilina Humectante 100 Gr Vitacilina Humectante,Cre Humectante 100 Humectante,Vitacilina,,,,
FC-51444145,FL-080826,95,0 Stick Tripack Des Old Spice Gr Pg Pere Descto: 2.0% Stick Tripack Des Old Spice Pg Pere,Tripack,Old Spice,,,,
FC-83351691,FL-080826,96,Jermocleen Agua Oxigenada 230Ml Degasa Jermocleen Agua Oxigenada,Jermocleen Agua Oxigenada Jermocleen Agua Oxigenada,Degasa,230 ML,,,
FC-83351381,FL-080826,97,Dermocleen Agua Oxigenada 100Ml | Degasa $ Dermocleen Agua Oxigenada 100Ml,Dermocleen Agua Oxigenada $ Dermocleen Agua Oxigenada,Degasa,100 ML,,,
FC-33956775,FL-080826,98,Pedialyte Sr60 Uva 500 Mi Abbott $ 24.30 Pedialyte Sr60 Uva 500 Mi,Pedialyte Sr60 Uva 500 Mi Abbott Pedialyte Sr60 Uva 500 Mi,,,,,
FC-33961373,FL-080826,99,Fresa 500 Pedialyte Sr60 Ml Abbott $ Fresa 500 Pedialyte Sr60 Abbott,Fresa 500 Pedialyte Sr60 Abbott $ Fresa 500 Pedialyte Sr60 Abbott,,,,,
FC-48335305,FL-080826,100,Agua Oxigenada Dermocleen 480Ml | Degasa 15.00 Agua Oxigenada Dermocleen 480Ml,Agua Oxigenada Dermocleen 15.00 Agua Oxigenada Dermocleen,Degasa,480 ML,,,
FC-33954740,FL-080826,101,Manzana 500 Ml Descto: 2.0% Pedialyte Manzana 500 Ml Pedialyte,Manzana 500 Pedialyte Manzana 500 Pedialyte,,,,,
FC-59225411,FL-080826,102,Inder 360 Gf Descto: 2.0% Leche Nido Marcas Nestle Inder 360 Gf Leche Nido Marcas,Inder 360 Gf Leche Nido Inder 360 Gf Leche Nido,Nestle,,,,
FC-51067711,FL-080826,103,360 Gr | Marcas Descto: 2.0% Leche Nidal 1 Nestle $ 112.70 360 Gr | Marcas Leche Nidal 1 Nestle,1 360 Leche 1,Nestle,,,,
FC-86167151,FL-080826,104,Nestum Probioticos Marcas Nestle Avena 270 Nestum Probioticos Marcas Nestle,Probioticos Nestle Avena 270 Probioticos Nestle,Nestum,,,,
FC-92821171,FL-080826,105,Nutri Rindes Leche Nido Marcas Nestle Bolsa 240 Gr Nutri Rindes Leche Nido Marcas Nestle,Nutri Rindes Leche Nido Bolsa 240 Nutri Rindes Leche Nido,Nestle,,,,
FC-58611420,FL-080826,106,Nutri Rindes Leche Nido Marcas Nestle Bolsa Nutri Rindes Leche Nido,Nutri Rindes Leche Nido Bolsa Nutri Rindes Leche Nido,Nestle,,,,
FC-51078461,FL-080826,107,Öpt Imal Leche Nan 1 Marcas Pro Öpt Imal Leche Nan 1,Öpt Imal Leche Nan 1 Pro Öpt Imal Leche Nan 1,,,,,
FC-51078531,FL-080826,108,Öptimal Marcas Nestle Bolsa Leche Nan 2 Gr Öptimal Marcas Nestle Bolsa,Öptimal Bolsa Leche Nan 2 Öptimal Bolsa,Nestle,,,,
FC-29003221,FL-080826,109,Vaso Recolector I Quirmex Quirmex Descto: 2.0% $ 3.70 Recolector I Quirmex Quirmex,Vaso Recolector I Quirmex Quirmex Recolector I Quirmex Quirmex,,,,,
FC-51448511,FL-080826,110,"525 Ml | Lab Pisa Electrolit Uva $ 20,50 Descto: 2.0% $ 20.09 525 Ml | Lab Pisa Electrolit Uva",Pisa Uva 525 Pisa Uva,Electrolit,,,,
FC-25104411,FL-080826,111,Electrolit Coco 625 Ml Lab Pisa 20.50 Descto: 2.0% Electrolit Coco 625 Ml Pisa,Coco 625 Pisa 20.50 Coco 625 Pisa,Electrolit,,,,
