sku,ticket,nombre_original,nombre_nuevo,marca,presentacion,forma,principio_activo,categoria,notas
FC-66055303,FMX-080826,MEDITEST PRUEBA EMBARAZO C/1,Meditest Prueba Embarazo,Meditest,C/1,,,Producto,
FC-DF92D3CF,FMX-080826,FC 01/09/2028,FC 01/09/2028,,,,,,nombre_ticket_invalido
FC-757DEC8A,FMX-080826,FC 01/04/2029,FC 01/04/2029,,,,,,nombre_ticket_invalido
FC-108AB6B6,FMX-080826,FC 01/04/2028,FC 01/04/2028,,,,,,nombre_ticket_invalido
FC-22ECC02C,FMX-080826,FC 01/05/2029,FC 01/05/2029,,,,,,nombre_ticket_invalido
FC-23B68FA1,FMX-080826,FC 01/04/2028,FC 01/04/2028,,,,,,nombre_ticket_invalido
FC-87621652,FMX-080826,FC 01/04/2028,FC 01/04/2028,,,,,,nombre_ticket_invalido
FC-2E70DB7E,FMX-080826,FC 01/12/2028,FC 01/12/2028,,,,,,nombre_ticket_invalido
FC-A166D66F,FMX-080826,FC 01/11/2028,FC 01/11/2028,,,,,,nombre_ticket_invalido
FC-7B88B47E,FMX-080826,FC 01/04/2028,FC 01/04/2028,,,,,,nombre_ticket_invalido
FC-F349C6DD,FMX-080826,FC 01/12/2027,FC 01/12/2027,,,,,,nombre_ticket_invalido
FC-D751525D,FMX-080826,ANIMALIN GOTAS C/30 ML,Animalin,Animalin,GOTAS,GOTAS,,Medicamento,
FC-4F05124E,FMX-080826,GELCAVIT-9M CAPSULAS C/30,Gelcavit-9M Capsulas,Gelcavit-9M,C/30,,,Producto,
FC-85632ABD,FMX-080826,FC 01/01/2028,FC 01/01/2028,,,,,,nombre_ticket_invalido
FC-0906E3E1,FMX-080826,FC 01/04/2028,FC 01/04/2028,,,,,,nombre_ticket_invalido
FC-4C3B3B9C,FMX-080826,FC 01/09/2027,FC 01/09/2027,,,,,,nombre_ticket_invalido
FC-1812D26D,FMX-080826,HUCIUS CAPSULAS C/30,Hucius Capsulas,Hucius,C/30,,,Producto,
FC-EC96A027,FMX-080826,FC 01/02/2028,FC 01/02/2028,,,,,,nombre_ticket_invalido
FC-3B7A358D,FMX-080826,FC 01/04/2028,FC 01/04/2028,,,,,,nombre_ticket_invalido
FC-16C9352F,FMX-080826,FC 01/04/2028,FC 01/04/2028,,,,,,nombre_ticket_invalido
FC-70F50FD7,FMX-080826,FC 01/03/2029,FC 01/03/2029,,,,,,nombre_ticket_invalido
FC-D33D7A48,FMX-080826,FC 01/03/2028,FC 01/03/2028,,,,,,nombre_ticket_invalido
FC-00E8A9C7,FMX-080826,FOTOSUN-UV100 CREMA C/125 ML S0-FP$,Fotosun-Uv100,Fotosun-Uv100,CREMA,CREMA,,Medicamento,
FC-D4342B8E,FMX-080826,FC 01/01/2028,FC 01/01/2028,,,,,,nombre_ticket_invalido
FC-CF0AF2F6,FMX-080826,FC 01/02/2028,FC 01/02/2028,,,,,,nombre_ticket_invalido
FC-5CA1622C,FMX-080826,FC 01/05/2028,FC 01/05/2028,,,,,,nombre_ticket_invalido
FC-D0A49FC8,FMX-080826,FC 01/04/2027,FC 01/04/2027,,,,,,nombre_ticket_invalido
FC-EB5DCEBE,FMX-080826,FC 01/02/2029,FC 01/02/2029,,,,,,nombre_ticket_invalido
FC-DA34D88D,FMX-080826,ERBITRAX TABLETAS 250 MG C/7,Erbitrax,Erbitrax,C/7,TABLETAS,,Medicamento,
FC-BE2ACF63,FMX-080826,VALNAIT CAPSULAS C/30,Valnait Capsulas,Valnait,C/30,,,Producto,
FC-D259E551,FMX-080826,FC 01/03/2027,FC 01/03/2027,,,,,,nombre_ticket_invalido
FC-2782A4D6,FMX-080826,FC 01/12/2027,FC 01/12/2027,,,,,,nombre_ticket_invalido
FC-E3CFD0A7,FMX-080826,FC 01/02/2028,FC 01/02/2028,,,,,,nombre_ticket_invalido
FC-39E059E2,FMX-080826,FC 01/04/2028,FC 01/04/2028,,,,,,nombre_ticket_invalido
FC-DF39BB27,FMX-080826,ALEVARIN CAPSULAS C/45,Alevarin Capsulas,Alevarin,C/45,,,Producto,
FC-79C61297,FMX-080826,FC 01/09/2027,FC 01/09/2027,,,,,,nombre_ticket_invalido
FC-EC93AE62,FMX-080826,FC 01/06/2028,FC 01/06/2028,,,,,,nombre_ticket_invalido
FC-223B5D76,FMX-080826,FC 01/05/2028,FC 01/05/2028,,,,,,nombre_ticket_invalido
FC-86606791,FMX-080826,FC 01/09/2027,FC 01/09/2027,,,,,,nombre_ticket_invalido
FC-6D9926C2,FMX-080826,Clave 300591,Clave 300591,,,,,,nombre_ticket_invalido
FC-2E7C6CD6,FMX-080826,FC 01/03/2028,FC 01/03/2028,,,,,,nombre_ticket_invalido
FC-D3FB53E9,FMX-080826,FC 01/03/2028,FC 01/03/2028,,,,,,nombre_ticket_invalido
FC-E3C83D59,FMX-080826,FC 01/06/2028,FC 01/06/2028,,,,,,nombre_ticket_invalido
FC-99F357DC,FMX-080826,FC 01/05/2028,FC 01/05/2028,,,,,,nombre_ticket_invalido
FC-23CE9602,FMX-080826,FC 01/06/2028,FC 01/06/2028,,,,,,nombre_ticket_invalido
FC-CAABC42B,FMX-080826,FC 01/01/2028,FC 01/01/2028,,,,,,nombre_ticket_invalido
FC-E94C79BA,FMX-080826,FC 01/06/2028,FC 01/06/2028,,,,,,nombre_ticket_invalido
FC-D75138BB,FMX-080826,FC 01/10/2028,FC 01/10/2028,,,,,,nombre_ticket_invalido
FC-6E084251,FMX-080826,FC 01/11/2027,FC 01/11/2027,,,,,,nombre_ticket_invalido
FC-30F56906,FMX-080826,FC 01/11/2028,FC 01/11/2028,,,,,,nombre_ticket_invalido
FC-046D8251,FMX-080826,FC 01/05/2028,FC 01/05/2028,,,,,,nombre_ticket_invalido
FC-D69881BF,FMX-080826,FC 01/03/2028,FC 01/03/2028,,,,,,nombre_ticket_invalido
FC-C3B611F3,FMX-080826,FC 01/03/2028,FC 01/03/2028,,,,,,nombre_ticket_invalido
FC-98518364,FMX-080826,FC 01/04/2030,FC 01/04/2030,,,,,,nombre_ticket_invalido
FC-F89008C6,FMX-080826,FC 01/04/2030,FC 01/04/2030,,,,,,nombre_ticket_invalido
FC-355851E7,FMX-080826,FC 01/05/2030,FC 01/05/2030,,,,,,nombre_ticket_invalido
FC-C8B741F6,FMX-080826,FC 01711/2030,Fc 01711/2030,Fc,,,,Producto,
FC-3B0C76C8,FMX-080826,FC 01/11/2030,FC 01/11/2030,,,,,,nombre_ticket_invalido
FC-BE0A0E46,FMX-080826,CATETER/INTRAVENOSO-SUMITEX PU 22 G X 25 MM C/1 AZUL,Sumitex Intravenoso- Pu X 25 Mm C/1 Azul,Sumitex,22 G,Catéter,,Botiquín,
FC-ED3B0AD4,FMX-080826,FC 01/05/2028,FC 01/05/2028,,,,,,nombre_ticket_invalido
FC-83941A95,FMX-080826,FC 01/06/2030,FC 01/06/2030,,,,,,nombre_ticket_invalido
FC-E9FA700D,FMX-080826,FC 01/01/2031,FC 01/01/2031,,,,,,nombre_ticket_invalido
FC-BE977010,FMX-080826,FC 01/06/2030,FC 01/06/2030,,,,,,nombre_ticket_invalido
FC-35A0F20F,FMX-080826,FC 01/02/2028,FC 01/02/2028,,,,,,nombre_ticket_invalido
FC-AE88EDDC,FMX-080826,FC 01/12/2027,FC 01/12/2027,,,,,,nombre_ticket_invalido
FC-EE6593B4,FMX-080826,FC 13/12/2030,FC 13/12/2030,,,,,,nombre_ticket_invalido
FC-93322783,FMX-080826,FC 01/04/2030,FC 01/04/2030,,,,,,nombre_ticket_invalido
FC-20C90A6D,FMX-080826,FC 01/12/2030,FC 01/12/2030,,,,,,nombre_ticket_invalido
FC-7607DDA7,FMX-080826,FC 01/03/2030,FC 01/03/2030,,,,,,nombre_ticket_invalido
FC-8C9A304D,FMX-080826,FC 06/06/2030,FC 06/06/2030,,,,,,nombre_ticket_invalido
FC-BA60704A,FMX-080826,FC 15/04/2030,FC 15/04/2030,,,,,,nombre_ticket_invalido
FC-8EF34E83,FMX-080826,FC 01/11/2029,FC 01/11/2029,,,,,,nombre_ticket_invalido
FC-76040610,FL-080826,Desenfriolito Tab C/24 2 Pack Bayer Otc $ 93.80 Desenfriolito Tab C/24 2 Pack,Desenfriolito Tab C/24 2 Pack,Desenfriolito,2 PACK · C/24,TABLETAS,,Medicamento,
FC-60101231,FL-080826,"Noche Tab C/12 Descto: 6.0K Tempra , Xt Noche Tab C/12 Tempra","Tempra Noche K , Xt Noche Tab",Tempra,C/12,TABLETAS,,Medicamento,
FC-87154871,FL-080826,Graneodin E Naranja Tab C/16 Rb Health 135.10 Graneodin E Naranja Tab C/16,Graneodin E Naranja 135.10 E Naranja Tab,Graneodin,C/16,TABLETAS,,Medicamento,
FC-60101521,FL-080826,Lubricante Soft Lub Pleasüre 56.7 Gr Health 1 $ 100.80 Soft Lub Pleasüre Er 222503430721 Vitacilina 28 | Ksk,Vitacilina Lubricante Soft Pleasüre 1 Soft Lub Pleasüre Er 28 Ksk,Vitacilina,56.7 G,LUBRICANTE,,Producto,
FC-06134531,FL-080826,Dtc (Rojo) 20 Descto: 2.0% Afrin Spray (Rojo) Afrin Spray Ml | Bayer,Afrin Dtc (Rojo) 20 (Rojo) Spray Ml,Afrin,,SPRAY,,Producto,
FC-08427330,FL-080826,Pomada 100 Gr Descto: 2.0% Bepanthen Pomada Bepanthen,Bepanthen Pomada,Bepanthen,100 G,POMADA,,Medicamento,
FC-58792792,FL-080826,Tempra 24 Hrs Cab C/12 Rb Health $ Tempra 24 Hrs Cab C/12 1354312225027] Derman Crema 50,Tempra 24 Hrs Cab $,Tempra,C/12,,,Producto,
FC-50002301,FL-080826,Eomelubrina Tab C/10 | Opella $ 73.70 Descto: 2.0% $ 72.23 Eomelubrina Tab C/10 | Opella,Eomelubrina Tab C/10,Eomelubrina,C/10,TABLETAS,,Medicamento,
FC-28979502,FL-080826,Histiacil Ne Jar Adto 150 Mi | Opella $ 124.40 $ 124.40 Descto: 2.0% $ 121.91 $ 121.91 Jar Adto 150 Mi | Opella,Ne,Histiacil,JARABE,JARABE,,Medicamento,
FC-89794961,FL-080826,Histiacil Ne Jar Ine 150 Ml | Opella 1 $ 125.80 $ 125.80 Descto: 2.0% G 123.28 Jar Ine 150 Ml | Opella G 123.28,Ne,Histiacil,JARABE,JARABE,,Medicamento,
FC-79071241,FL-080826,Bisolvon Jbe Ine 120 Ml | Lăb Hormona $ 147.90 Descto: 2.0% $ 144.94 $ 147.90 Ine 120 Ml | Lăb Hormona,Bisolvon Ine Lăb Ine Lăb,Bisolvon,120 ML,JARABE,,Medicamento,
FC-47624171,FL-080826,Nailex Desenterrador Unas 12 Ml Nailex Desenterrador Unas,Nailex Desenterrador Unas Desenterrador Unas,Nailex,12 ML,,,,
FC-80950139,FL-080826,"""Lasico Enz C/. Dwightnd Descto: 15.0% ""Lasico Dwightnd Cond Tro Jan","Lásico Enz C/. "" Cond Tro Jan",Lásico,,,,Producto,
FC-88947797,FL-080826,Tribedoce Tab /30 Nvo Bruluart 5 $ 18.00 Tribedoce Tab /30 Nvo Bruluart,Tribedoce Nvo,Tribedoce,C/30,,,Producto,
FC-50959781,FL-080826,Performance Tab Descto: 2.0% Centrum C/30 Pg Pere Performance Tab Centrum C/30,Centrum,Centrum,C/30,TABLETAS,,Medicamento,
FC-80953017,FL-080826,È Tre & Ice C/3 Dwightnd Descto: 15.0% Cond Trojan È Tre & Ice C/3 Dwightnd,Trojan È Tre & Ice Cond È Tre & Ice,Trojan,C/3,,,Producto,
FC-54521161,FL-080826,Tempra 500 Mg Lab C/10 Rb Health $ 48.80 Descto: 6.0% Tempra 500 Mg {8 022503405381 Vitacilina Ung I Ksk,Vitacilina Tempra Tempra {8 I Ksk,Vitacilina,500 MG · C/10,UNGÜENTO,,Medicamento,
FC-95201021,FL-080826,Hipoglos Pac Turo 45 Gr | Andromaco 1 $ 71.00 Descto: 2.0% $ 69.58 Turo 45 Gr | Andromaco,Hipoglos Pac Turo 1 Turo 45,Hipoglos,45 G,,,Producto,
FC-08485316,FL-080826,Tabcin Eferv Tab C/12 | Bayer Ot C Descto: 2.0% 38.50 $ 37.73 Tab C/12 | Bayer Ot C,Tabcin Eferv C 38. C,Tabcin,50 TABLETAS · C/12,TABLETAS,,Medicamento,
FC-65095947,FL-080826,Centrum Silver Tab C/30 Pg Pere 1 Centrum Silver Tab C/30 Pere,Centrum Tab 1 Tab,Centrum,C/30,,,,
FC-95451096,FL-080826,/10 | Rb Healte Sal De Uvas $ 37.90 Descto: 2.0% $ 37.14 /10 | Rb Healte Sal De Uvas Fazolin E Gotas,/10 | Rb Healte Sal De Uvas $ 37.90 Descto: 2.0% $ 37.14 /10 | Rb Healte Sal De Uvas Fazolin E Gotas,,,,,,nombre_ticket_invalido
FC-79400556,FL-080826,Sanfer Descto: 8.04 Syncol Tab $ 107.40 $ 107.40 8 98.81 Sanfer Syncol Tab 871210734092301 Syncol Max Tab,Syncol 8 98.81 Max Tab,Syncol,871210734092301 TABLETAS,TABLETAS,,Medicamento,
FC-58793249,FL-080826,Lubricante Sico Sens Calor 50 Ml | Rb Health 1 $ 101.90 Lubricante Sico Sens Calor 50 Ml | Rb,Sico Sens Calor 1 Lubricante Sico Sens Calor,Sico,50 ML,Lubricante,,Higiene personal,
FC-95467264,FL-080826,Sal De Uvas Ixh C/50 | Rb Healti 1 $ 163.50 Descto: 2.0% $ 160.23 Sal De Uvas Ixh C/50 | Rb Healti,Sal de Uvas Ixh,Sal de Uvas,C/50,,,Producto,
FC-87932321,FL-080826,Lubricante Ico Cereza 50 Ml Rb Health 1 $ 101.90 Ico Cereza 50 Microdacyn,Microdacyn Ico Cereza 1 Ico Cereza 50,Microdacyn,50 ML,Lubricante,,Higiene personal,
FC-08443026,FL-080826,Tab C/100 Descto: 2.0% Alka-Seltzer Bayer C/100 Alka-Seltzer Ğel Rojo,Alka-Seltzer Ğel Rojo,Alka-Seltzer,C/100,TABLETAS,,Medicamento,
FC-75354321,FL-080826,Tylenol Tab Kenvue 1 $ 50.00 Descto: 2.0% $ 49.00 $ Kenvue,Tylenol 1 $,Tylenol,TABLETAS,TABLETAS,,Medicamento,
FC-08491074,FL-080826,Aspirina Tab 80 2 Paci Bayer Onc 1 $ 124.80 Aspirina Tab 80 2 Paci [7360852785071 Manzaniila,Aspirina 2 1 2 [ Manzaniila,Aspirina,80 TABLETAS,,,Producto,
FC-70612368,FL-080826,(A) Treda Tab €/20 Sanfer 2 $ 152.00 $ 304.00 Descto: 8.0% Sanfer Brunadol Tab Desato: 2.0%,Brunadol (A) Treda €/20 2 Tab,Brunadol,TABLETAS,TABLETAS,,Medicamento,
FC-88508929,FL-080826,Anara Tab C/20 Chinoin 1 $ 162.60 Descto: 2.0% $ 159.35 Chinoin,Anara 1,Anara,C/20,TABLETAS,,Medicamento,
FC-84335531,FL-080826,Forte Tab C/24 Descto: 2.0% Caf Iaspirina Forte C/24 Caf Iaspirina,Cafiaspirina Forte Forte,Cafiaspirina,C/24,TABLETAS,,Medicamento,
FC-23001331,FL-080826,Sr I Lab Ting Crema 28 Hormona $ 73.60 Sr I Ting Crema 28 Hormona,Sr I Ting 28,Sr,,CREMA,,Producto,
FC-85592111,FL-080826,Scabisan Crema Er I Chinoin 1 $ 194.60 Descto: 2.0% $ 190.71 Scabisan Crema Er I Chinoin,Scabisan Er I,Scabisan,,CREMA,,Producto,
FC-84999001,FL-080826,Boost Tar C/50 Descto: 2.0% Alka-Seltzer Bayer Boost Tar C/50 Alka-Seltzer,Alka-Seltzer Boost,Alka-Seltzer,C/50,TABLETAS,,Medicamento,
FC-08498798,FL-080826,Bepanthen Multiusos Pomada Otc 30 Bepanthen Multiusos Pomada,Bepanthen Multiusos Pomada 30 Multiusos Pomada,Bepanthen,,,,,
FC-08491096,FL-080826,Cafiaspirina Tar C/100 2 Pace Bayer Otc 221.90 Descto: 2.0% Cafiaspirina Tar C/100 2 Pace Corega Ultra,Cafiaspirina 2 221.90,Cafiaspirina,C/100,TABLETAS,,Medicamento,
FC-50003151,FL-080826,Iv Neomelubrina Jbe 100 Ml I Opella 121.00 Neomelubrina Jbe 100 Ml I Opella,Opella Neomelubrina Jbe I 121.00 Neomelubrina Jbe I,Opella,100 ML,Inyectable,,Medicamento,
FC-24227339,FL-080826,(A) Loxcel Adto Tab C/1 | Lab Hormona 2 $ 78.00 Descto: 6.0% $ 73.32 Adto Tab C/1 | Lab Hormona 2,Loxcel (A) Tab 2 Adto Tab 2,Loxcel,C/1,ADULTO,,Medicamento,
FC-98100381,FL-080826,Herklin Shai 20 Ml Armstroni 1 $ 128.80 Descto: 2.0% $ 126.22 $ 128.80 20 Ml Armstroni 265024 Genomma Alli-Triple,Armstrong Herklin Shai 1 265024 Genomma Alli-Triple,Armstrong,20 ML,,,Producto,
