sku,ticket,nombre_original,nombre_nuevo,marca,presentacion,forma,principio_activo,categoria,notas
FC-11294615,440393,AMIKACINA 2 AMP 500MG/2 ML,Amikacina,,2 AMPOLLETA,AMPOLLETA,AMIKACINA,Medicamento,
FC-1FEA2FB7,440393,AMIKACINA 1 AMP 500MG/2 ML,Amikacina,,1 AMPOLLETA,AMPOLLETA,AMIKACINA,Medicamento,
FC-AA905BF7,440393,PERLUDIL 1 FA 150/10 MG,Perludil,Perludil,1 FRASCO AMPULA,FRASCO AMPULA,,Medicamento,
FC-AE5EEDF7,440393,BACTIVER 20 TAB 400/80 MG,Bactiver,Bactiver,20 TABLETAS,TABLETAS,,Medicamento,
FC-F8691496,440393,BACTIVER F 16 TAB 160/800 MG,F,Bactiver,16 TABLETAS,TABLETAS,,Medicamento,
FC-6074BB64,440393,REDALIP 30 TAB 200 MG,Redalip,Redalip,30 TABLETAS,TABLETAS,,Medicamento,
FC-E826D304,440393,LINCOMICINA 600MG/2ML 6 AMPOLLETAS,Lincomicina /2Ml 6 Ampolletas,Lincomicina,600 MG,,,Producto,
FC-4F737E93,440393,CLOXAN 1 SOL 300MG/120ML,Cloxan,Cloxan,1 SOLUCION,SOLUCION,,Medicamento,
FC-DB3B2584,440393,CELESBITAN 1 FA C/BER 6MG/2 ML,Celesbitan,Celesbitan,1 FRASCO AMPULA,FRASCO AMPULA,,Medicamento,
FC-22B18244,440393,CEFOTAXIMA I.M. 1 FA 1G/4 ML,I.M,Cefotaxima,1 FRASCO AMPULA,FRASCO AMPULA,,Medicamento,
FC-4A0245DA,440393,AMLODIPINO 100 TAB 5 MG,Amlodipino,Amlodipino,100 TABLETAS,TABLETAS,,Medicamento,
FC-29670370,440393,DEGORTZIN 1 SOL 100 MG/50 ML,Degortzin,Degortzin,1 SOLUCION,SOLUCION,,Medicamento,
FC-69A3C416,440393,WEXPEC 1 SOL 7.5/2MG/5/120 ML,Wexpec,Wexpec,1 SOLUCION,SOLUCION,,Medicamento,
FC-F817BC3A,440393,SIBICOS 1 CMA 1/100/20 G,Sibicos,Sibicos,1 CREMA,CREMA,,Medicamento,
FC-447B30F9,440393,BUDESONIDA 5 AMP 0.250MG/2ML,Budesonida,Budesonida,5 AMPOLLETA,AMPOLLETA,,Medicamento,
FC-1CF27DC9,440393,DISON DEX 1 FA 5/2 MG,Dex,Dison,1 FRASCO AMPULA,FRASCO AMPULA,,Medicamento,
FC-3CAA7C5C,440393,CINARIZINA 60 TAB 75 MG,Cinarizina,,60 TABLETAS,TABLETAS,CINARIZINA,Medicamento,
FC-E6B50AC3,440393,CELECOXIB 10 CAPS 200MG,Celecoxib,Celecoxib,10 CAPSULAS,CAPSULAS,,Medicamento,
FC-6B2ADEE9,440393,PRCTAISOL 1 SUSP/AER 200 DOSIS 12.80 G,Prctaisol 1 Susp/Aer 200 Dosis,,12.80 G,,,,
FC-DB4A39AE,440393,CALCIO EFE 12 COMP 500 MG,Efe,Calcio,12 COMPRIMIDOS,COMPRIMIDOS,,Medicamento,
FC-FA3D96E6,440393,BECATRIM N CALCITRIOL 30 CAPS 0.25 MCG,N Calcitriol,Becatrim,30 CAPSULAS,CAPSULAS,,Medicamento,
FC-63975795,440393,GENTAMICINA 25 COMP 1 MG,Gentamicina,,25 COMPRIMIDOS,COMPRIMIDOS,GENTAMICINA,Medicamento,
FC-C6C20517,440393,BUDIMIN 20 TAB 1 MG,Budimin,Budimin,20 TABLETAS,TABLETAS,,Medicamento,
FC-58DB24C4,440393,BITENVER 30 TAB 24 MG,Bitenver,Bitenver,30 TABLETAS,TABLETAS,,Medicamento,
FC-1FFBB505,440393,SUPRATEX DAC 1 SOL 300/600 MG 120 ML,Dac,Supratex,1 SOLUCION,SOLUCION,,Medicamento,
FC-A909ABC0,440393,ODIVITOR 10 TAB 20 MG,Odivitor,Odivitor,10 TABLETAS,TABLETAS,,Medicamento,
FC-82F88FED,440393,CAPTOPRIL 30 TAB 25 MG,Captopril,,30 TABLETAS,TABLETAS,CAPTOPRIL,Medicamento,
FC-6C2878CF,440393,BUDENOVA SUSP 125 MG/ML 5 AMP 2ML,Susp 125 Mg/Ml,Budenova,5 AMPOLLETA,AMPOLLETA,,Medicamento,
FC-3B001F9B,440393,AMLODIPINO 30 TAB 5 MG,Amlodipino,Amlodipino,30 TABLETAS,TABLETAS,,Medicamento,
FC-B25094C4,440393,LESACLOR 1 SUSP 200MG/5/125 ML,Lesaclor,Lesaclor,1 SUSPENSION,SUSPENSION,,Medicamento,
FC-26EA40A4,440393,RAMCINET 10 TAB 10 MG,Ramcinet,Ramcinet,10 TABLETAS,TABLETAS,,Medicamento,
FC-885F2723,440393,CARBAMAZEPINA 20 TAB 200 MG,Carbamazepina,,20 TABLETAS,TABLETAS,CARBAMAZEPINA,Medicamento,
FC-DF8ADDAB,440393,ERISPAN 1 FA 4MG/3 ML,Erispan,Erispan,1 FRASCO AMPULA,FRASCO AMPULA,,Medicamento,
FC-50AC2C82,440393,ERISPAN 1 FA 8MG/2 ML,Erispan,Erispan,1 FRASCO AMPULA,FRASCO AMPULA,,Medicamento,
FC-281E0F22,440393,BUDESONIDA 1 SUSP NEB AMP 0.500MG,Budesonida,Budesonida,1 SUSPENSION,SUSPENSION,,Medicamento,
FC-9F67BB73,440393,AMIFARIN 1 SUSP 250MG 60 ML,Amifarin,Amifarin,1 SUSPENSION,SUSPENSION,,Medicamento,
FC-4FD413D2,440393,HASPEN 3 AMP 20 MG/1 ML,Haspen,Haspen,3 AMPOLLETA,AMPOLLETA,,Medicamento,
FC-0BDE9283,440393,CLOPHIVEN 200 DOSIS 50 MCG/15 G,Clophiven 200 Dosis 50 Mcg,Clophiven,15 G,,,Producto,
FC-97BEFA1A,440393,AMLODIPINO 100 TAB 5 MG,Amlodipino,Amlodipino,100 TABLETAS,TABLETAS,,Medicamento,
FC-DEAF33B0,440393,BACTIVER 1 SUSP 40/200/5/120 ML,Bactiver,Bactiver,1 SUSPENSION,SUSPENSION,,Medicamento,
FC-77FE5C83,440393,SONBLEFAM S 1 CMA 100 G/40 G,S,Sonblefam,1 CREMA,CREMA,,Medicamento,
FC-C636D8EA,440393,CEFTRIAXONA I.M. 1 FA 1G/3.5 ML,I.M,Ceftriaxona,1 FRASCO AMPULA,FRASCO AMPULA,,Medicamento,
FC-44B6751A,440393,LAUR AQUITO 500/100/30/4 MG 3 AMP,Aquito 500/100/30/4 Mg,Laur,3 AMPOLLETA,AMPOLLETA,,Medicamento,
FC-9B93AC4C,440393,BENEVENTOL 1 SUSP 100MG/5ML/50 ML,Beneventol,,1 SUSPENSION,SUSPENSION,BENEVENTOL,Medicamento,
FC-2001A890,440393,AMPIGRIN AD 3 AMP 500/500/100/30MG/3 ML,Ad,Ampigrin,3 AMPOLLETA,AMPOLLETA,,Medicamento,
FC-DE106642,440393,AMPIGRIN INF 3 AMP 250/200/100/30MG/3 ML,Inf,Ampigrin,3 AMPOLLETA,AMPOLLETA,,Medicamento,
FC-BE76D409,440393,AMCEF I.M. 1 FA 1G/3.5 ML,I.M,Amcef,1 FRASCO AMPULA,FRASCO AMPULA,,Medicamento,
FC-07F04F88,440393,AMCEF I.M. 1 FA 500MG/2 ML,I.M,Amcef,1 FRASCO AMPULA,FRASCO AMPULA,,Medicamento,
FC-357D4A17,440393,CEFTAZIDIMA 1 FA 1G/3 ML,Ceftazidima,Ceftazidima,1 FRASCO AMPULA,FRASCO AMPULA,,Medicamento,
FC-5D9DFA3D,440393,NORQUINOL 20 TAB 400 MG,Norquinol,,20 TABLETAS,TABLETAS,NORQUINOL,Medicamento,
FC-E9C38DC4,440393,CIPROFLOXACINO G.I. 14 TAB 500 MG,Ciprofloxacino G.I,,14 TABLETAS,TABLETAS,CIPROFLOXACINO G.I,Medicamento,
FC-347A49C7,440393,AMIKACINA 1 AMP 100 MG/2 ML,Amikacina,,1 AMPOLLETA,AMPOLLETA,AMIKACINA,Medicamento,
FC-E4BE37BE,440393,ATORVASTATINA 10 TAB 40 MG,Atorvastatina,,10 TABLETAS,TABLETAS,ATORVASTATINA,Medicamento,
FC-1751468C,440393,FLOSPET 8 TAB 400 MG,Flospet,Flospet,8 TABLETAS,TABLETAS,,Medicamento,
FC-6898B64F,440393,BIOERTER 1 SUSP 250 MG/100 ML,Bioerter,Bioerter,1 SUSPENSION,SUSPENSION,,Medicamento,
FC-CD261CD5,440393,DOLIPROFEN 10 TAB 800 MG,Doliprofen,Doliprofen,10 TABLETAS,TABLETAS,,Medicamento,
FC-5C8C9C11,440393,GELUBRIN 10 CAPS 600 MG,Gelubrin,Gelubrin,10 CAPSULAS,CAPSULAS,,Medicamento,
FC-A23F290E,440393,ZITRIASOL 15 CAP 100 MG,Zitriasol,,15 CAPSULAS,CAPSULAS,ZITRIASOL,Medicamento,
FC-5885E577,440393,PABESORAG 28 TAB 150/12.5 MG,Pabesorag,Pabesorag,28 TABLETAS,TABLETAS,,Medicamento,
FC-3D0F54B7,440393,IBUPRO-CAFE 10 CAPS 400 MG/100 MG,Ibupro-Cafe,Ibupro-Cafe,10 CAPSULAS,CAPSULAS,,Medicamento,
FC-F7A2CACF,440393,INDARZONA 30 CAPS 25/0.5 MG,Indarzona,Indarzona,30 CAPSULAS,CAPSULAS,,Medicamento,
FC-50D044FF,440393,WERMY 15 CAPS 300 MG,Wermy,Wermy,15 CAPSULAS,CAPSULAS,,Medicamento,
FC-E535DE28,440393,DIURMESSEL 20 TAB 40 MG,Diurmessel,Diurmessel,20 TABLETAS,TABLETAS,,Medicamento,
FC-1321B34F,440393,HIDROXON 30 TAB 10 MG,Hidroxon,Hidroxon,30 TABLETAS,TABLETAS,,Medicamento,
FC-1AE9D7E6,440393,COLLUCORT 1 CMA 1% 60 G,Collucort,Collucort,1 CREMA,CREMA,,Medicamento,
FC-3E863E37,440393,TRATIDRI 1 GEL 500/50 MG 60 G,Tratidri,Tratidri,1 GEL,GEL,,Medicamento,
FC-9ABFB996,440393,ELAPHTERON 20 TAB 100 MG,Elaphteron,Elaphteron,20 TABLETAS,TABLETAS,,Medicamento,
FC-9A37D44A,440393,AMDORYL 14 CAPS 30 MG,Amdoryl,Amdoryl,14 CAPSULAS,CAPSULAS,,Medicamento,
FC-1BF03D35,440393,ACETONIDO DE FLUOCINOLONA CMA,Acetonido De Fluocinolona Cma,Acetonido,,,,Producto,
FC-5BC5F234,440393,FLUCONAZOL 1 CAPS 150 MG,Fluconazol,,1 CAPSULAS,CAPSULAS,FLUCONAZOL,Medicamento,
FC-A2B284E0,440393,HIALURONATO DE SODIO 4MG 10 ML,Hialuronato De Sodio 4Mg,Hialuronato,10 ML,,,Producto,
FC-2E79C2D8,440393,HIERRO DEX 3 AMP 100 MG/2 ML,Dex,Hierro,3 AMPOLLETA,AMPOLLETA,,Medicamento,
FC-28A424E5,440393,DIZIVER 20 TAB 25 MG,Diziver,Diziver,20 TABLETAS,TABLETAS,,Medicamento,
FC-52D2A43A,440393,ZUKEDIB 30 TAB 2 MG,Zukedib,Zukedib,30 TABLETAS,TABLETAS,,Medicamento,
FC-3D0ED22B,440393,ZUKEDIB 30 TAB 4 MG,Zukedib,Zukedib,30 TABLETAS,TABLETAS,,Medicamento,
FC-04D83B46,440393,PRALEX 28 TAB 10 MG,Pralex,Pralex,28 TABLETAS,TABLETAS,,Medicamento,
FC-D11D586A,440393,VALGAB 3 IBE 50MG/6ML,Valgab 3 Ibe /6Ml,Valgab,50 MG,,,Producto,
FC-53506FA4,440393,ENALAPRIL 30 TAB 10 MG,Enalapril,,30 TABLETAS,TABLETAS,ENALAPRIL,Medicamento,
FC-F7DB080D,440393,OVISEN 28 TAB 20 MG,Ovisen,Ovisen,28 TABLETAS,TABLETAS,,Medicamento,
FC-FD92D114,440393,OVISEN 14 TAB 20 MG,Ovisen,Ovisen,14 TABLETAS,TABLETAS,,Medicamento,
FC-57925EF3,440393,REGLUSAN 50 TAB 5 MG,Reglusan,Reglusan,50 TABLETAS,TABLETAS,,Medicamento,
FC-AA7B0686,440393,DROSQUIM AD 1 IBE 300/160/200 ML,Drosquim Ad 1 Ibe 300/160,Drosquim,200 ML,,,Producto,
FC-B3B8F9BB,440393,DESROTAN 10 TAB 180 MG,Desrotan,Desrotan,10 TABLETAS,TABLETAS,,Medicamento,
FC-EADF1484,440393,DIOSMINA HESPERIDINA 20 TAB 450/50 MG,Diosmina Hesperidina,,20 TABLETAS,TABLETAS,DIOSMINA HESPERIDINA,Medicamento,
FC-262F2A30,440393,IRBESARTAN 14 TAB 150 MG,Irbesartan,,14 TABLETAS,TABLETAS,IRBESARTAN,Medicamento,
FC-1DAD5EF1,440393,TUSILEN AD 1 IBE 240/30/50MG/100/118 ML,Tusilen Ad 1 Ibe 240/30/50Mg/100,Tusilen,118 ML,,,Producto,
FC-BDB2E087,440393,IRBESARTAN 14 TAB 300 MG,Irbesartan,,14 TABLETAS,TABLETAS,IRBESARTAN,Medicamento,
FC-759A5EF9,440393,WERMY 30 CAPS 300 MG,Wermy,Wermy,30 CAPSULAS,CAPSULAS,,Medicamento,
FC-52844825,77827,Desod Obao R-Nat Coco R-On 65G,Obao R-Nat Coco,Obao,R-ON 65 G,Desodorante,,Higiene personal,
FC-52933307,77827,Desod Obao Game 48Hr R-On 65G N,Obao Game 48Hr N,Obao,R-ON 65 G,Desodorante,,Higiene personal,
FC-27250612,77827,Desod Obad P/Del R-On 65G,Obao P/Del,Obao,R-ON 65 G,Desodorante,,Higiene personal,
FC-27286017,77827,Desod Obao Clas R-On 65G,Obao Clas,Obao,R-ON 65 G,Desodorante,,Higiene personal,
FC-52876406,77827,Desod Obao Men Tatto Aqua R-On 65G,Obao Men Tatto Aqua,Obao,R-ON 65 G,Desodorante,,Higiene personal,
FC-30622622,77827,Desod Axe Men Young Spy 150Ml,Axe Men Young,Axe,SPRAY 150 ML,Desodorante,,Higiene personal,
FC-06213906,77827,Desod Axe Icechi E-Frio Spy 150Ml,Axe Icechi E-Frio,Axe,SPRAY 150 ML,Desodorante,,Higiene personal,
FC-93037806,77827,Desod Rexona Men Marine Spy 150Ml,Rexona Men Marine,Rexona,SPRAY 150 ML,Desodorante,,Higiene personal,
FC-55280956,77827,Desod Obao Men Tato Rebel R-On65,Obao Men Tato Rebel,Obao,R-ON 65 G,Desodorante,,Higiene personal,
FC-93025919,77827,Desod Axe Excite Seco Spy 152Ml,Axe Excite Seco,Axe,SPRAY 152 ML,Desodorante,,Higiene personal,
FC-93022567,77827,Desod Rexona Men V8 Tun Spy 90G,Rexona Men V8 Tun Spy,Rexona,90 G,Desodorante,,Higiene personal,
FC-06244795,77827,Desod Axe Intense 48H Spy 150Ml,Axe Intense 48H,Axe,SPRAY 150 ML,Desodorante,,Higiene personal,
FC-75076009,77827,Desod Rexona 48H Happy-M Stick 45G,Rexona 48H Happy-M,Rexona,STICK 45 G,Desodorante,,Higiene personal,
FC-93025797,77827,Desod Axe Men Dark Temp Spy150Ml,Axe Men Dark Temp,Axe,SPRAY 150 ML,Desodorante,,Higiene personal,
FC-93038223,77827,Desod Rexona Men Sport Spy 150Ml,Rexona Men Sport,Rexona,SPRAY 150 ML,Desodorante,,Higiene personal,
FC-75062897,77827,Desod Rexona Bamboo 48H Stick 45G,Rexona Bamboo 48H,Rexona,STICK 45 G,Desodorante,,Higiene personal,
FC-06245686,77827,Desod Axe Men Epic-F 48H Spy 150Ml,Axe Men Epic-F 48H,Axe,SPRAY 150 ML,Desodorante,,Higiene personal,
FC-93025865,77827,Desod Axe Men Gold Temp,Axe Men Gold Temp,Axe,,Desodorante,,Higiene personal,
FC-22105207,77827,Jbn Grisi Neutro 150 G,Grisi Neutro,Grisi,150 G,Jabón,,Higiene personal,
FC-38891190,77827,Jbn Dove Barra Blanca,Dove Barra Blanca,Dove,,Jabón,,Higiene personal,
FC-75062927,77827,Desod Rexona Pom-Dry48H Stick45G,Rexona Pom-Dry 48 H,Rexona,STICK 45 G,Desodorante,,Higiene personal,
FC-40036965,77827,Jbn Asepxia Bicarbon Sod 100G,Asepxia Bicarbon Sod,Asepxia,100 G,Jabón,,Higiene personal,
FC-40004643,77827,Jbn Asexia Exfol 100G,Asepxia Exfol,Asepxia,100 G,Jabón,,Higiene personal,
FC-22150801,77827,Jbn Grisi Avena 125G,Grisi Avena,Grisi,125 G,Jabón,,Higiene personal,
FC-25605514,77827,Jbn Escudo Antibact 110Gr,Escudo Antibact,Escudo,110 G,Jabón,,Higiene personal,
FC-14119032,77827,Azufre Jabon C Miel 80,Jabon C Miel 80,,,Jabón,,Higiene personal,
FC-06230507,77827,Jbn Dove Barra Karite Vainill 135G,Dove Barra Karite Vainill,Dove,135 G,Jabón,,Higiene personal,
FC-22150092,77827,Jbn Grisi Leche De Burra 125G,Grisi Leche De Burra,Grisi,125 G,Jabón,,Higiene personal,
FC-22111352,77827,Jbn Grisi Corp Diabecare 125 G,Grisi Corp Diabecare,Grisi,125 G,Jabón,,Higiene personal,
FC-75069223,77827,Desod Rex Mot-Sen Sport Stick,Rexona Mot-Sen Sport Stick,Rexona,,Desodorante,,Higiene personal,
FC-46059556,77827,Jbn Liq Palmol N-Bal Dermol 221Mln,Palmolive N-Bal Dermol,Palmolive,221 ML,Jabón líquido,,Higiene personal,
FC-67905186,77827,Jbn Liq Blumen Coconut Para 221Ml,Blumen Coconut Para,Blumen,221 ML,Jabón líquido,,Higiene personal,
FC-46683133,77827,Jbn Palmol N-Bal Dermo Limp 120G,Palmolive N-Bal Dermo Limp,Palmolive,120 G,Jabón,,Higiene personal,
FC-06241206,77827,Desod Dove Dermac Sk-C 48H Spy150Ml,Dove Dermac Sk-C 48H,Dove,SPRAY 150 ML,Desodorante,,Higiene personal,
FC-43489004,77827,Jbn Escudo Rosa Prot Y Cuid 110G,Escudo Rosa Prot Y Cuid,Escudo,110 G,Jabón,,Higiene personal,
FC-42326414,77827,Agua Mic Garnier De Rosas 400 Ml,Garnier De Rosas,Garnier,400 ML,Agua micelar,,Cuidado personal,
FC-76000284,77827,Agua Mic Vitacilina Ros-Sab 500Mln,Vitacilina Ros-Sab,Vitacilina,500 ML,Agua micelar,,Cuidado personal,
FC-82790504,77827,Desmaq Bifasico Oil Nuvel 125Ml,Nuvel Bifasico Oil,Nuvel,125 ML,Desmaquillante,,Cuidado personal,
FC-45722547,77827,Agua Mice Natural-G Bifasic 120Ml,Natural-G Bifasic,,120 ML,Agua micelar,,Cuidado personal,
FC-67905131,77827,Jbn Liq Blumen Cherry Bloss 221Ml,Blumen Cherry Bloss,Blumen,221 ML,Jabón líquido,,Higiene personal,
FC-21012303,77827,Tas Hum Claris Desmaq Aloe C/40,Claris Desmaq Aloe,Claris,C/40,Toallas húmedas,,Higiene personal,
FC-14121782,77827,Jabon De Proteina De Arroz Y Concha Nacar 8,De Proteina De Arroz Y Concha Nacar 8,,,Jabón,,Higiene personal,
FC-25652716,77827,Jbn Escudo Azul Rey 135G,Escudo Azul Rey,Escudo,135 G,Jabón,,Higiene personal,
FC-06248052,77827,Deo Aero Dove Tono Uniforme 150Ml 3Pack,Dove Aero Tono Uniforme 3Pack,Dove,150 ML,Desodorante,,Higiene personal,
FC-06248045,77827,Deo Dove Spy Invisible Dry 150Ml C3,Dove Spy Invisible Dry C3,Dove,150 ML,Desodorante,,Higiene personal,
FC-35911208,77827,Jbn Liq Palmol Aquarium 221Ml,Palmolive Aquarium,Palmolive,221 ML,Jabón líquido,,Higiene personal,
FC-08837311,77827,Desod Nivea Pearlb Mspy150Ml,Nivea Pearlb Mspy,Nivea,150 ML,Desodorante,,Higiene personal,
FC-06209862,77827,Deo Axe Spy 150Ml 48H Anarchy Fresh Love Fo,Axe 48H Anarchy Fresh Love Fo,Axe,SPRAY 150 ML,Desodorante,,Higiene personal,
FC-43489165,77827,Jbn Liq Escudo Blanco Neut 225Ml,Escudo Blanco Neut,Escudo,225 ML,Jabón líquido,,Higiene personal,
FC-84900280,77827,Jaloma Agua De Rosas 130Ml Spray,Jaloma Spray,Jaloma,130 ML,Agua de rosas,,Cuidado personal,
FC-06226852,77827,Desod Axe Wom Anarchy Spy 150Ml,Axe Wom Anarchy,Axe,SPRAY 150 ML,Desodorante,,Higiene personal,
FC-46657035,77827,Jbn Lio Palmol Flor Czo-Rsa 221Ml,Lio Flor Czo-Rsa,Lio,221 ML,Jabón,,Higiene personal,
FC-56330378,77827,Loc Limp Ponds Bio-Hydra Dual 200Ml,Ponds Bio-Hydra Dual,Ponds,200 ML,Loción limpiadora,,Cuidado personal,
FC-76040436,77827,Deo Mexsana P/Pies Spy 150Ml,Mexsana P/Pies,Mexsana,SPRAY 150 ML,Desodorante,,Higiene personal,
FC-61113000,77827,Tco Desod Odolex,Odolex Desod,Odolex,,Talco,,Higiene personal,
FC-61123009,77827,Odolex Naturals 300Gr Talco Desodorante,Odolex Naturals Talco Desodorante,Odolex,300 G,,,,
FC-41500096,77827,Tiraleche De Cristal 1 Pza,De Cristal,,1 PZA,Tiraleche,,Botiquín,
FC-20500201,77827,Sh Pert Plus Ac-Oliva 400Ml,Pert Plus Ac-Oliva,Pert,400 ML,Shampoo,,Higiene capilar,
FC-72300171,77827,Ting Polvo 85G,Polvo,,85 G,Polvo,,Cuidado personal,
FC-06217461,77827,Ico Desod Rexona Effi Fresh 200G,Rexona Effi Fresh,Rexona,200 G,Desodorante,,Higiene personal,
FC-82740011,77827,Quita Esm Nuvel Humec 125Ml,Nuvel Humec,Nuvel,125 ML,Quita esmalte,,Cuidado personal,
FC-52910971,77827,Cra Fructis Pei B-Dano Quim 300Ml,Fructis Pei B-Dano Quim,Fructis,300 ML,Crema,,Cuidado personal,
FC-52816297,77827,Cra Fructis Pei Oil-R L-Coco 300Ml,Fructis Pei Oil-R L-Coco,Fructis,300 ML,Crema,,Cuidado personal,
FC-40025839,77827,Sh Int Lomecan V 200Ml,Lomecan V,Lomecan,200 ML,Shampoo,,Higiene capilar,
FC-40030338,77827,Sh Int Lomecan V Aclar 200Ml,Lomecan V Aclar,Lomecan,200 ML,Shampoo,,Higiene capilar,
FC-45720550,77827,Silkhair Quita Esmalte Mora Azul 100Ml,Quita Esmalte Mora Azul,,100 ML,Tratamiento capilar,,Higiene capilar,
FC-92511261,77827,Cra Nutribela1O Bio Colageno 300Gn,Nutribela Bio Colageno,Nutribela,300 G,Crema,,Cuidado personal,
FC-92509213,77827,Cra Nutribela Nutrice Tarro 300G,Nutribela Nutrice Tarro,Nutribela,300 G,Crema,,Cuidado personal,
FC-06257597,77827,Rexona 1O0Gr Tco Pies Efficient Orig,Rexona 1O0 G Tco Pies Efficient Orig,Rexona,,,,,
FC-46073156,77827,Sh Caprice Nat Mzna 380 Ml,Caprice Nat Mzna,Caprice,380 ML,Shampoo,,Higiene capilar,
FC-20500171,77827,Cra Pert Oliv+Ac Agu P/Pein 100 Ml,Pert Oliv+Ac Agu P/Pein,Pert,100 ML,Crema,,Cuidado personal,
FC-35155922,77827,Ac Pantene Bambu 400Ml,Pantene Bambu,Pantene,400 ML,Acondicionador,,Higiene capilar,
FC-07457826,77827,Acono Pant Brillo Extremo 40Cml,Pantene Brillo Extremo,Pantene,40 ML,Acondicionador,,Higiene capilar,
FC-56340131,77827,Cra Sedal Rizos Obedie 300Ml,Sedal Rizos Obedie,Sedal,300 ML,Crema,,Cuidado personal,
FC-01165321,77827,Acond Pant Rizos Definid 400Ml,Pantene Acond Rizos Definid,Pantene,400 ML,,,,
FC-06249783,77827,Sh Sedal Rizos Def Inf-Act 180Ml,Sedal Rizos Def Inf-Act,Sedal,180 ML,Shampoo,,Higiene capilar,
FC-56360429,77827,Tco Desod Eficc Pies 200 G,Desod Eficc Pies,,200 G,Talco,,Higiene personal,
FC-56340025,77827,Cra Sedal Sos Recon-Estru 300Ml,Sedal Sos Recon-Estru,Sedal,300 ML,Crema,,Cuidado personal,
FC-56342227,77827,Cra Sedal Rizos Obedientes 135Ml,Sedal Rizos Obedientes,Sedal,135 ML,Crema,,Cuidado personal,
FC-06249776,77827,Sh Sedal Ceramidas Inf-Act 180Ml,Sedal Ceramidas Inf-Act,Sedal,180 ML,Shampoo,,Higiene capilar,
FC-01303454,77827,Sh Pant Ctrcaida A/Pv 400Ml,Pantene Ctrcaida A/Pv,Pantene,400 ML,Shampoo,,Higiene capilar,
FC-07457796,77827,Sh Pant Brillo Extremo,Pantene Brillo Extremo,Pantene,,Shampoo,,Higiene capilar,
FC-35155847,77827,Sh Pant Bambu Ctrl Caida 400 Ml,Pantene Bambu Ctrl Caida,Pantene,400 ML,Shampoo,,Higiene capilar,
FC-06249240,77827,Sh Savile Ker-Sab Fza Repar 700Ml,Savile Ker-Sab Fza Repar,Savile,700 ML,Shampoo,,Higiene capilar,
FC-06249226,77827,Sh Savile Bio-Sab Creci Res 700Ml,Savile Bio-Sab Creci Res,Savile,700 ML,Shampoo,,Higiene capilar,
FC-24511629,77827,Silica Shine Sil 3/1 Uva 120 Mi,Silica Shine Sil 3/1 Uva 120 Mi,Silica Shine,,Tratamiento capilar,,Higiene capilar,
FC-06234062,77827,Cra Sedal Anti Nudos 300 Ml,Sedal Anti Nudos,Sedal,300 ML,Crema,,Cuidado personal,
FC-56342258,77827,Cra Sedal Recons Estructur 135Ml,Sedal Recons Estructur,Sedal,135 ML,Crema,,Cuidado personal,
FC-61111501,77827,Tco Desdo Odolex 150 G,Odolex Desdo,Odolex,150 G,Talco,,Higiene personal,
FC-61124013,77827,Tco Odolex Fresh 150G,Odolex Fresh,Odolex,150 G,Talco,,Higiene personal,
FC-56340124,77827,Cra Sedal Sos Ceramida 300Ml,Sedal Sos Ceramida,Sedal,300 ML,Crema,,Cuidado personal,
FC-35020008,77827,Sh Hbs Limp Renoy 375Ml,Herbal Essences Limp Renoy,Herbal Essences,375 ML,Shampoo,,Higiene capilar,
FC-35169035,77827,Mousse Herbal Ess Rizo 200G,Herbal Essences Rizo,Herbal Essences,200 G,Mousse capilar,,Higiene capilar,
FC-35168991,77827,Sh Hash Anti Comezon 375Ml,Hask Anti Comezon,Hask,375 ML,Shampoo,,Higiene capilar,
FC-35231237,77827,Sh Hash Anti Comezon 375Ml,Hask Anti Comezon,Hask,375 ML,Shampoo,,Higiene capilar,
FC-92504539,77827,Cera Mod Ego Met 25 G,Ego Mod Met,Ego,25 G,Cera capilar,,Higiene capilar,
FC-38312374,77827,Cera Gel Moco De Gorila Citr 100G,Moco de Gorila Gel Citr,Moco de Gorila,100 G,Cera capilar,,Higiene capilar,
FC-35231244,77827,Sh H&S Anti Comezon 180 Ml,Head & Shoulders Anti Comezon,Head & Shoulders,180 ML,Shampoo,,Higiene capilar,
FC-35020077,77827,Sh Hbs Alivio Instant,Herbal Essences Alivio Instant,Herbal Essences,,Shampoo,,Higiene capilar,
FC-92503558,77827,Gel Ego Magnetic Fij-Alta 200 Ml,Ego Magnetic Fij-Alta,Ego,200 ML,Gel,,Cuidado personal,
FC-99425580,77827,Gel X-Extreme Titan 250G,X-Treme Titan,X-Treme,250 G,Gel,,Cuidado personal,
FC-99428024,77827,Gel Moco De Gorila Punk 80 G,Moco de Gorila Punk,Moco de Gorila,80 G,Gel,,Cuidado personal,
FC-46073040,77827,Sh Caprice Sp Biotina Fza 200Ml,Caprice Sp Biotina Fza,Caprice,200 ML,Shampoo,,Higiene capilar,
FC-46073033,77827,Sh Caprice Sp Acti Ceramida 200Ml,Caprice Sp Acti Ceramida,Caprice,200 ML,Shampoo,,Higiene capilar,
FC-54073302,77827,Silica Shine Sily Oleo Argan 120Ml,Silica Shine Sily Oleo Argan,Silica Shine,120 ML,Tratamiento capilar,,Higiene capilar,
FC-24511711,77827,Silica Shine Sily 3/1 Mora 120Ml,Silica Shine Sily 3/1 Mora,Silica Shine,120 ML,Tratamiento capilar,,Higiene capilar,
