sku,ticket,linea,nombre,lote,codigo_barras
FC-57925EF3,440393,155,REGLUSAN 50 TAB 5 MG,710026,
FC-AA7B0686,440393,156,DROSQUIM AD 1 IBE 300/160/200 ML,26DP32,
FC-B3B8F9BB,440393,157,DESROTAN 10 TAB 180 MG,RD065,
FC-EADF1484,440393,158,DIOSMINA HESPERIDINA 20 TAB 450/50 MG,C50366,
FC-262F2A30,440393,159,IRBESARTAN 14 TAB 150 MG,U25U621,
FC-1DAD5EF1,440393,160,TUSILEN AD 1 IBE 240/30/50MG/100/118 ML,2513407,
FC-BDB2E087,440393,161,IRBESARTAN 14 TAB 300 MG,U26E239,
FC-759A5EF9,440393,162,WERMY 30 CAPS 300 MG,260486,
FC-1FBF5206,IFC1-080826,1,POMADA REOMATOLUM DEL VIEJITO 60G,,
FC-2E5B7248,IFC1-080826,2,POMADA REOMATOLUM DEL VIEJITO 60G VARFAM LAVA OJOS VIDRIO ABR56 81606,,
FC-D12CA0FA,IFC1-080826,3,Producto IFC 3,,
FC-62034164,IFC1-080826,4,MERCURIO ESPIRITUS UNTAR C/25 1770823,,
FC-3676D5DC,IFC1-080826,5,MERCURIO ESPIRITUS TOMAR C/25 1760823,,
FC-5A697CC2,IFC1-080826,6,MERCURIO ACEITE OLIVO C/25 1000625 83825,,
FC-39036C88,IFC1-080826,7,MERCURIO GLICERINA C/25 1230723 83125,,
FC-DFF99C3F,IFC1-080826,8,MERCURIO JARABE DE GRANADA. C/25 1750823,,
FC-931B4809,IFC1-080826,9,MERCURIO ACEITE COCO C/25 800523 83064,,
FC-D4AC123B,IFC1-080826,10,MERCURIO ACEITE ALMENDRAS C/25 790523,,
FC-38CAFE6B,IFC1-080826,11,MERCURIO ACEITE ROMERO C/25 1910923,,
FC-926099D3,IFC1-080826,12,KOHN MERTIOLATE ROJO C/25 012023 82912,,
FC-E69F2E63,IFC1-080826,13,MADRID ACEITE EUCALIPTO C/25 2712017 83401,,
FC-25E452B6,IFC1-080826,14,MERCURIO ARNICA UNTAR C/25 1790823 83156,,
FC-127F5753,IFC1-080826,15,MERCURIO ARNICA TOMAR C/25 1780823 83156,,
FC-D3D28E20,IFC1-080826,16,MERCURIO YODO UNTAR C/25 1810623 83156,,
FC-69387811,IFC1-080826,17,MERCURIO ACEITE GOMENOLADO C/25 1160623,,
FC-A680F97E,IFC1-080826,18,MERCURIO YODO TOMAR C/25 1800823 83156,,
FC-C4530823,IFC2-080826,1,MERCURIO OXIDO DE ZINC C/50 1620824 83521,,
FC-D037156B,IFC2-080826,2,MERCURIO BISMUTO SUBNITRATO C/50 1390724,,
FC-B8D7C997,IFC2-080826,3,MERCURIO BICARBONATO SOBRES C/50,,
FC-CB5C11ED,IFC2-080826,4,MERCURIO MAGNESIA ANISADA C/50 1560824,,
FC-A871D831,IFC2-080826,5,/ 2.00 PIEZA EDIGAR PERILLA N 6 CAJA 1649 81608,,
FC-578F060C,IFC2-080826,6,MERCURIO BORAX POLVO C/50 140072483490,,
FC-FBD776D2,IFC2-080826,7,MERCURIO PERLAS DE ETER C/50 1630824,,
FC-5EF90195,IFC2-080826,8,MERCURIO FLOR DE ARNICA C/50 1430724,,
FC-9A1C64E7,IFC2-080826,9,EDIGAR PERILLA N O CAJA,,
FC-47AAF23B,IFC2-080826,10,MERCURIO SULFATIAZOL POLVO C/50 1710824,,
FC-FFC25DD1,IFC2-080826,11,EDIGAR PERILLA N 4 CAJA 1439 81608,,
FC-614E4F82,IFC2-080826,12,EDGAR PERILLA N 3 C A 1334 81608,,
FC-C22EBFE6,IFC2-080826,13,EDIGAR PERILLA N 2 CAJA 1145 81608,,
FC-BCF59548,IFC2-080826,14,EDIGAR PERILLA N 1 CAJA 1113 81608,,
FC-9507CD66,IFC2-080826,15,MERCURIO HABA ALCANFORADA C/50 1510724,,
FC-FEAECBF1,IFC2-080826,16,MERCURIO POMADA TEPEZCOHUITE C/25,,
FC-9827438F,IFC2-080826,17,MERCURIO POMADA VENENO DE ABEJA C/25,,
FC-EFB599B5,IFC2-080826,18,MERCURIO POMADA PAN PUERCO C/25 25401233,,
FC-08DB70CB,IFC2-080826,19,VELAZQUEZ BICARBONATO GRANDE 200G C/10,,
FC-89F00320,IFC2-080826,20,MERCURIO POMADA ARNICA C/25 2550123,,
FC-FD718DF3,IFC2-080826,21,MERCURIO POMADA SULFATIAZOL C/25 2600223,,
FC-0ACC5B6A,IFC2-080826,22,MERCURIO POMADA OXIDO DE ZINC C/25,,
FC-5D59ED54,IFC2-080826,23,MERCURIO CLORURO DE MAGNESIO C/10 CAJITA,,
FC-E5BA49B2,FMX-080826,1,FC 01/03/2030,7033325D,
