estado,match,sku,nombre,marca,categoria,ean,src,off_name,brands,img
"HIT","coincide","FC-08499702","Tabcin Noche C/12","Tabcin","Respiratorio","7501008499702","openfoodfacts","Tabcin noche","","https://images.openfoodfacts.org/images/products/750/100/849/9702/front_en.3.400.jpg"
"HIT","coincide","FC-61113000","Talco Desodorante ODolex","Odolex","Higiene","7501361113000","openbeautyfacts","Talco desodorante","O-Dolex","https://images.openbeautyfacts.org/images/products/750/136/111/3000/front_es.3.400.jpg"
"HIT","coincide","FC-82790016","Talco Nuvel Pura para bebé","Nuvel","Higiene","7501082790016","openbeautyfacts","Talco para bebé","Nuvel","https://images.openbeautyfacts.org/images/products/750/108/279/0016/front_es.3.400.jpg"
"HIT","coincide","FC-60101231","Tempra XT Noche","Tempra","Analgésico","7506460101231","openfoodfacts","Tempra Noche","","https://images.openfoodfacts.org/images/products/750/646/010/1231/front_es.6.400.jpg"
"HIT","coincide","FC-43454811","Toallitas Humedas Huggies Cuidado Puro","Huggies","Higiene","7501943454811","openbeautyfacts","Huggies Cuidado Puro Toallitas Húmedas","Huggies","https://images.openbeautyfacts.org/images/products/750/194/345/4811/front_es.4.400.jpg"
"HIT","coincide","FC-50003314","Unguento Bronco Rub 40 g","Bronco Rub","Respiratorio","714706800900","openfoodfacts","Bronco Rub","","https://images.openfoodfacts.org/images/products/071/470/680/0900/front_es.3.400.jpg"
"HIT","coincide","FC-02012475","Vicks Vaporub ungüento 100 G","Vicks","Botiquín","7590002012475","openfoodfacts","Vick vaporub","","https://images.openfoodfacts.org/images/products/759/000/201/2475/front_es.4.400.jpg"
"HIT","coincide","FC-02012468","Vicks Vaporub ungüento 50G","Vicks","Botiquín","7590002012468","openfoodfacts","Vick VapoRub","","https://images.openfoodfacts.org/images/products/759/000/201/2468/front_en.8.400.jpg"
"HIT","coincide","EQ-LOE096","Vidalol Plus 20 Tab 10/500 Mg","","Medicamentos","7502211786788","openfoodfacts","Viladol Plus Butilhioscina 10mg/ Paracetamol 500mg","","https://images.openfoodfacts.org/images/products/750/221/178/6788/front_en.3.400.jpg"
"MISS","http 404","FC-DE106642","AMPIGRIM INFANTIL(Metamizol + Dexametasona + Vit. B)","Ampigrin","Antibiótico","780083140939","","","",""
