archivo,par,lado,detectado,ean,todos,ok_ean
0073_b_codigo.jpg,0073,CODIGO,CODIGO,7502211780359,7502211780359,si
0074_a_portada.jpg,0074,PORTADA,PORTADA,,,
0074_b_codigo.jpg,0074,CODIGO,CODIGO,7502211788690,7502211788690,si
0075_a_portada.jpg,0075,PORTADA,PORTADA,,,
0075_b_codigo.jpg,0075,CODIGO,PORTADA,,,
0076_a_portada.jpg,0076,PORTADA,PORTADA,,,
0076_b_codigo.jpg,0076,CODIGO,CODIGO,7502274792061,7502274792061,si
0077_a_portada.jpg,0077,PORTADA,PORTADA,,,
0077_b_codigo.jpg,0077,CODIGO,CODIGO,7501537103354,7501537103354,si
0078_a_portada.jpg,0078,PORTADA,PORTADA,,,
0078_b_codigo.jpg,0078,CODIGO,CODIGO,780083141929,780083141929,si
