sku,ean,nombre,marca,stock,motivo
FC-38CAFE6B,3311000001537,Mercurio Aceite Romero,Mercurio,3,packshot_pendiente
FC-69387811,3311000001421,Mercurio Aceite Gomenolado,Mercurio,3,packshot_pendiente
FC-C4530823,3311000000936,Mercurio óxido de zinc C/50,Mercurio,3,packshot_pendiente
FC-9827438F,3311000000882,Mercurio Veneno De Abeja,Mercurio,3,packshot_pendiente
FMX-301139,7506484500539,Cintapore cinta microporosa 1.25 cm x 5 m piel,CINTAPORE,3,packshot_pendiente
FC-02045312,7503002045312,Esencia de clavo Frasco gotero Herbotec,Herbotec,3,packshot_pendiente
FC-00001612,3311000001612,Jarabe de granada Frasco 50 mL Mercurio,Mercurio,3,packshot_pendiente
FC-45720574,7502245720574,Quitaesmalte SKN · variante 574 · confirmar,SKN,3,packshot_pendiente
FC-IFC-PEI03,2008580100019,Peine para piojos de acero económico 9309,,3,ean_interno
FC-75102476,7506475102476,Gerber Etapa 2 durazno 100 g,,3,packshot_pendiente
FC-75102469,7506475102469,Gerber Etapa 2 mango 100 g,,3,packshot_pendiente
FC-89100101,7501868910010,Algodón 200 g,Dibar,2,packshot_pendiente
FC-A871D831,,Perilla N6,Edigar,2,sin_ean_no_identificado
FC-9A1C64E7,,Perilla Edigar N O Caja,Perilla,2,sin_ean_no_identificado
FC-FFC25DD1,,Perilla N4,Edigar,2,sin_ean_no_identificado
FC-614E4F82,,Perilla N3,Edigar,2,sin_ean_no_identificado
FC-C22EBFE6,,Perilla N2,Edigar,2,sin_ean_no_identificado
FC-5D59ED54,3311000000776,Mercurio Cloruro De Magnesio Cajita,Mercurio,2,packshot_pendiente
FC-C8B741F6,,FC producto botiquín,Fc,2,sin_ean_no_identificado
FC-50608272,75029650608272,Contac Ultra,Contac,2,packshot_pendiente
FC-42003469,070942003469,Gel Dental  GUM Paw Patrol,GUM,2,packshot_pendiente
FMX-301136,,Cintapore cinta microporosa piel 2.5 cm x 5 m,Cintapore,2,sin_ean_no_identificado
FC-28951141,7501289511414,Pasta Lassar Andromaco 60 g,Andromaco,2,packshot_pendiente
FC-46506181,7501846506181,Xiomara Cera Fix,Xiomara,2,packshot_pendiente
EQ-LOE111,7502211788843,Metronidazol Cent Nitro 12 Óvulos 300 Mg,Loeffler,2,packshot_pendiente
FC-53008221,855553008221,Encendedor desechable Riegel,Riegel,2,packshot_pendiente
FC-84313295,759684313295,JALOMA ATOMIZADOR 60ML MERTODOL BLANCO,Jaloma,2,packshot_pendiente
FC-CM-84900280,759684900280,Jaloma agua de rosas spray 130 ml,Jaloma,2,packshot_pendiente
FC-IFC-PINZACH,7501370204584,Pinza depilar Lady chica,Lady,2,packshot_pendiente
FC-IFC-PINZAGR,7501370204577,Pinza depilar Lady grande,Lady,2,packshot_pendiente
FC-405A75E3,,Ursodesoxicolico,Acido,1,sin_ean_no_identificado
FC-6B2ADEE9,7501109900008,Protect aerosol 200 dosis,Protect,1,packshot_pendiente
FC-DB4A39AE,,Eferox (Cefalexina),Calcio,1,sin_ean_no_identificado
FC-3E863E37,,Tratidri,Tratidri,1,sin_ean_no_identificado
FC-75069223,75069223,Rexona Sport Stick,Rexona,1,packshot_pendiente
FC-84900280,7596849002808,Jaloma Agua de Rosas,Jaloma,1,packshot_pendiente
FC-01303454,7501001303454,Pantene Control caída anticaída,Pantene,1,packshot_pendiente
FC-75064938,75064938,Desodorante Ego Force 24H roll-on,Ego,1,packshot_pendiente
FC-36033735,0378360337358,Shampoo Ricitos de Oro Agua De Coco,Ricitos de Oro,1,packshot_pendiente
FC-85800198,6195858001980,Toallitas Bebin Super,Bebin Super,1,packshot_pendiente
FC-85103015,6195851030154,Toallitas Humedas Bebin Super,Bebin Super,1,packshot_pendiente
FC-75163051,7501027516305,Mamila Evenflo Micro Air Vents,Evenflo,1,packshot_pendiente
FC-D037156B,3311000003708,Mercurio Bismuto Subnitrato,Mercurio,1,packshot_pendiente
FC-B8D7C997,3311000003715,Bicarbonato Sobres,Bicarbonato,1,packshot_pendiente
FC-CB5C11ED,3311000003425,Mercurio Magnesia Anisada,Mercurio,1,packshot_pendiente
FC-578F060C,3311000003739,Mercurio Borax Polvo,Mercurio,1,packshot_pendiente
FC-5EF90195,3311000003845,Mercurio Flor De Arnica,Mercurio,1,packshot_pendiente
FC-47AAF23B,3311000003494,Mercurio Sulfatiazol Polvo,Mercurio,1,packshot_pendiente
FC-84500522,7506484500522,Cinta micropore blanca 2.5 cm x 5 m,,1,packshot_pendiente
FC-85171118,7501685171118,Condón Sico,Sico,1,packshot_pendiente
FC-7048853,7891317048853,Melox Plus,Eurofarma,1,packshot_pendiente
FC-42507240,070942507240,GUM cera de ortodoncia menta C/5,GUM,1,packshot_pendiente
FC-74792047,7502274792047,"Voldratol Electrolitos sabor natural, sobre 27.9 g",Solfran,1,packshot_pendiente
FMX-502700,,La-Femme Capsulas C/30,,1,sin_ean_no_identificado
FMX-303091,793969285204,Piojitos Shampoo C/150 Gr,PIOJITOS,1,packshot_pendiente
