sku,ean,nombre,marca,categoria,motivo
FC-89592876,4001895928765,Tegaderm 3M 10 x 12 cm C/50,Tegaderm,Dispositivo médico,no_esta_en_nadro_ni_levic
FC-IFC-TIJ01,2008510100010,Tijera para bigote,,Cuidado personal,no_esta_en_nadro_ni_levic
FC-85800198,6195858001980,Toallitas Bebin Super,Bebin Super,Higiene,no_esta_en_nadro_ni_levic
FC-85103015,6195851030154,Toallitas Humedas Bebin Super,Bebin Super,Higiene,no_esta_en_nadro_ni_levic
FC-3E863E37,,Tratidri,Tratidri,Otro,sin_ean
FC-00315021,6502400315021,Tukol-D jarabe infantil,Tukol-D,Respiratorio,no_esta_en_nadro_ni_levic
FC-405A75E3,,Ursodesoxicolico,Acido,Gastro,sin_ean
IFC-ALCANFOR,753048936018,Velázquez alcanfor pastillas C/50 sobres,Velázquez,Botiquín,no_esta_en_nadro_ni_levic
FC-01246730,75916565,Vicks Vaporub pomada 12 g,Vicks,Botiquín,no_esta_en_nadro_ni_levic
FMX-301721,,Vita/Kid/C Jarabe C/240 Ml,,Medicamentos,sin_ean
FC-46505283,7501846505283,Xiomara Cera Mate,Xiomara,Cuidado personal,no_esta_en_nadro_ni_levic
FC-46506198,7501846506198,Xiomara cera modeladora telaraña 100 g,Xiomara,Cuidado personal,no_esta_en_nadro_ni_levic
FC-46504859,7501846504859,Xiomara Pomada B,Xiomara,Cuidado personal,descartada_nadro_no_coincide
