sku,barcode,ticket,sev,costo_ticket,costo_inv,precio_actual,precio_corr,nombre
FC-06213906,7506306213906,77827,moderado,45.83,25.83,41.33,65.00,Desod Axe Icechi E-Frio Spy 150Ml
FC-52816297,7509552816297,77827,moderado,43.58,63.05,100.88,62.00,Cra Fructis Pei Oil-R L-Coco 300Ml
FC-35469151,7702035469151,77827,moderado,34.41,15.51,24.82,49.00,Cra Lubriderm Uv Fps15 120Ml
FC-20501765,810120501765,77827,moderado,45.15,26.48,42.37,64.00,Cra Grisi Aloe Vera P/Manos 80 Mln
FC-07528939,7501007528939,77827,moderado,31.59,49.97,79.96,45.00,Cra Lubriderm Thint Psec120Ml
FC-42417644,42417644,77827,moderado,48.58,30.36,48.58,69.00,Cra Nivea Cuidado Int P/Mano 75Ml
FC-95129166,7506195129166,77827,moderado,53.19,70.91,113.46,75.00,Cep Dent Oral-B 3Dw Advant Med2X1
FC-89100101,75018689100101,FL-080826,moderado,35.30,17.65,28.24,53.00,Algodon Dibar 200 Gr Dibak 2 $ 35.30 Descto: 2.0% $ 34.59 70
FC-49824911,75022149824911,FL-080826,moderado,48.60,31.03,49.65,69.00,Cond Prudence Iva C/3 Dki Mexico S Cond Prudence Iva C/3 Mex
FC-20501673,810120501673,77827,moderado,42.25,59.81,95.70,60.00,Cra Hinds Liq Agave Azul 400Ml
FC-93025919,7791293025919,77827,moderado,62.83,45.83,73.33,88.00,Desod Axe Excite Seco Spy 152Ml
FC-46059556,7509546059556,77827,moderado,35.61,52.29,83.67,50.00,Jbn Liq Palmol N-Bal Dermol 221Mln
FC-27286017,7501027286017,77827,moderado,29.55,45.83,73.33,42.00,Desod Obao Clas R-On 65G
FC-35020008,7500435020008,77827,moderado,73.76,57.90,92.64,104.00,Sh Hbs Limp Renoy 375Ml
FC-35169035,7500435169035,77827,moderado,57.90,73.76,118.02,82.00,Mousse Herbal Ess Rizo 200G
FC-58792792,7501058792792,FL-080826,moderado,59.90,45.60,0.00,96.00,Tempra 24 Hrs Cab C/12 Rb Health $ Tempra 24 Hrs Cab C/12 13
FC-26462078,7501026462078,77827,moderado,61.02,47.79,76.47,83.00,Ternura Flor-Balon 18 Pzs Chupon Con Miel
FC-92511261,7506192511261,77827,moderado,41.84,29.31,46.90,59.00,Cra Nutribela1O Bio Colageno 300Gn
FC-31244486,7702031244486,77827,moderado,31.59,43.59,69.75,45.00,Cra Lubriderm P/Normal 120Ml
FC-82790504,7501082790504,77827,moderado,27.75,16.70,26.72,39.00,Desmaq Bifasico Oil Nuvel 125Ml
FC-85800198,619585800198,77827,moderado,26.20,36.30,58.08,35.00,Tas Hum Th Bebin Super C/80
FC-06249226,7506306249226,77827,moderado,40.66,50.07,80.12,57.00,Sh Savile Bio-Sab Creci Res 700Ml
FC-36041402,037836041402,77827,moderado,39.90,31.59,50.55,56.00,Cra Hinds Hidr-Extr Almendras 500Ml
FC-38312374,7501438312374,77827,moderado,32.34,24.91,39.86,46.00,Cera Gel Moco De Gorila Citr 100G
FC-84900280,759684900280,77827,moderado,16.87,23.79,38.07,24.00,Jaloma Agua De Rosas 130Ml Spray
FC-86494262,7501086494262,77827,moderado,15.51,8.60,13.76,22.00,Cep Dent Oral-B Indicat35Sve
FC-99428024,7501199428024,77827,moderado,14.15,7.37,11.80,20.00,Gel Moco De Gorila Punk 80 G
FC-48690800,7501048690800,77827,moderado,14.42,21.14,33.83,22.00,Protec Tensolastic Plus 5Cmx5M Venda Elasti
FC-22150801,7501022150801,77827,moderado,21.72,15.02,24.04,31.00,Jbn Grisi Avena 125G
FC-35231244,7500435231244,77827,moderado,24.91,18.39,29.43,35.00,Sh H&S Anti Comezon 180 Ml
FC-48691005,7501048691005,77827,moderado,26.48,20.02,32.04,40.00,Protec Tensolastic Plus 10Cmx5M Venda Elast
FC-46072050,7509546072050,77827,moderado,26.30,20.80,33.28,37.00,Sh Mennen Miel-Mza Sve 200Ml
FC-21012303,7502221012303,77827,moderado,9.43,14.78,23.65,14.00,Tas Hum Claris Desmaq Aloe C/40
FC-07502441,7501007502441,77827,moderado,15.51,20.65,33.04,22.00,Jbn Johnson
FC-46683133,7509546683133,77827,moderado,13.07,8.96,14.34,19.00,Jbn Palmol N-Bal Dermo Limp 120G
FC-99425580,7501199425580,77827,moderado,11.31,7.37,11.80,16.00,Gel X-Extreme Titan 250G
FC-19006371,7501019006371,77827,moderado,10.17,7.21,11.54,15.00,Tas Sanit Saba Inv Alas C/10
FC-06248052,7506306248052,77827,menor,167.69,147.30,235.69,235.00,Deo Aero Dove Tono Uniforme 150Ml 3Pack
FC-06248045,7506306248045,77827,menor,147.30,129.46,207.14,207.00,Deo Dove Spy Invisible Dry 150Ml C3
FC-06244795,7506306244795,77827,menor,45.83,54.68,87.49,65.00,Desod Axe Intense 48H Spy 150Ml
FC-93038223,7791293038223,77827,menor,54.68,45.83,73.33,77.00,Desod Rexona Men Sport Spy 150Ml
FC-93037806,7791293037806,77827,menor,54.68,62.83,100.53,77.00,Desod Rexona Men Marine Spy 150Ml
FC-56340124,7501056340124,77827,menor,50.07,57.90,92.64,71.00,Cra Sedal Sos Ceramida 300Ml
FC-93025797,7791293025797,77827,menor,45.83,53.50,85.60,65.00,Desod Axe Men Dark Temp Spy150Ml
FC-75062897,75062897,77827,menor,53.50,45.83,73.33,75.00,Desod Rexona Bamboo 48H Stick 45G
FC-49824391,75022149824391,FL-080826,menor,41.31,48.60,77.77,56.00,Retardante C/3 Descto: 9.0% [7502214985348] Cond Prudence 
FC-60101378,7506460101378,FL-080826,menor,102.50,96.35,0.00,164.00,Lubricante Piel Con Piel 50 Mi Health 1 $ 102.50 Lubricante 
FC-24511636,7502224511636,77827,menor,44.76,50.51,80.82,63.00,Silica Shine Sily 3/1 Naran 12Cml
FC-01015141,75064601015141,FL-080826,menor,83.50,78.49,0.00,134.00,Soft Lub Lubricante Original 56.7 Soft Lubricante Original
FC-52844825,7509552844825,77827,menor,24.95,29.55,47.28,35.00,Desod Obao R-Nat Coco R-On 65G
FC-14704163,7501314704163,FL-080826,menor,63.40,58.96,0.00,102.00,Supos Ine C/10 Descto: 7.0% Senosiain Supos C/10 Senosiain
FC-14985805,7502214985805,FL-080826,menor,48.60,44.23,70.77,69.00,Cond Prudence Chicle C/E Idkt Cond Prudence Chicle
FC-23272151,75060223272151,FL-080826,menor,217.20,212.86,276.72,326.00,Jeringa Sensimedical Insul 0.3 Ml C/100 | Jayor 1 $ Jeringa 
FC-22111352,7501022111352,77827,menor,39.94,35.61,56.98,56.00,Jbn Grisi Corp Diabecare 125 G
FC-61123009,7501361123009,77827,menor,28.10,23.99,38.39,38.00,Odolex Naturals 300Gr Talco Desodorante
FC-06249240,7506306249240,77827,menor,40.66,44.76,71.62,57.00,Sh Savile Ker-Sab Fza Repar 700Ml
FC-49853867,75022149853867,FL-080826,menor,45.40,41.31,66.10,64.00,Cond Prudence Extra Pleasure C/3 Dkt Cond Prudence Extra Ple
FC-40013898,650240013898,77827,menor,30.36,26.30,42.09,43.00,Cra Teatrical Lanol/Ros 52Gr
FC-22133286,7501022133286,77827,menor,66.93,70.91,113.46,94.00,Sh Grisi Rici Oro Miel 250Ml
FC-01165321,7501001165321,77827,menor,75.70,71.80,114.88,103.00,Acond Pant Rizos Definid 400Ml
FC-61113000,7501361113000,77827,menor,28.10,31.77,50.84,40.00,Tco Desod Odolex
FC-93022567,7791293022567,77827,menor,54.68,51.50,82.40,77.00,Desod Rexona Men V8 Tun Spy 90G
FC-49824771,75022149824771,FL-080826,menor,34.10,31.03,49.65,47.00,Fresa C/3 I Dkt Descto: 9.0% Cond Prudence Fresa I Dkt Cond 
FC-08427330,7501008427330,FL-080826,menor,134.50,131.81,0.00,216.00,Pomada 100 Gr Descto: 2.0% Bepanthen Pomada Bepanthen
FC-08491074,7501008491074,FL-080826,menor,124.80,122.30,0.00,163.00,Aspirina Tab 80 2 Paci Bayer Onc 1 $ 124.80 Aspirina Tab 80 
FC-52933307,7509552933307,77827,menor,27.19,24.71,39.54,39.00,Desod Obao Game 48Hr R-On 65G N
FC-48691104,7501048691104,77827,menor,38.31,40.68,65.09,58.00,Protec Tensolastic Plus 15Cmx5M Venda Elast
FC-92506601,7506192506601,77827,menor,20.02,17.98,28.77,29.00,Gel Ego For Men Attraction 200 Ml
FC-56342227,7501056342227,77827,menor,9.08,8.24,13.19,13.00,Cra Sedal Rizos Obedientes 135Ml
