pagina,ean,cantidad,descripcion,precio_unitario,subtotal
4,7501082740011,1,QUITA ESM NUVEL HUMEC 125ML,14.080,14.08
4,7509552910971,1,CRA FRUCTIS PEI B-DANO QUIM 300ML,43.580,43.58
4,7509552816297,1,CRA FRUCTIS PEI OIL-R L-COCO 300ML,43.580,43.58
4,7502276040436,1,DEO MEXSANA P/PIES SPY 150ML,78.220,78.22
4,650240025839,1,SH INT LOMECAN V 200ML,63.050,63.05
4,7501035919129,1,SH PALMOL OPT EXT INT 400 ML,49.290,49.29
4,650240030338,1,SH INT LOMECAN V ACLAR 200ML,70.920,70.92
4,7502245720550,1,SILKHAIR QUITA ESMALTE MORA AZUL 100ML,17.200,17.20
4,7506192511261,1,CRA NUTRIBELA10 BIO COLAGENO 300GN,41.840,41.84
4,7506192509213,1,CRA NUTRIBELA NUTRICI TARRO 300G,41.840,41.84
5,7509546073118,1,SH CAPRICE SP ACTI CERAMIDA 380ML,29.310,29.31
5,7506306257597,1,REXONA 100GR TCO PIES EFFICIENT ORIG,40.240,40.24
5,7509546073156,1,SH CAPRICE NAT MZNA 380 ML,29.310,29.31
5,810120500171,2,CRA PERT OLIV+AC AGU P/PEIN 100 ML,14.800,29.60
5,7500435155922,1,AC PANTENE BAMBU 400ML,75.700,75.70
5,7501056340117,1,CRA SEDAL LISO PERFECT 300ML,50.070,50.07
5,7501007457826,1,ACOND PANT BRILLO EXTREMO 400ML,75.700,75.70
5,7501056340131,1,CRA SEDAL RIZOS OBEDIE 300ML,50.070,50.07
5,7501001165321,1,ACOND PANT RIZOS DEFINID 400ML,75.700,75.70
5,7506306249783,1,SH SEDAL RIZOS DEF INF-ACT 180ML,19.110,19.11
5,7501056360429,1,TCO DESOD EFICC PIES 200 G,71.800,71.80
5,7501056340025,1,CRA SEDAL SOS RECON-ESTRU 300ML,50.070,50.07
5,7501056342227,2,CRA SEDAL RIZOS OBEDIENTES 135ML,18.165,36.33
5,7506306249776,1,SH SEDAL CERAMIDAS INF-ACT 180ML,18.880,18.88
5,7506306237407,1,SH SEDAL CO-CREAT CERAMIDAS 190ML,16.480,16.48
5,7501007457796,1,SH PANT BRILLO EXTREMO 400 ML,75.700,75.70
5,7501001303464,1,SH PANT CTRLCAIDA A/PV 400ML,75.700,75.70
5,7500435155847,1,SH PANT BAMBU CTRL CAIDA 400 ML,75.700,75.70
5,7506306249240,1,SH SAVILE KER-SAB FZA REPAR 700ML,40.660,40.66
5,7506306249226,1,SH SAVILE BIO-SAB CRECI RES 700ML,40.660,40.66
5,7502224511629,1,SILICA SHINE SIL 3/1 UVA 120 ML,44.760,44.76
5,7506306234062,1,CRA SEDAL ANTI NUDOS 300 ML,50.070,50.07
5,7501056342258,1,CRA SEDAL RECONS ESTRUCTUR 135ML,18.170,18.17
5,7501361111501,1,TCO DESOD ODOLEX 150 G,17.770,17.77
5,7501361124013,1,TCO ODOLEX FRESH 150G,17.770,17.77
6,7501056340124,1,CRA SEDAL SOS CERAMIDA 300ML,50.070,50.07
6,7500435020008,1,SH H&S LIMP RENOV 375ML,73.760,73.76
6,7500435169035,1,MOUSSE HERBAL ESS RIZO 200G,57.900,57.90
6,7500435168991,1,MOUSSE HERBAL ESS EXTR CONT 200G,67.000,67.00
6,7500435231237,1,SH H&S ANTI COMEZON 375ML,73.760,73.76
6,7506192504539,1,CERA MOD EGO WET 25 G,19.280,19.28
6,7501438312374,1,CERA GEL MOCO DE GORILA CITR 100G,32.340,32.34
6,7500435231244,1,SH H&S ANTI COMEZON 180 ML,36.730,36.73
6,7500435020077,1,SH H&S ALIVIO INSTANT 180ML NOV26,24.910,24.91
6,7506192503358,1,GEL EGO MAGNETIC FIJ-ALTA 200 ML,18.390,18.39
6,7501199425580,2,GEL X-EXTREME TITAN 250G,22.615,45.23
6,7501199428024,2,GEL MOCO DE GORILA PUNK 80 G,28.305,56.61
6,7509546073040,1,SH CAPRICE SP BIOTINA FZA 200ML,14.730,14.73
6,7509546073033,1,SH CAPRICE SP ACTI CERAMIDA 200ML,14.730,14.73
6,7502254073302,1,SILICA SHINE SILY OLEO ARGAN 120ML,45.260,45.26
6,7502224511711,1,SILICA SHINE SILY 3/1 MORA 120ML,45.260,45.26
6,7502224511636,1,SILICA SHINE SILY 3/1 NARAN 120ML,44.760,44.76
6,75001865,1,BRILL PALMOL LIQ 115ML,46.640,46.64
6,7509546655055,1,MOUSSE CAPRICE VOLUM-CTRL 200 G,50.510,50.51
6,7506306247468,1,GEL EGO FRESH C-CAS FIJ-ALT 200ML,17.540,17.54
6,7506192506601,1,GEL EGO FOR MEN ATTRACTION 200 ML,20.020,20.02
6,7501086494262,2,CEP DENT ORAL-B INDICAT35SVE,31.020,62.04
6,7506192506045,1,CERA EGO FIRME MATTE 25 G,17.980,17.98
6,759684431050,1,ACETONA JALOMA 60 ML,11.530,11.53
6,7502245720567,1,SILKHAIR QUITA ESMALTE COCO 100 ML,17.200,17.20
7,759684437151,1,ACETONA JALOMA 120 ML,19.770,19.77
7,7501048640775,1,PROTEC 10CMX2.75M 1 PZA VENDA DE YESO C12 PZS,18.050,18.05
7,7501048640799,1,PROTEC 15CMX2.75M 1 PZA VENDA DE YESO C12 PZS,24.840,24.84
7,7501048640829,1,PROTEC 20CMX2.75M 1 PZA VENDA DE YESO C12 PZS,40.280,40.28
7,7501048640751,1,PROTEC 5CMX2.75M 1 PZA VENDA DE YESO C12 PZS,14.530,14.53
7,7501026462078,1,TERNURA FLOR-BALON 18 PZS CHUPON CON MIEL,61.020,61.02
7,7501054500216,1,CRA NIVEA SDATARR GIGA 400ML,147.150,147.15
7,75064938,2,DESOD EGO FORCE 24H R-ON 45ML DIC26,23.895,47.79
7,810120501673,1,CRA HINDS LIQ AGAVE AZUL 400ML,42.250,42.25
7,4005808802838,1,CRA NIVEA B SOFMILK SEC400ML,84.490,84.49
7,7509546682815,2,DESOD SPEED SENSITIVE PRO SPY 91G SEP26,29.905,59.81
7,037836040450,1,CRA GRISI CONCHNAC P/MANOS 80 ML,43.630,43.63
7,7501056330309,1,CRA CLARANT B3 NML/GSA 100G,72.300,72.30
7,42270027,1,CRA NIVEA CUIDADA CLAR-NAT 200ML,86.770,86.77
7,4005900942760,1,GEL NIV FAC REF HIDRA HYALU 200ML,105.350,105.35
7,7501054558682,1,CRA CORP NIVEAMILK 400ML+CRA100ML,85.870,85.87
7,650240030963,1,CRA TEATRICAL CEL-MA NUTRIT 400ML,62.250,62.25
7,7501026462061,1,CHUPON TERNURA ORTODONTIC MIEL C3,22.300,22.30
7,7702035469151,1,CRA LUBRIDERM UV FPS15 120ML,34.410,34.41
7,037836032776,1,SH GRISI RICITOS ORO BIOPURE 250ML,74.310,74.31
7,7501007502441,1,JBN JOHNSON'S BABY ANTES/DOR 75 G,15.510,15.51
7,7509546655079,2,JBN PALMOL N-BAL CORP BABY0% 90G,14.980,29.96
7,7501082790016,1,TCO NUVEL PROTEC PURA PARA BEBE200G,20.650,20.65
7,037836041402,1,CRA HINDS HIDR-EXTR ALMENDRAS 500ML,39.900,39.90
8,7501007528939,1,CRA LUBRIDERM THINT PSEC120ML,31.590,31.59
8,7702031244486,1,CRA LUBRIDERM P/NORMAL 120ML,31.590,31.59
8,037836041273,1,HINDS ROSA 400ML CREMA CORPORAL,49.970,49.97
8,7509546074504,1,SH MENNEN ZERO% SVE 400ML,43.590,43.59
8,037836033735,1,SH RICITOS ORO AGUA DE COCO 250ML,42.340,42.34
8,7509546650708,1,SH MENNEN LAVAN-EXTRAC AVEN 200ML,26.300,26.30
8,7501022133286,1,SH GRISI RICI ORO MIEL 250ML,66.930,66.93
8,7501086472048,2,CEP DENT ACCION MAYO ALCAN 60MED,26.995,53.99
8,7896009498091,1,SENSODYNE PROTEC COMPLET + ACC LIM EFEC 90G HALEON,70.910,70.91
8,7506195129166,1,CEP DENT ORAL-B 3DW ADVANT MED2X1,53.190,53.19
8,42417644,1,CRA NIVEA CUIDADO INT P/MANO 75ML,48.580,48.58
8,7896009419324,1,CD SENSODYNE ORIGINAL 90G,70.910,70.91
8,650240013898,1,CRA TEATRICAL LANOL/ROS 52GR,30.360,30.36
8,7501054549819,1,CRA CORP NIV SOFT M P/SECA 100ML,26.380,26.38
8,7501017360604,2,TAS SAN KOTEX ANT FLUJO ABUNDANTE S/A 10PZ,21.210,42.42
8,7509546072050,1,SH MENNEN MIEL-MZA SVE 200ML,26.300,26.30
8,7501022150221,1,JBN RICITOS D ORO NEUTRO 90 G,20.800,20.80
8,810120501765,1,CRA GRISI ALOE VERA P/MANOS 80 MLN,45.150,45.15
8,7501056326142,1,CRA S PONDS HUMECTANTE 100G,59.360,59.36
8,7501048691005,1,PROTEC TENSOLASTIC PLUS 10CMX5M VENDA ELASTICA,26.480,26.48
8,7702031976394,1,ENJ BUC LIST ANTICARI-AL 250ML,63.530,63.53
8,7501943427754,2,TAS SANIT KOTEX NAT FLEX NOCT C/5,10.010,20.02
8,650240013850,1,CRA TEATRICAL SOLIDAC/LANO52G,30.020,30.02
8,7702031887928,1,ENJ BUC LIST CARE ZERO MTA 250ML,63.530,63.53
8,7501054503095,1,CRA NIVEA SDA TARRO 100 ML,60.750,60.75
9,619585800198,1,TAS HUM TH BEBIN SUPER C/80,26.200,26.20
9,7501072629012,1,CEP DENT CLINIC ADULTO MED 40 C12,96.630,96.63
9,7891010974329,1,ENJ BUC LIST ZERO MTA SVE 250ML,54.060,54.06
9,4005900701992,1,NIVEA 75ML CRA P/MANOS 3EN1 ANT-ARRUGAS,36.300,36.30
9,7509546655727,1,JBN MENNEN BABY MAGIC LAVAN 90 G,12.970,12.97
9,7501035908116,1,TCO MENNEN AZUL 100G,38.180,38.18
9,7501035908130,1,TCO MENNEN AZUL 200G,69.190,69.19
9,7501048691104,1,PROTEC TENSOLASTIC PLUS 15CMX5M VENDA ELASTICA,38.310,38.31
9,7501035908147,1,TCO MENNEN ROSA 200G,69.190,69.19
9,7501019006371,2,TAS SANIT SABA INV ALAS C/10,20.340,40.68
9,619585103015,1,BEBIN SUPER 40PZS TOALLITAS HUMEDAS,13.320,13.32
9,7501048690800,1,PROTEC TENSOLASTIC PLUS 5CMX5M VENDA ELASTICA,14.420,14.42
9,7794640171550,1,C D SENSODYNE RAPIDO ALIVIO 100G,106.440,106.44
9,7501048690909,1,PROTEC TENSOLASTIC PLUS 7CMX5M VENDA ELASTICA,21.140,21.14
