pagina,clave,cantidad,unidad,precio_unitario,descuento,subtotal,descripcion,lote,caducidad
5,506385,1.00,pza,155.00,15.50,139.50,JERINGA-SENSIMEDICAL 3 ML 22X32 C/100 NEGRA,2506885602,2030-06-01
5,503712,2.00,pza,30.36,0.00,60.72,SOLUCION-PISA CS 0.9 C/250 ML,P26F301,2028-02-01
5,302168,1.00,pza,25.21,0.00,25.21,VENDA/STICK 5 CM X 4.5 M C/1 AZUL,221205-1,2027-12-01
5,307658,1.00,pza,204.96,0.00,204.96,JERINGA-SENSIMEDICAL 20 ML 21X32 C/50 VERDE,2512962201,2030-12-13
5,307657,1.00,pza,241.72,24.17,217.55,JERINGA-SENSIMEDICAL 10 ML 22X32 C/100 NEGRA,2504864301,2030-04-01
5,300644,1.00,pza,160.56,0.00,160.56,GUANTE/ESTERIL-PROTEC CLASICO C/100 MEDIANO,1A12505,2030-12-01
5,506389,1.00,pza,164.51,16.45,148.06,JERINGA-SENSIMEDICAL 5 ML 21X32 C/100 VERDE,2503853712,2030-03-01
5,506388,1.00,pza,155.00,15.50,139.50,JERINGA-SENSIMEDICAL 3 ML 21X32 C/100 VERDE,2506885503,2030-06-06
5,506386,1.00,pza,164.51,16.45,148.06,JERINGA-SENSIMEDICAL 5 ML 22X32 C/100 NEGRA,2504864004,2030-04-15
6,504321,100.00,pza,0.55,0.00,55.00,AGUJA-HIPODERMICA-SENSIMEDICAL 22 G X 32 MM C/1 NEGRO,2411816005,2029-11-01
