pagina,ean,descripcion,laboratorio,cantidad,precio_lista,importe_bruto,descuento_pct,precio_neto,importe_neto
8,7502227426449,NESAJAR CAPS C/16,GELPHARMA,2,116.60,233.20,2.0,114.27,228.54
8,7502208892355,IV CILOCID 5 MG TAB C/20,BRULUART,4,7.40,29.60,2.0,7.25,29.01
8,7501314704187,SENOSIAIN SUPOS BEBE C/10,SENOSIAIN OTC,1,63.40,63.40,7.0,58.96,58.96
8,7501537103422,TRIBEDOCE DX AMP C/3,BRULUART,2,58.00,116.00,2.0,56.84,113.68
8,7501125116810,AGRIFEN TAB C/10,LAB PISA,5,19.50,97.50,2.0,19.11,95.55
8,7500435246309,VICK DROPS JENGIBRE PASTILLAS C/20,PG OTC,1,38.30,38.30,2.0,37.53,37.53
8,7502234764053,NAILEX RECUPERADOR UNA AMARILLA 15 ML,LAB PISA,1,55.60,55.60,2.0,54.49,54.49
9,7891317048853,MELOX MENTA TAB C/50,EUROFARMA,1,135.00,135.00,2.0,132.30,132.30
9,7501088505003,IV ALIN AMP 2 ML,CHINOIN,1,70.20,70.20,2.0,68.80,68.80
9,7501298281209,SEDALMERCK TAB C/20,PG HEALTH,1,80.95,80.95,2.0,79.33,79.33
9,7501057002663,LOMOTIL TAB C/8,JOHNSON JOHNSON,1,122.00,122.00,2.0,119.56,119.56
9,7501008409541,SARIDON TAB C/20,BAYER OTC,1,64.75,64.75,2.0,63.46,63.46
9,7501088509766,ANTIFLU-DES JR. JBE INF 60 ML,CHINOIN,1,127.90,127.90,2.0,125.34,125.34
9,7501050624732,AFRIN SPRAY NO DRIP EXTRA HUMECTANTE,BAYER OTC,1,112.00,112.00,2.0,109.76,109.76
9,7501008497340,FLANAX 550 MG TAB C/12,BAYER OTC,2,203.00,406.00,10.0,182.70,365.40
9,7501088505126,IV NEURALIN AMP,CHINOIN,1,150.00,150.00,2.0,147.00,147.00
9,7501008426944,FLANAX GEL 40 GR 5.5%,BAYER OTC,1,119.50,119.50,2.0,117.11,117.11
9,7501298217635,IV DOLO-NEUROBION DC FTE JGA PRELL C/1,PG HEALTH,3,329.20,987.60,17.0,273.24,819.71
9,7501123013302,IV BEDOYECTA TRI AMP 50.000,BAUSCH LOMB MEXICO,1,279.00,279.00,2.0,273.42,273.42
9,7501123013340,BEDOYECTA TAB C/30,BAUSCH LOMB MEXICO,1,181.50,181.50,2.0,177.87,177.87
9,7501298217659,IV DOLO-NEUROBION DC JGA PRELL C/3 3 ML,PG HEALTH,1,523.25,523.25,17.0,434.30,434.30
9,7509546688817,CREMA DENT COLGATE MAX CLEAN 120 ML,COLGATE PALMOLIVE,2,25.50,51.00,2.0,24.99,49.98
9,7509546687353,CREMA DENT COLGATE MFP 90 ML,COLGATE PALMOLIVE,2,33.10,66.20,2.0,32.44,64.88
9,7501048670802,TERMOMETRO DIGITAL PROTEC,DEGASA,2,42.10,84.20,2.0,41.26,82.52
10,7503003406600,TELA ADHESIVA QUIRMEX 2.5CMX5M,QUIRMEX,3,29.90,89.70,2.0,29.30,87.91
10,7503003406501,TELA ADHESIVA QUIRMEX 1.25CMX5M,QUIRMEX,3,19.00,57.00,2.0,18.62,55.86
10,7503003406365,TELA ADHESIVA QUIRMEX 2.5CMX1M,QUIRMEX,5,11.70,58.50,2.0,11.47,57.33
10,7503003406242,TELA ADHESIVA QUIRMEX 1.25CMX1M,QUIRMEX,5,5.40,27.00,2.0,5.29,26.46
10,7509546068909,CREMA DENT COLGATE TRIP ACC XTRA B 50 ML,COLGATE PALMOLIVE,2,14.00,28.00,2.0,13.72,27.44
10,7509546657851,CEPILLO COLGATE PREMIER CLEAN C/6,COLGATE PALMOLIVE,1,66.30,66.30,2.0,64.97,64.97
10,7501017362998,PAÑUELOS KLEENEX PACK C/8,KIMBERLY CLARK,2,33.30,66.60,2.0,32.63,65.27
10,7506425613168,PAÑUELOS KLEENEX C/90,KIMBERLY CLARK,3,25.40,76.20,2.0,24.89,74.68
10,7501027573773,BIB EVENFLO ENSUENO 8OZ,KIMBERLY CLARK,2,15.80,31.60,2.0,15.48,30.97
10,7509546000985,CREMA DENT COLGATE TRIPLE ACC 75 ML,COLGATE PALMOLIVE,2,19.20,38.40,2.0,18.82,37.63
10,7506022327345,JERINGA SENSIMEDICAL INSUL 0.5 ML C/100,JAYOR,1,217.20,217.20,2.0,212.86,212.86
10,7501027516305,BIB EVENFLO ENSUENO AZUL 8OZ,KIMBERLY CLARK,1,15.80,15.80,2.0,15.48,15.48
10,7501027512574,BIB EVENFLO COLORS 8 OZ,KIMBERLY CLARK,3,15.80,47.40,2.0,15.48,46.45
10,7501027512581,BIB EVENFLO COLORS 4 OZ,KIMBERLY CLARK,3,13.40,40.20,2.0,13.13,39.40
10,7702010631207,CEPILLO COLGATE DENTAL TRIP ACC 2X1,COLGATE PALMOLIVE,2,24.70,49.40,2.0,24.21,48.41
10,7503003406785,TORUNDA DE ALGODON QUIRMEX 75 GR,QUIRMEX,2,17.90,35.80,2.0,17.54,35.08
