linea,folio,fecha,proveedor,ean,descripcion_ticket,cantidad,precio_unitario,subtotal,lote,caducidad,sku_farmacapital,total_ticket,match
21,12912,2026-09-05,Farmalive,650240071775,JABON NORDIKO ORIGINAL 130 GR NVO | GENOMMA LAB,1,10.780,10.78,,,,3180.61,ticket
22,12912,2026-09-05,Farmalive,650240071799,JABON NORDIKO ICY BLAST 130 GR | GENOMMA LAB,1,15.580,15.58,,,,3180.61,ticket
23,12912,2026-09-05,Farmalive,650240052545,XL-3 TAB C/10 | GENOMMA LAB,1,30.380,30.38,,,,3180.61,ticket
24,12912,2026-09-05,Farmalive,7506376000260,CRE VITACILINA FACIAL ACLARADO 100 GR | KSK,2,77.030,154.06,,,,3180.61,ticket
25,12912,2026-09-05,Farmalive,7502250342570,VITACILINA SERUM FAC VITAMINA C 30ML | KSK,1,117.890,117.89,,,,3180.61,ticket
26,12912,2026-09-05,Farmalive,7502250342563,VITACILINA SERUM FAC COLAGENO 30ML | KSK,1,117.890,117.89,,,,3180.61,ticket
27,12912,2026-09-05,Farmalive,7502250343102,CRE VITACILINA FACIAL MELATONINA 100 GR | KSK,1,110.250,110.25,,,,3180.61,ticket
28,12912,2026-09-05,Farmalive,650240013805,ALLIVIAX 550 MG TAB C/10 | GENOMMA LAB,3,59.290,177.87,,,,3180.61,ticket
29,12912,2026-09-05,Farmalive,7501065628121,POMADA DE LA CAMPANA 19 GR | GENOMMA LAB,2,15.975,31.95,,,,3180.61,ticket
30,12912,2026-09-05,Farmalive,7501065628145,POMADA DE LA CAMPANA 35 GR | GENOMMA LAB,2,23.910,47.82,,,,3180.61,ticket
31,12912,2026-09-05,Farmalive,7501007532363,DRAMAMINE TAB C/24 | JOHNSON JOHNSON,1,154.840,154.84,,,,3180.61,ticket
32,12912,2026-09-05,Farmalive,7702018001071,RAST GILLETTE MACH3 C/1 | PG PERF,1,117.600,117.60,,,,3180.61,ticket
33,12912,2026-09-05,Farmalive,037836041389,CRE HINDS ALMENDRAS 90 ML | GRISI HNOS,1,17.640,17.64,,,,3180.61,ticket
34,12912,2026-09-05,Farmalive,037836041297,CRE HINDS INSPIR RESECA 90 ML | GRISI HNOS,1,17.640,17.64,,,,3180.61,ticket
35,12912,2026-09-05,Farmalive,037836041341,CRE HINDS NAT RESECA 90 ML | GRISI HNOS,1,17.640,17.64,,,,3180.61,ticket
36,12912,2026-09-05,Farmalive,7702018874781,RAST GILLETTE PRESTOBARBA3 MUJER 2PACK | PG PERF,1,41.940,41.94,,,,3180.61,ticket
37,12912,2026-09-05,Farmalive,7702018874729,RAST GILLETTE PRESTOBARBA3 HOMBRE 2PACK | PG PERF,1,65.170,65.17,,,,3180.61,ticket
38,12912,2026-09-05,Farmalive,7501125149221,ELECTROLIT FRESA-KIWI 625 ML | LAB PISA,1,20.090,20.09,,,,3180.61,ticket
39,12912,2026-09-05,Farmalive,7501125174797,ELECTROLIT MORA AZUL 625 ML | LAB PISA,2,20.090,40.18,,,,3180.61,ticket
40,12912,2026-09-05,Farmalive,7501125144851,ELECTROLIT UVA 625 ML | LAB PISA,2,20.090,40.18,,,,3180.61,ticket
41,12912,2026-09-05,Farmalive,7501125104268,ELECTROLIT FRESA 625 ML | LAB PISA,1,20.090,20.09,,,,3180.61,ticket
42,12912,2026-09-05,Farmalive,650240007651,BIO ELECTRO TAB C/24 | GENOMMA LAB,4,39.208,156.83,,,,3180.61,ticket
