pagina,codigo_prov,descripcion,lote,caducidad,cantidad,precio_lista,costo_unitario,subtotal,total
34,SON113,RIDIN PED 1 JBE 3.5/3.5/2.5MG/5/120 ML,26030795,2028-03-01,2,175.00,26.62,53.24,53.24
35,SON231,EXHANTIL 1 SUSP 3.70/4.5G/320 ML,26061512,2029-06-30,2,219.00,33.00,66.00,66.00
35,LOE123,DIOTEXONA 1 GOTERO 10G/100/30 ML,R2511440,2027-11-01,1,194.76,38.87,38.87,38.87
35,SON258,BABYSONS 1 CMA 5G/30 G,25102952,2027-10-01,1,160.00,21.55,21.55,21.55
35,MAV279,PAMEDAN 1 CMA 5% 30 G,261562,2028-03-01,1,117.00,19.53,19.53,19.53
35,NOV049,ALUMAG 1 SUSP 4/3.7G/240 ML,020036,2028-04-01,2,62.00,23.77,47.54,47.54
35,QUI018,LECHE MAGNESIA NORMEX 1 SUSP 8.5G/360,26B099,2028-01-31,1,198.00,41.82,41.82,41.82
35,QUI017,LECHE MAGNESI NORMEX 1 SUSP 8.5G/180 ML,25M0BB,2027-11-30,1,124.56,26.67,26.67,26.67
35,NOV090,NINEKA 1 SUSP 500/36/35MG/5/75 ML,460056,2028-04-01,2,80.00,23.45,46.90,46.90
35,MAV363,CULMINAX ADULTO 1 SOL 375 MG/S/150 ML,261984,2028-04-01,1,255.00,50.05,50.05,50.05
35,MAV401,DEXPANTENOL 1 CMA 5% 30 G,252304,2027-05-01,2,105.00,14.12,28.24,28.24
35,GEP053,GROOBE 24 CAPS 50 MG,260729,2028-03-01,1,85.51,30.31,30.31,30.31
35,BIO149,LOZAMIR V C/3 APLICS 1 CMA 2% 20G,CB2607,2028-02-01,3,173.00,22.71,68.13,68.13
35,MAV377,CULMINAX INFANTIL 1 SOL 250 MG/5/150 ML,261981,2028-04-01,1,201.00,40.24,40.24,40.24
36,BIO109,BROMHEXINA INF 1 SUSP 80MG/100 ML,LC2605,2028-03-01,1,103.00,17.11,17.11,17.11
36,SAN007,CALTRON 600+D 60 TAB 600MG /125 UI,26540138,2028-05-25,1,450.00,106.37,106.37,106.37
36,BIO108,BROMHEXINA AD 1 SUSP 160MG/100 ML,LC2607,2028-03-01,1,106.00,17.59,17.59,17.59
36,BIO146,BIOBEND 1 SOL .15G/360 ML,LD2619,2028-04-01,2,272.00,39.49,78.98,78.98
36,DEG175,HIDRIGORT 8 TAB 50 MG,477AA,2028-05-31,2,82.57,10.11,20.22,20.22
36,ATL109,FLOROGLU/TRIMETILFLORO 20 CAP 80/80 MG,439491,2028-04-30,1,152.51,152.51,152.51,152.51
36,NOV101,BENCIEFEDRIL 1 SOL 0.2/2G/120 ML,070115,2027-12-01,2,62.00,22.74,45.48,45.48
36,GEP020,DIFENHIDRAMINA 10 CAPS 25 MG,260869,2028-03-01,2,66.39,19.59,39.18,39.18
36,LOE173,BENVIA 1 JBE 250 MG/100/120 ML,R2601738,2028-01-31,1,221.00,32.38,32.38,32.38
36,RAY083,VOMISIN 20 TAB 50 MG,26030,2028-01-01,1,194.01,40.10,40.10,40.10
36,QUI016,LECHE MAGNESIA NORMEX 1 SUSP 8.5G/60,26B098,2028-01-31,1,66.53,14.06,14.06,14.06
36,CMD124,REDBELGY 30 TAB 1000 MCG,25005840,2027-11-25,1,166.32,34.69,34.69,34.69
37,COL083,PLUS GEL 50 TAB 200/200/20 MG,26141277,2028-05-23,1,214.29,48.77,48.77,48.77
37,NOV017,NOVAGON 1 PVO 49.7G/100G DE 400 G,500546,2030-01-01,1,220.00,99.10,99.10,99.10
37,NOV098,NOVAGON PINA-NARANJA 1 PVO 35G/400 G,491066,2030-04-01,1,230.00,97.10,97.10,97.10
37,FAC0046,MOTILAXIL 1 SOL 100MG/5/120 ML,ITE26L157,2028-05-31,1,124.00,25.04,25.04,25.04
37,FAC0045,MOTILAXIL 1 GOT 750MG/100ML DE 30 ML,ITE26L147,2028-06-30,1,111.00,27.53,27.53,27.53
37,FAC0059,MOTILAXIL 20 TAB 5 MG,ITF26S084,2028-06-30,1,112.00,17.02,17.02,17.02
37,COL090,TEMPIRE 1 GOT 100MG/30 ML,26140833,2029-04-06,1,131.74,20.00,20.00,20.00
37,SON044,DOLZYCAM 1 GEL 5MG/100G DE 60 G,26010268,2028-01-01,1,175.00,24.81,24.81,24.81
37,MAV247,LUMBOXEN ROJO 1 GEL 10/2/35 G,256834,2027-12-01,2,207.00,39.54,79.08,79.08
37,WER015,ROSEL T 15 TAB 300/50/3 MG,251070,2028-01-01,2,128.20,21.26,42.52,42.52
37,BIO068,WAMINDEL 1 SOL 3.20G/120 ML,LB2645,2028-02-01,2,110.00,15.44,30.88,30.88
37,BIO067,SAROX 14 CAPS 20 MG,5D2618,2028-04-01,5,155.00,8.42,42.10,42.10
38,LOE119,DESYN-N 6 SUP 60/5 MG,R2508053,2027-08-31,1,138.00,31.62,31.62,31.62
38,PGE018,LADEXGEL 12 CAPS 300/2/10 MG,U0150,2028-01-08,2,49.50,20.55,41.10,41.10
38,LIF147,DUALGOS 20 TAB 325/200 MG,25J081,2027-11-30,3,152.40,29.02,87.06,87.06
38,WER033,ROSEL 1 SOL 0.5/.02/3 G/ 60 ML,260204,2028-04-01,2,129.27,26.88,53.76,53.76
38,BIO103,NAFICH 1 CMA 1% 15 G,CD2603,2028-04-01,2,142.00,13.06,26.12,26.12
38,LOE076,ERBITRAX 1 CMA 1% 30 G,R2602067,2028-03-31,2,133.00,28.62,57.24,57.24
38,PGE040,PRUGNEX 30 CAPS 12MG/50MG,T0885,2027-10-16,1,134.72,37.07,37.07,37.07
38,PBY007,MAX SENS TROPICANA MIX 1 BLISTER 3+1,TRP060326,2031-01-31,1,23.17,23.17,23.17,26.88
38,PBY008,MAX SENS PASSION MIX 1 BLISTER 3+1,PAS160526,2031-01-31,1,23.21,23.21,23.21,26.92
38,PBY004,PLAYBOY PLAYPACK 1 BLISTER C/3 PZAS,1991025,2030-09-30,1,30.83,30.83,30.83,35.76
38,SOF054,OMEPRAZOL (AKTYZAR) 120 CAPS 20MG,61168,2028-06-05,1,279.00,46.79,46.79,46.79
38,ALP0520,MICONAZOL 1 CMA DE 20 G,2512183,2027-12-01,1,56.00,10.87,10.87,10.87
39,SON226,REXURDIR 16 CAPS 400 MG,26051290,2028-05-01,2,210.00,29.92,59.84,59.84
39,LIF161,VIRINDREZ INFANTIL 1 ATOM 25 MG/20 ML,26C079,2028-04-30,1,183.00,20.70,20.70,20.70
39,MAV263,GALAVER GEL 10 SOB 80MG/10MG/10 ML,262767,2028-05-01,2,240.00,37.54,75.08,75.08
39,MAI080,ITAMOL 24 TAB MAST 262 MG,6C0337,2028-03-31,1,179.03,34.09,34.09,34.09
39,BEA483,SENOSIDOS 20 TAB 8.6 MG,540346,2028-03-01,2,72.00,11.14,22.28,22.28
39,BIO087,WAMINDEL 1 GOT 100MG/30 ML,LF2607,2028-06-30,1,98.00,12.02,12.02,12.02
39,BIO213,SAROX 28 CAPS 20 MG,5E2646,2028-05-01,5,288.00,15.61,78.05,78.05
39,DEG186,BRAXIGORT 1 SUSP 90 ML,487AA,2028-05-31,1,260.02,39.45,39.45,39.45
39,LIF160,VIRINDREZ ADULTO 1 ATOM 50 MG/20 ML,26D035,2028-04-30,2,225.00,23.85,47.70,47.70
39,NOV179,ACETIF 10 TAB 500 MG,010206,2028-02-01,10,22.00,5.72,57.20,57.20
39,GEP049,X-TRID 12 CAPS 15MG/5MG/2MG/250MG,260444,2028-02-01,3,65.00,23.17,69.51,69.51
