pagina,codigo_prov,descripcion,lote,caducidad,cantidad,precio_lista,costo_unitario,subtotal,total
27,SON034,BUSCONET 10 TAB 250/10 MG,26051272,2028-05-31,2,200.00,24.92,49.84,49.84
27,AVT213,MENFLIXIL 14 TAB 7.5 MG,5C25054,2027-03-31,2,48.00,5.28,10.56,10.56
27,BIO003,BIOMESINA COMPUESTA 10 GRAG 250/10 MG,5C2605,2028-03-01,2,191.00,28.57,57.14,57.14
27,SON175,ARDOSONS 20 CAPS 215/25/0.75 MG,26030625,2028-03-01,1,450.00,60.33,60.33,60.33
27,BEA468,QUETIAPINA 60 TAB 100 MG,660556,2028-05-01,1,789.00,123.31,123.31,123.31
27,MAV098,FLEXIVER 10 TAB 15 MG,260502,2028-01-01,2,108.00,8.76,17.52,17.52
27,SON091,MECLISON 20 TAB 50/25 MG,26040947,2029-04-01,2,140.00,22.27,44.54,44.54
27,SON092,MECLISON 1 GOT 16.66/8.33MG/1/15 ML,26041020,2028-04-01,1,140.00,21.20,21.20,21.20
27,MAV182,LARITOL D 10 TAB 30/5 MG,257221,2027-12-01,2,195.00,38.59,77.18,77.18
28,MAV118,LARITOL D INF 1 JBE 100/50MG/5/50 ML,262393,2028-04-30,1,132.00,26.44,26.44,26.44
28,MAV187,ERISPAN COMPUESTO 1 SOL 5/100MG/60 ML,256629,2027-11-30,1,174.00,22.53,22.53,22.53
28,BEA426,OXIDO DE ZINC 1 PASTA 30 G,724025,2028-11-01,5,67.00,10.38,51.90,51.90
28,COL016,BONAZIN 1 FA 50/25/20 MG,26141602,2028-05-31,1,126.03,26.28,26.28,26.28
28,SON033,BUSCONET 1 FA 250/20MG/5ML,26051306,2029-05-31,1,223.00,33.38,33.38,33.38
28,VIT073,BOCETIX 1 SOL 50 MG 150 ML,T2603149,2028-03-30,1,390.00,73.19,73.19,73.19
28,COD086,BANO COLOIDE 1 PVO 96.5/2/90 G,6E256,2028-05-07,2,147.00,18.15,36.30,36.30
28,VIT055,ROTUMAL 1 GEL 60G/1.16 %,260277,2028-04-01,2,95.00,22.93,45.86,45.86
28,NOV137,NINEKA 20 TAB 129/280/30 MG,941746,2028-05-01,3,180.00,37.67,113.01,113.01
28,COL239,VOLFENAC GEL 1 GEL 2.32G/100 G,26141245,2028-05-19,1,370.00,48.65,48.65,48.65
28,LIF039,TINIAZOL 1 SHAMPOO 2G/120 ML,26D107,2028-06-30,1,219.00,42.95,42.95,42.95
